dates.22.584.,X1,pred...1.,pred...2.,actual
4/23/2014,0.254654794,-0.045408559,0.272733696,0.209923054
4/24/2014,-0.087264189,-0.034422801,-0.106702472,0.030320083
4/25/2014,0.14603249,-0.043962275,0.158710177,0.952188467
4/26/2014,0.055780681,0.005002055,0.039640202,0.42863593
4/28/2014,0.005852646,-0.022806035,0.006036074,-0.437288497
4/29/2014,-0.233893373,-0.068798945,-0.265122722,-0.748986805
4/30/2014,-0.107831687,-0.08535456,-0.119870476,-0.864241061
5/2/2014,-0.053960573,-0.091476201,-0.053400129,0.560682228
5/3/2014,0.114643828,-0.015792498,0.131432295,1.547027601
5/5/2014,0.141946964,0.036596477,0.15749155,0.479600042
5/6/2014,-0.116420726,-0.020099116,-0.125146414,0.068910075
5/7/2014,0.036979929,-0.041912597,0.046840396,-0.201248421
5/8/2014,-0.025264849,-0.056261858,-0.024771699,-1.507359133
5/9/2014,-0.230671236,-0.125634923,-0.239561026,-0.470858429
5/10/2014,0.064264829,-0.070581986,0.085767579,-0.041207968
5/12/2014,-0.052352848,-0.047761432,-0.046821064,1.040629922
5/13/2014,0.108345847,0.009699555,0.132731258,0.736146623
5/14/2014,0.09799877,-0.006472842,0.129105691,0.88227687
5/15/2014,0.067697432,0.001288754,0.072360736,-0.076234623
5/16/2014,0.010343203,-0.049621846,0.015964967,-1.287448448
5/17/2014,-0.177293832,-0.113954536,-0.174173866,-0.227895061
5/19/2014,0.159780016,-0.057677173,0.199077496,0.376108804
5/20/2014,0.004374665,-0.025595973,0.006877229,-0.389014328
5/21/2014,-0.142171956,-0.066234899,-0.153877115,0.219682838
5/22/2014,-0.012380663,-0.033904418,-0.01550046,0.424074676
5/23/2014,0.064279599,-0.023048303,0.07488475,-0.22029438
5/24/2014,0.015315642,-0.057273469,0.028596994,0.039575769
5/26/2014,0.158864942,-0.043470666,0.182000719,-0.079681484
5/27/2014,-0.073094309,-0.049804923,-0.0925857,-0.899392093
5/28/2014,-0.157786834,-0.093343221,-0.165134497,-0.949455894
5/29/2014,-0.084280821,-0.096002322,-0.064882206,-0.49418606
5/30/2014,-0.074508128,-0.071821015,-0.102735903,-0.194456729
5/31/2014,-0.046991957,-0.055901122,-0.041729858,-0.715198166
6/2/2014,-0.177723943,-0.083559903,-0.167701521,-0.259602231
6/3/2014,-0.369027539,-0.059361275,-0.406407082,0.267039901
6/4/2014,-0.210729437,-0.031389084,-0.235871043,0.001062479
6/5/2014,-0.172181313,-0.04551627,-0.18381796,0.370117449
6/6/2014,-0.054323246,-0.025914199,-0.079635224,0.896266837
6/7/2014,0.046033826,0.00203182,0.038377519,-0.15381186
6/9/2014,-0.011905891,-0.053742301,0.013768068,0.234560202
6/10/2014,0.046353339,-0.033114218,0.051491399,0.230873837
6/11/2014,0.095175538,-0.033310017,0.127292087,0.549123853
6/12/2014,0.066051567,-0.016406412,0.130271996,0.421914183
6/13/2014,0.173584865,-0.023163056,0.248101625,1.412044668
6/14/2014,0.161929211,0.029426963,0.165269209,0.640794556
6/16/2014,0.065949616,-0.011537393,0.076147022,0.107499085
6/17/2014,0.05528426,-0.039862972,0.05761784,-0.431200434
6/18/2014,-0.125969991,-0.068475582,-0.136683286,0.522382618
6/19/2014,-0.015547977,-0.017826752,-0.028062169,1.927162695
6/20/2014,0.147587827,0.05678706,0.147024677,3.165323955
6/21/2014,0.366623068,0.122551042,0.378678381,0.424476165
6/23/2014,0.023433153,-0.023026978,0.037455154,-0.120341285
6/24/2014,-0.217030311,-0.051964537,-0.24331469,0.475724174
6/25/2014,-0.03283681,-0.020304979,-0.047035597,-0.158163993
6/26/2014,0.12906878,-0.053973461,0.153029375,0.378507188
6/27/2014,-0.047340623,-0.025468585,-0.064244574,0.480492537
6/28/2014,-0.024993203,-0.020051711,-0.039508475,-0.597757699
6/30/2014,-0.105389484,-0.077322143,-0.115726772,-0.210086117
7/2/2014,-0.021784091,-0.056731265,-0.027198023,0.055956261
7/3/2014,-0.099919716,-0.042600629,-0.128273772,0.005688714
7/4/2014,-0.198127824,-0.045270551,-0.236467809,0.253766387
7/5/2014,-0.096856893,-0.032094096,-0.138964806,0.006619604
7/6/2014,0.042145423,-0.045221107,0.047865081,0.020801619
7/7/2014,-0.042220945,-0.044467841,-0.058031152,-0.704933161
7/8/2014,-0.053576497,-0.083014685,-0.052563427,0.116566488
7/9/2014,-0.043346294,-0.039381363,-0.031363346,0.291534322
7/10/2014,0.157112925,-0.030088082,0.189403093,0.997769801
7/11/2014,0.153876062,0.007423072,0.166611404,0.613514647
7/12/2014,0.356769297,-0.012986344,0.395649342,0.052705348
7/14/2014,0.086537708,-0.042773299,0.080879237,-1.376139431
7/15/2014,-0.280498517,-0.118665289,-0.302483354,-1.240136433
7/16/2014,-0.300249571,-0.111441595,-0.316718508,-0.753364379
7/17/2014,-0.177840756,-0.085587072,-0.194565411,0.671480568
7/18/2014,-0.004011405,-0.009907529,0.00689978,0.564162242
7/19/2014,-0.114888561,-0.01560766,-0.145890256,-0.562725105
7/20/2014,-0.328538116,-0.075461413,-0.35647511,0.001437115
7/21/2014,-0.382167537,-0.045496371,-0.41495664,0.269333694
7/22/2014,-0.110238226,-0.031267251,-0.112370185,-0.086509537
7/23/2014,-0.069023685,-0.05016759,-0.061085615,0.212555159
7/24/2014,-0.077835198,-0.034282999,-0.084114208,-1.113630916
7/25/2014,-0.136842125,-0.104722351,-0.129579103,-1.254097784
7/26/2014,-0.289470156,-0.112183141,-0.297791287,1.322587634
7/28/2014,0.034693914,0.024675521,0.050849963,-0.523060266
7/29/2014,-0.057121883,-0.073354646,-0.033879245,-0.121245056
7/30/2014,-0.072698375,-0.05201254,-0.064675694,-0.144230444
