"Index" "CL.Open" "CL.High" "CL.Low" "CL.Close" "CL.Volume" "CL.Adjusted"
2013-08-16 59.52 59.669998 59.119999 59.470001 3130100 56.631606
2013-08-19 59.279999 59.380001 58.91 59.150002 2351400 56.32688
2013-08-20 59.240002 59.619999 59.02 59.09 1946300 56.269742
2013-08-21 59 59.049999 58.439999 58.509998 3036800 55.717423
2013-08-22 58.470001 58.59 58.25 58.450001 3035500 55.660289
2013-08-23 58.509998 59.080002 58.439999 59.029999 2728900 56.212604
2013-08-26 59.080002 59.25 58.200001 58.220001 1960700 55.441266
2013-08-27 57.560001 57.900002 57.41 57.639999 2780300 54.888947
2013-08-28 57.509998 57.509998 57.139999 57.27 2641000 54.536608
2013-08-29 57.09 57.560001 56.939999 57.25 2627300 54.517562
2013-08-30 57.330002 57.82 57.25 57.77 3502500 55.012743
2013-09-03 58.349998 58.389999 57.380001 57.450001 3376100 54.708017
2013-09-04 57.450001 58.189999 57.259998 57.799999 2797900 55.04131
2013-09-05 57.68 57.779999 57.360001 57.529999 2758900 54.784197
2013-09-06 57.759998 58.23 57.470001 58 2752700 55.231766
2013-09-09 58 58.779999 58 58.57 2094000 55.77456
2013-09-10 58.790001 59.09 58.290001 58.59 2351100 55.793606
2013-09-11 58.490002 59.259998 58.43 59.25 2194100 56.422105
2013-09-12 59.110001 59.380001 58.919998 59.279999 1737700 56.450672
2013-09-13 59.43 59.689999 59.27 59.43 1754500 56.593515
2013-09-16 59.779999 60.240002 59.669998 60.02 2384100 57.155355
2013-09-17 59.669998 59.990002 59.34 59.799999 2898000 56.945854
2013-09-18 60.060001 61.189999 59.799999 61.189999 3832500 58.269511
2013-09-19 61.240002 61.279999 60.799999 60.970001 3252800 58.060014
2013-09-20 60.84 60.990002 60.439999 60.439999 3985400 57.555307
2013-09-23 60.450001 60.470001 59.939999 60.200001 1935500 57.326764
2013-09-24 60.02 60.419998 59.830002 59.869999 2600300 57.012513
2013-09-25 60.02 60.130001 59.290001 59.34 2714500 56.50781
2013-09-26 59.630001 60.41 59.490002 60.389999 2687700 57.507695
2013-09-27 60.07 60.279999 59.650002 59.93 2945800 57.06965
2013-09-30 60.16 60.540001 59.09 59.299999 5172800 56.469718
2013-10-01 59.23 60.18 59.080002 60.09 2676400 57.222014
2013-10-02 59.700001 59.75 59.029999 59.43 2736900 56.593515
2013-10-03 59.119999 59.509998 58.720001 59.220001 2620000 56.393538
2013-10-04 59.220001 59.490002 58.900002 59.330002 2172500 56.498289
2013-10-07 59.009998 59.419998 58.880001 59.209999 3725600 56.384014
2013-10-08 59.299999 59.599998 58.939999 58.959999 3958200 56.145946
2013-10-09 59.07 60.27 58.939999 59.830002 4594700 56.974425
2013-10-10 60.650002 60.799999 60.110001 60.790001 3003900 57.888605
2013-10-11 60.689999 61.470001 60.52 61.450001 2573500 58.517104
2013-10-14 61.150002 61.59 61.060001 61.529999 1954300 58.593284
2013-10-15 61.509998 61.75 61.09 61.23 3007400 58.307603
2013-10-16 61.330002 62.349998 61.23 62.279999 2544400 59.307488
2013-10-17 61.889999 63.630001 61.790001 63.41 4795900 60.383556
2013-10-18 63.130001 63.130001 62.130001 62.810001 4716400 60.134634
2013-10-21 62.759998 62.779999 61.860001 62.259998 3253500 59.608058
2013-10-22 62.389999 63.610001 62.25 63.470001 3688600 60.766521
2013-10-23 63.189999 63.759998 63.080002 63.470001 4075600 60.766521
2013-10-24 62.419998 63.299999 61.93 63.040001 5188300 60.354837
2013-10-25 63.240002 63.720001 63.080002 63.599998 4429800 60.890981
2013-10-28 63.689999 64.790001 63.66 64.760002 4087300 62.001575
2013-10-29 64.889999 66 64.720001 65.940002 4525900 63.131314
2013-10-30 65.980003 66.040001 65.059998 65.220001 2721700 62.441981
2013-10-31 65 65.230003 64.669998 64.730003 3944900 61.972854
2013-11-01 64.82 65.559998 64.559998 65.389999 3770700 62.604738
2013-11-04 65.559998 65.800003 65.209999 65.730003 2657200 62.930259
2013-11-05 65.550003 65.760002 65.050003 65.360001 3571100 62.576017
2013-11-06 65.610001 66.050003 65.389999 66.010002 2523600 63.198332
2013-11-07 65.970001 65.970001 64.620003 64.800003 4245600 62.039872
2013-11-08 64.650002 64.849998 64.129997 64.830002 3020200 62.068593
2013-11-11 64.900002 65.110001 64.550003 64.620003 1940000 61.867539
2013-11-12 64.440002 64.860001 64 64.720001 3570800 61.963278
2013-11-13 64.599998 65.120003 64.419998 65.089996 2727600 62.317513
2013-11-14 65.330002 65.709999 65.239998 65.599998 2673700 62.805792
2013-11-15 65.720001 65.970001 65.379997 65.779999 2364300 62.978125
2013-11-18 65.800003 65.93 65.019997 65.18 2039200 62.403684
2013-11-19 64.970001 65.389999 64.949997 65.279999 2381900 62.499423
2013-11-20 65.440002 65.75 65.040001 65.260002 2202300 62.480278
2013-11-21 65.370003 66.040001 65.32 65.980003 3404500 63.169611
2013-11-22 65.959999 66.419998 65.839996 66.260002 2780700 63.437683
2013-11-25 66.419998 66.489998 65.830002 65.949997 2165800 63.140882
2013-11-26 66.099998 66.440002 65.779999 66.010002 2539800 63.198332
2013-11-27 66.230003 66.25 65.440002 65.830002 1764000 63.025998
2013-11-29 65.900002 66.400002 65.730003 65.809998 1621600 63.006846
2013-12-02 65.639999 65.959999 65.059998 65.279999 2458500 62.499423
2013-12-03 65.010002 65.43 64.879997 65.370003 2183700 62.585593
2013-12-04 64.940002 65.139999 64.32 65.040001 2762600 62.269647
2013-12-05 64.839996 65.050003 64.470001 64.540001 2057100 61.790945
2013-12-06 65.129997 65.870003 65.089996 65.660004 2389300 62.863241
2013-12-09 65.730003 65.989998 65.5 65.690002 2340700 62.891962
2013-12-10 65.459999 65.459999 64.559998 64.690002 3225300 61.934557
2013-12-11 64.830002 65.339996 64.75 64.940002 3187900 62.173908
2013-12-12 65.019997 65.080002 63.959999 63.970001 3165000 61.245224
2013-12-13 64.129997 64.260002 63.639999 63.98 2130400 61.254796
2013-12-16 64.139999 64.400002 63.830002 64.040001 2676600 61.312242
2013-12-17 64 64.080002 63.279999 63.580002 2243900 60.871836
2013-12-18 63.779999 64.68 62.799999 64.639999 3940300 61.886684
2013-12-19 64.43 64.559998 64.050003 64.239998 3558000 61.50372
2013-12-20 64.269997 65.050003 64.169998 64.739998 4667700 61.982423
2013-12-23 64.919998 64.919998 64.349998 64.629997 2525900 61.877108
2013-12-24 64.709999 64.889999 64.550003 64.709999 1051200 61.953702
2013-12-26 64.709999 64.870003 64.489998 64.830002 1683300 62.068593
2013-12-27 65.07 65.449997 64.989998 65.370003 1814500 62.585593
2013-12-30 65.43 65.610001 65.199997 65.43 1892700 62.643035
2013-12-31 65.419998 65.519997 65 65.209999 1827400 62.432404
2014-01-02 64.889999 65.029999 64 64.300003 3004300 61.561169
2014-01-03 64.209999 64.489998 63.990002 64.18 2113700 61.446278
