"Index" "CSC.Open" "CSC.High" "CSC.Low" "CSC.Close" "CSC.Volume" "CSC.Adjusted"
2013-10-11 51.169998 52.330002 51.139999 52.150002 1520700 50.674953
2013-10-14 51.84 52.220001 51.689999 52.139999 680600 50.665234
2013-10-15 51.849998 52.349998 51.810001 51.869999 1343300 50.40287
2013-10-16 52.330002 52.439999 52 52.360001 1061200 50.879012
2013-10-17 51.98 53.110001 51.639999 53 1133600 51.500909
2013-10-18 53.209999 53.41 52.439999 52.549999 785500 51.063637
2013-10-21 52.630001 53.02 52.549999 52.959999 708300 51.46204
2013-10-22 52.970001 53.790001 52.82 53.09 748900 51.588364
2013-10-23 52.689999 53.029999 52.119999 52.18 653200 50.704103
2013-10-24 52.18 52.43 51.73 51.77 582600 50.3057
2013-10-25 51.82 51.950001 51.59 51.82 777900 50.354285
2013-10-28 51.860001 52.200001 51.66 51.73 851600 50.266831
2013-10-29 52 52.459999 51.91 51.990002 1163800 50.519479
2013-10-30 51.939999 52.259998 51.150002 51.599998 1214600 50.140507
2013-10-31 49.189999 50 46.799999 49.259998 3972800 47.866693
2013-11-01 49.509998 50.509998 49.25 50.389999 1870300 48.964732
2013-11-04 50.48 50.759998 50.110001 50.41 1162800 48.984167
2013-11-05 50.400002 51.080002 50.099998 50.75 1690800 49.31455
2013-11-06 50.93 51.209999 50.639999 51.189999 1174200 49.742103
2013-11-07 51.240002 51.709999 50.25 50.32 991400 48.896712
2013-11-08 50.23 51.119999 50.02 51.029999 818800 49.586629
2013-11-11 51.02 51.41 50.91 51.189999 687300 49.742103
2013-11-12 51 51.880001 50.950001 51.84 759300 50.37372
2013-11-13 51.650002 52.900002 51.490002 52.880001 1050300 51.384305
2013-11-14 52.849998 53.299999 52.720001 53.279999 906400 51.772988
2013-11-15 53.110001 53.73 53.07 53.59 1092500 52.074222
2013-11-18 53.619999 53.93 53.5 53.610001 967500 52.093656
2013-11-19 53.529999 54.060001 53.439999 53.549999 1614600 52.035352
2013-11-20 53.529999 53.869999 52.93 53.139999 809400 51.636949
2013-11-21 53.209999 53.93 53.18 53.849998 648500 52.326866
2013-11-22 53.779999 53.779999 52.990002 53.259998 1096600 51.753554
2013-11-25 53.27 53.459999 52.779999 52.849998 706500 51.355151
