"Index" "USD.PHP"
2014-07-04 43.5242
2014-07-05 43.5
2014-07-06 43.5
2014-07-07 43.5134
2014-07-08 43.4282
2014-07-09 43.3473
2014-07-10 43.3804
2014-07-11 43.4783
2014-07-12 43.4747
2014-07-13 43.475
2014-07-14 43.5018
2014-07-15 43.6087
2014-07-16 43.6258
2014-07-17 43.572
2014-07-18 43.6073
2014-07-19 43.525
2014-07-20 43.5269
2014-07-21 43.3952
2014-07-22 43.3346
2014-07-23 43.2342
2014-07-24 43.298
2014-07-25 43.3185
2014-07-26 43.3282
2014-07-27 43.325
2014-07-28 43.3406
2014-07-29 43.3918
2014-07-30 43.4177
2014-07-31 43.5384
2014-08-01 43.7212
2014-08-02 43.6955
2014-08-03 43.705
2014-08-04 43.7088
2014-08-05 43.6187
2014-08-06 43.7935
2014-08-07 43.9767
2014-08-08 44.0521
2014-08-09 43.98
2014-08-10 43.978
2014-08-11 43.8952
2014-08-12 43.8941
2014-08-13 43.8958
2014-08-14 43.6993
2014-08-15 43.6523
2014-08-16 43.647
2014-08-17 43.65
2014-08-18 43.6787
2014-08-19 43.6834
2014-08-20 43.8181
2014-08-21 43.8662
2014-08-22 43.8288
2014-08-23 43.8603
2014-08-24 43.86
2014-08-25 43.8544
2014-08-26 43.7867
2014-08-27 43.687
2014-08-28 43.6942
2014-08-29 43.6609
2014-08-30 43.686
2014-08-31 43.6865
2014-09-01 43.5254
2014-09-02 43.609
2014-09-03 43.6187
2014-09-04 43.5815
2014-09-05 43.6205
2014-09-06 43.562
2014-09-07 43.562
2014-09-08 43.5947
2014-09-09 43.7303
2014-09-10 43.9217
2014-09-11 43.9308
2014-09-12 43.9593
2014-09-13 43.8872
2014-09-14 43.8575
2014-09-15 44.2027
2014-09-16 44.2667
2014-09-17 44.274
2014-09-18 44.5115
2014-09-19 44.5455
2014-09-20 44.5456
2014-09-21 44.545
2014-09-22 44.5362
2014-09-23 44.525
2014-09-24 44.4694
2014-09-25 44.6906
2014-09-26 44.8607
2014-09-27 44.9849
2014-09-28 44.933
2014-09-29 45.021
2014-09-30 44.9318
2014-10-01 44.8881
2014-10-02 44.8102
2014-10-03 44.8489
2014-10-04 44.9952
2014-10-05 44.9945
2014-10-06 44.8533
2014-10-07 44.7275
2014-10-08 44.7562
2014-10-09 44.7034
2014-10-10 44.7776
2014-10-11 44.7843
2014-10-12 44.7615
2014-10-13 44.7528
2014-10-14 44.7961
2014-10-15 44.8532
2014-10-16 44.8978
2014-10-17 44.9024
2014-10-18 44.8282
2014-10-19 44.8246
2014-10-20 44.8365
2014-10-21 44.7879
2014-10-22 44.7751
2014-10-23 44.8105
2014-10-24 44.7875
2014-10-25 44.8135
2014-10-26 44.82
2014-10-27 44.7832
2014-10-28 44.7751
2014-10-29 44.722
2014-10-30 44.745
2014-10-31 44.9643
2014-11-01 45.0769
2014-11-02 44.98
2014-11-03 44.9964
2014-11-04 44.9771
2014-11-05 45.0122
2014-11-06 45.0272
2014-11-07 45.0077
2014-11-08 44.8728
2014-11-09 44.8685
2014-11-10 44.8826
2014-11-11 44.9162
2014-11-12 44.8935
2014-11-13 44.8686
2014-11-14 44.946
2014-11-15 44.9304
2014-11-16 44.9315
2014-11-17 44.9271
2014-11-18 44.9664
2014-11-19 45.1287
2014-11-20 45.0897
2014-11-21 44.97
2014-11-22 44.9352
2014-11-23 44.9352
2014-11-24 44.9673
2014-11-25 44.9579
2014-11-26 44.9385
2014-11-27 44.8881
2014-11-28 44.9329
2014-11-29 44.9247
