"Index" "NP.Open" "NP.High" "NP.Low" "NP.Close" "NP.Volume" "NP.Adjusted"
2013-11-08 41.009998 41.279999 39.540001 40.779999 76300 39.015628
2013-11-11 40.509998 40.84 40.209999 40.389999 43200 38.642503
2013-11-12 40.25 40.259998 39.599998 39.759998 42700 38.039759
2013-11-13 39.23 40.130001 39.02 40.110001 39400 38.568624
2013-11-14 40.16 40.75 39.82 40.540001 50900 38.9821
2013-11-15 40.470001 41.09 40.040001 40.869999 96500 39.299417
2013-11-18 41.080002 41.080002 40.450001 40.650002 42500 39.087874
2013-11-19 40.580002 40.619999 39.34 39.52 55600 38.001297
2013-11-20 39.849998 39.990002 38.98 39.240002 63500 37.732058
2013-11-21 39.470001 39.860001 39.150002 39.740002 118200 38.212844
2013-11-22 39.740002 40.27 39.200001 40.119999 76300 38.578239
2013-11-25 40.119999 40.259998 39.200001 39.509998 66000 37.99168
2013-11-26 39.689999 41.43 39.509998 41.130001 80300 39.549428
2013-11-27 40.970001 42.290001 40.75 42.009998 49900 40.395608
2013-11-29 42.150002 42.400002 41.900002 41.990002 17900 40.37638
2013-12-02 42.16 42.509998 40.5 41.240002 86200 39.655201
2013-12-03 41.029999 41.259998 40.52 41.18 62400 39.597505
2013-12-04 40.900002 41.619999 40.310001 40.84 65800 39.270571
2013-12-05 40.91 41.529999 40.860001 41.43 38800 39.837898
2013-12-06 41.75 42.57 41.650002 42.029999 68500 40.41484
2013-12-09 41.939999 42.810001 41.759998 42.439999 80600 40.809084
2013-12-10 42.52 42.959999 41.490002 41.709999 160200 40.107137
2013-12-11 41.779999 41.84 40.240002 40.779999 60600 39.212875
2013-12-12 40.779999 40.939999 40.110001 40.529999 54900 38.972483
2013-12-13 40.52 41.630001 40.43 41.450001 46700 39.85713
2013-12-16 41.560001 42.360001 41.450001 42.16 61000 40.539845
2013-12-17 42.389999 42.66 42.040001 42.540001 49000 40.905243
2013-12-18 42.540001 43.52 42.200001 43.490002 61800 41.818736
2013-12-19 43.439999 43.5 42.470001 42.68 66200 41.039862
2013-12-20 42.619999 43.900002 42.599998 43.75 124700 42.068743
2013-12-23 43.759998 44.299999 43.669998 43.91 51700 42.222595
2013-12-24 43.720001 44.299999 43.66 44.049999 22800 42.357214
2013-12-26 44.049999 44.16 43.43 44.040001 29200 42.3476
2013-12-27 44.310001 44.310001 43.360001 43.529999 37000 41.857196
2013-12-30 43.380001 43.560001 43.049999 43.209999 53200 41.549494
2013-12-31 43.369999 43.369999 42.709999 42.77 85400 41.126404
2014-01-02 42.970001 42.970001 41.759998 42.669998 134200 41.030245
2014-01-03 42.689999 43.049999 42.330002 42.869999 53900 41.22256
2014-01-06 43.060001 43.259998 41.610001 41.720001 65600 40.116755
2014-01-07 41.75 42.389999 41.560001 41.970001 56400 40.357148
2014-01-08 42.060001 42.060001 41.310001 41.639999 101200 40.039827
2014-01-09 41.830002 42.080002 41.169998 41.650002 67400 40.049445
2014-01-10 41.560001 41.560001 40.959999 41.18 51800 39.597505
2014-01-13 40.939999 41.900002 40.259998 40.639999 86000 39.078256
2014-01-14 41.349998 42.490002 41.349998 42.48 90000 40.847547
2014-01-15 42.689999 44.009998 42.25 43.84 94800 42.155285
2014-01-16 43.900002 44.82 43.439999 44.610001 91700 42.895695
2014-01-17 44.630001 44.630001 43.779999 43.889999 53200 42.203363
2014-01-21 44.009998 44.259998 43.799999 44 38000 42.309136
2014-01-22 43.400002 43.799999 42.599998 43.639999 103200 41.96297
2014-01-23 43.369999 43.529999 42.82 43.459999 84600 41.789887
2014-01-24 43.25 43.25 41.970001 42.439999 79200 40.809084
2014-01-27 42.470001 42.66 41.799999 42.119999 103200 40.501381
2014-01-28 42.290001 42.849998 41.810001 42.82 83600 41.174482
2014-01-29 42.529999 43.369999 42.060001 42.98 149600 41.328333
2014-01-30 43.220001 44.040001 42.91 43.470001 53600 41.799505
2014-01-31 42.82 43.919998 42.709999 43.439999 60800 41.770655
2014-02-03 43.41 43.540001 42.07 42.450001 106300 40.818701
2014-02-04 42.759998 43.43 42.099998 42.849998 75300 41.203328
2014-02-05 42.709999 43.23 42.610001 42.900002 101200 41.251409
2014-02-06 43.169998 44.040001 42.939999 43.130001 110000 41.47257
2014-02-07 43.5 43.66 43 43.41 117300 41.741809
2014-02-10 43.509998 43.599998 43.189999 43.34 120000 41.674499
2014-02-11 43.529999 44.610001 43.459999 44.34 68400 42.636071
2014-02-12 44.23 44.66 43.700001 44.529999 94200 43.051795
2014-02-13 44.049999 45 44.049999 44.849998 57000 43.361173
2014-02-14 44.889999 45 44.299999 44.799999 43900 43.312833
2014-02-18 45 45 44.700001 44.900002 69100 43.409516
2014-02-19 45 48.900002 44.560001 47.689999 249000 46.106897
2014-02-20 47.889999 49.220001 47.82 48.900002 105500 47.276733
2014-02-21 49.130001 49.130001 47.540001 48.369999 158300 46.764324
