"Index" "NOB.Open" "NOB.High" "NOB.Low" "NOB.Close" "NOB.Volume" "NOB.Adjusted"
2013-10-07 0.025 0.025 0.025 0.025 4000 0.025
2013-10-08 0.025 0.025 0.025 0.025 0 0.025
2013-10-09 0.03 0.045 0.03 0.045 1348500 0.045
2013-10-10 0.045 0.05 0.04 0.05 592400 0.05
2013-10-11 0.05 0.055 0.05 0.055 937800 0.055
2013-10-14 0.055 0.055 0.055 0.055 0 0.055
2013-10-15 0.05 0.05 0.045 0.045 199000 0.045
2013-10-16 0.05 0.05 0.05 0.05 2000 0.05
2013-10-17 0.05 0.05 0.045 0.045 196000 0.045
2013-10-18 0.05 0.055 0.045 0.055 306500 0.055
2013-10-21 0.055 0.055 0.05 0.05 208000 0.05
2013-10-22 0.05 0.055 0.05 0.055 843000 0.055
2013-10-23 0.055 0.055 0.055 0.055 148000 0.055
2013-10-24 0.05 0.05 0.045 0.045 221600 0.045
2013-10-25 0.04 0.045 0.04 0.045 150000 0.045
2013-10-28 0.04 0.04 0.04 0.04 83500 0.04
2013-10-29 0.04 0.04 0.035 0.035 309000 0.035
2013-10-30 0.035 0.035 0.035 0.035 101000 0.035
2013-10-31 0.035 0.035 0.035 0.035 170000 0.035
2013-11-01 0.035 0.035 0.035 0.035 130000 0.035
2013-11-04 0.035 0.035 0.035 0.035 230000 0.035
2013-11-05 0.04 0.04 0.035 0.035 55000 0.035
2013-11-06 0.035 0.035 0.035 0.035 46000 0.035
2013-11-07 0.035 0.04 0.035 0.04 51500 0.04
2013-11-08 0.04 0.04 0.04 0.04 1000 0.04
2013-11-11 0.04 0.04 0.04 0.04 0 0.04
2013-11-12 0.035 0.035 0.03 0.035 93100 0.035
2013-11-13 0.03 0.035 0.03 0.035 2e+05 0.035
2013-11-14 0.035 0.035 0.035 0.035 105000 0.035
2013-11-15 0.035 0.035 0.035 0.035 0 0.035
2013-11-18 0.035 0.035 0.035 0.035 0 0.035
2013-11-19 0.035 0.035 0.03 0.035 76000 0.035
2013-11-20 0.035 0.035 0.035 0.035 0 0.035
2013-11-21 0.035 0.04 0.035 0.04 111000 0.04
2013-11-22 0.035 0.04 0.03 0.04 189000 0.04
2013-11-25 0.035 0.035 0.035 0.035 1000 0.035
2013-11-26 0.04 0.04 0.035 0.04 219000 0.04
2013-11-27 0.035 0.04 0.035 0.035 130000 0.035
2013-11-28 0.035 0.035 0.035 0.035 20000 0.035
2013-11-29 0.035 0.035 0.035 0.035 180000 0.035
2013-12-02 0.035 0.035 0.035 0.035 0 0.035
2013-12-03 0.035 0.035 0.035 0.035 221000 0.035
2013-12-04 0.035 0.035 0.03 0.035 9500 0.035
2013-12-05 0.035 0.035 0.035 0.035 3000 0.035
2013-12-06 0.035 0.04 0.03 0.03 28000 0.03
2013-12-09 0.04 0.04 0.04 0.04 5000 0.04
2013-12-10 0.04 0.04 0.04 0.04 192000 0.04
2013-12-11 0.04 0.04 0.04 0.04 2000 0.04
2013-12-12 0.035 0.035 0.035 0.035 43000 0.035
2013-12-13 0.035 0.035 0.035 0.035 0 0.035
2013-12-16 0.035 0.035 0.035 0.035 2000 0.035
2013-12-17 0.035 0.035 0.03 0.03 1e+05 0.03
2013-12-18 0.035 0.035 0.03 0.03 10000 0.03
2013-12-19 0.035 0.035 0.035 0.035 60000 0.035
2013-12-20 0.03 0.03 0.03 0.03 127000 0.03
2013-12-23 0.035 0.035 0.035 0.035 164000 0.035
2013-12-24 0.035 0.035 0.035 0.035 0 0.035
2013-12-25 0.035 0.035 0.035 0.035 0 0.035
2013-12-26 0.035 0.035 0.035 0.035 0 0.035
2013-12-27 0.035 0.035 0.035 0.035 1000 0.035
2013-12-30 0.035 0.035 0.035 0.035 0 0.035
2013-12-31 0.035 0.035 0.035 0.035 0 0.035
2014-01-01 0.035 0.035 0.035 0.035 0 0.035
2014-01-02 0.035 0.035 0.035 0.035 2000 0.035
2014-01-03 0.04 0.06 0.04 0.06 837800 0.06
2014-01-06 0.05 0.05 0.05 0.05 30500 0.05
2014-01-07 0.05 0.05 0.05 0.05 115000 0.05
2014-01-08 0.045 0.045 0.045 0.045 108000 0.045
2014-01-09 0.05 0.055 0.045 0.05 508700 0.05
2014-01-10 0.05 0.05 0.05 0.05 50000 0.05
2014-01-13 0.05 0.05 0.045 0.05 188300 0.05
2014-01-14 0.05 0.05 0.05 0.05 55000 0.05
2014-01-15 0.045 0.045 0.045 0.045 116000 0.045
2014-01-16 0.045 0.045 0.045 0.045 71000 0.045
2014-01-17 0.05 0.05 0.045 0.045 21500 0.045
2014-01-20 0.045 0.045 0.045 0.045 0 0.045
2014-01-21 0.045 0.045 0.045 0.045 181000 0.045
2014-01-22 0.04 0.04 0.04 0.04 131000 0.04
2014-01-23 0.04 0.04 0.04 0.04 51500 0.04
2014-01-24 0.04 0.04 0.04 0.04 84000 0.04
2014-01-27 0.04 0.04 0.04 0.04 25000 0.04
2014-01-28 0.04 0.04 0.04 0.04 70000 0.04
2014-01-29 0.04 0.04 0.04 0.04 0 0.04
2014-01-30 0.04 0.04 0.04 0.04 2000 0.04
2014-01-31 0.035 0.035 0.035 0.035 76000 0.035
2014-02-03 0.035 0.035 0.035 0.035 290000 0.035
2014-02-04 0.035 0.035 0.035 0.035 1000 0.035
2014-02-05 0.035 0.035 0.035 0.035 30000 0.035
2014-02-06 0.03 0.03 0.03 0.03 714700 0.03
2014-02-07 0.03 0.03 0.03 0.03 110000 0.03
2014-02-10 0.03 0.03 0.03 0.03 10000 0.03
2014-02-11 0.03 0.03 0.03 0.03 10300 0.03
2014-02-12 0.045 0.045 0.03 0.03 5021800 0.03
2014-02-13 0.03 0.03 0.025 0.025 696000 0.025
2014-02-14 0.03 0.03 0.03 0.03 619500 0.03
2014-02-17 0.03 0.03 0.03 0.03 0 0.03
2014-02-18 0.03 0.03 0.025 0.03 265500 0.03
2014-02-19 0.025 0.025 0.025 0.025 73000 0.025
2014-02-20 0.025 0.025 0.025 0.025 23000 0.025
2014-02-21 0.025 0.025 0.025 0.025 97100 0.025
2014-02-24 0.025 0.025 0.025 0.025 315500 0.025
2014-02-25 0.03 0.03 0.025 0.025 220400 0.025
2014-02-26 0.025 0.025 0.025 0.025 0 0.025
2014-02-27 0.025 0.025 0.025 0.025 25000 0.025
2014-02-28 0.025 0.025 0.025 0.025 18800 0.025
2014-03-03 0.025 0.025 0.025 0.025 10300 0.025
2014-03-04 0.02 0.02 0.015 0.015 429000 0.015
2014-03-05 0.02 0.02 0.02 0.02 634500 0.02
2014-03-06 0.02 0.02 0.02 0.02 68500 0.02
2014-03-07 0.02 0.02 0.02 0.02 25500 0.02
2014-03-10 0.02 0.02 0.02 0.02 406500 0.02
2014-03-11 0.02 0.02 0.02 0.02 3000 0.02
2014-03-12 0.02 0.03 0.02 0.025 1312800 0.025
2014-03-13 0.02 0.025 0.02 0.025 532000 0.025
2014-03-14 0.025 0.025 0.025 0.025 0 0.025
2014-03-17 0.025 0.025 0.025 0.025 66000 0.025
2014-03-18 0.025 0.025 0.025 0.025 51000 0.025
2014-03-19 0.025 0.025 0.025 0.025 2e+05 0.025
2014-03-20 0.025 0.03 0.025 0.03 123000 0.03
2014-03-21 0.025 0.025 0.025 0.025 100200 0.025
2014-03-24 0.03 0.03 0.025 0.025 3e+05 0.025
2014-03-25 0.025 0.025 0.025 0.025 145000 0.025
2014-03-26 0.025 0.025 0.025 0.025 29000 0.025
2014-03-27 0.025 0.025 0.025 0.025 0 0.025
2014-03-28 0.015 0.02 0.015 0.015 2768600 0.015
2014-03-31 0.015 0.02 0.015 0.02 525100 0.02
2014-04-01 0.02 0.02 0.02 0.02 146000 0.02
2014-04-02 0.015 0.015 0.015 0.015 209500 0.015
2014-04-03 0.02 0.02 0.02 0.02 872300 0.02
2014-04-04 0.025 0.025 0.015 0.02 231800 0.02
2014-04-07 0.02 0.02 0.02 0.02 0 0.02
2014-04-08 0.02 0.025 0.02 0.025 240000 0.025
2014-04-09 0.02 0.02 0.02 0.02 69300 0.02
2014-04-10 0.02 0.02 0.02 0.02 25400 0.02
2014-04-11 0.02 0.02 0.02 0.02 0 0.02
2014-04-14 0.02 0.02 0.02 0.02 2e+05 0.02
2014-04-15 0.02 0.02 0.02 0.02 25000 0.02
2014-04-16 0.02 0.02 0.02 0.02 0 0.02
2014-04-17 0.015 0.015 0.015 0.015 10000 0.015
2014-04-18 0.015 0.015 0.015 0.015 0 0.015
2014-04-21 0.015 0.015 0.015 0.015 0 0.015
