"Index" "CIN.Open" "CIN.High" "CIN.Low" "CIN.Close" "CIN.Volume" "CIN.Adjusted"
2014-06-04 3.531 3.531 3.529 3.529 300 3.35052
2014-06-05 3.584 3.584 3.584 3.584 0 3.40274
2014-06-06 3.567 3.567 3.567 3.567 0 3.3866
2014-06-09 3.594 3.594 3.594 3.594 0 3.41223
2014-06-10 3.591 3.591 3.591 3.591 0 3.40939
2014-06-11 3.623 3.623 3.623 3.623 0 3.43977
2014-06-12 3.677 3.677 3.677 3.677 0 3.49104
2014-06-13 3.652 3.652 3.652 3.652 0 3.4673
2014-06-16 3.658 3.658 3.658 3.658 0 3.473
2014-06-17 3.629 3.629 3.629 3.629 0 3.44546
2014-06-18 3.634 3.634 3.634 3.634 0 3.45021
2014-06-19 3.586 3.586 3.586 3.586 0 3.40464
2014-06-20 3.531 3.531 3.531 3.531 0 3.35242
2014-06-23 3.554 3.554 3.554 3.554 0 3.37426
2014-06-24 3.526 3.526 3.494 3.494 100 3.31729
2014-06-25 3.447 3.447 3.447 3.447 0 3.27267
2014-06-26 3.495 3.495 3.486 3.486 300 3.3097
2014-06-27 3.5 3.5 3.5 3.5 0 3.32299
2014-06-30 3.532 3.548 3.532 3.548 1000 3.36856
2014-07-01 3.514 3.514 3.514 3.514 0 3.33628
2014-07-02 3.517 3.517 3.517 3.517 0 3.33913
2014-07-03 3.504 3.504 3.504 3.504 0 3.32679
2014-07-04 3.486 3.486 3.486 3.486 0 3.3097
2014-07-07 3.49 3.49 3.49 3.49 0 3.31349
2014-07-08 3.528 3.528 3.528 3.528 0 3.34957
2014-07-09 3.532 3.532 3.532 3.532 0 3.35337
2014-07-10 3.519 3.519 3.519 3.519 0 3.34103
2014-07-11 3.562 3.562 3.562 3.562 0 3.38185
2014-07-14 3.576 3.576 3.576 3.576 0 3.39514
2014-07-15 3.631 3.631 3.631 3.631 0 3.44736
2014-07-16 3.665 3.665 3.665 3.665 0 3.47964
2014-07-17 3.688 3.688 3.688 3.688 0 3.50148
2014-07-18 3.7 3.7 3.7 3.7 0 3.51287
2014-07-21 3.754 3.754 3.754 3.754 0 3.56414
2014-07-22 3.8 3.8 3.8 3.8 700 3.60781
2014-07-23 4.095 4.095 4.095 4.095 0 3.8879
2014-07-24 4.144 4.144 4.144 4.144 0 3.93442
2014-07-25 4.215 4.307 4.215 4.307 700 4.08917
2014-07-28 4.245 4.245 4.245 4.245 0 4.03031
2014-07-29 4.099 4.099 4.099 4.099 0 3.89169
2014-07-30 4.126 4.126 4.126 4.126 0 3.91733
2014-07-31 4.173 4.173 4.173 4.173 0 3.96195
2014-08-01 4.139 4.139 4.139 4.139 2000 3.92967
2014-08-04 4.207 4.207 4.207 4.207 0 3.99423
2014-08-05 4.163 4.163 4.163 4.163 0 3.95246
2014-08-06 4.141 4.141 4.141 4.141 0 3.93157
2014-08-07 4.174 4.174 4.174 4.174 0 3.9629
2014-08-08 4.211 4.211 4.211 4.211 0 3.99803
2014-08-11 4.249 4.249 4.249 4.249 0 4.03411
2014-08-12 4.343 4.343 4.343 4.343 0 4.12335
2014-08-13 4.357 4.357 4.357 4.357 0 4.13664
2014-08-14 4.506 4.506 4.506 4.506 100 4.27811
2014-08-15 4.506 4.506 4.506 4.506 0 4.27811
2014-08-18 4.506 4.506 4.506 4.506 0 4.27811
2014-08-19 4.464 4.464 4.464 4.464 0 4.23823
2014-08-20 4.514 5.3 4.514 4.9 1900 4.65218
2014-08-21 4.479 4.479 4.479 4.479 0 4.25247
2014-08-22 4.445 4.445 4.445 4.445 0 4.22019
2014-08-25 4.348 4.348 4.348 4.348 0 4.1281
2014-08-26 4.937 4.937 4.937 4.937 200 4.68731
2014-08-27 4.476 4.476 4.476 4.476 0 4.24963
2014-08-28 4.449 4.449 4.449 4.449 0 4.22399
2014-08-29 4.577 4.577 4.577 4.577 0 4.34552
2014-09-01 4.606 4.606 4.606 4.606 0 4.37305
2014-09-02 4.95 4.95 4.95 4.95 600 4.69965
2014-09-03 4.665 4.665 4.665 4.665 0 4.42907
2014-09-04 4.716 4.716 4.716 4.716 0 4.47749
2014-09-05 4.742 4.742 4.742 4.742 0 4.50217
2014-09-08 4.712 4.712 4.712 4.712 0 4.47369
2014-09-09 4.801 4.801 4.801 4.801 0 4.55819
2014-09-10 4.769 4.769 4.769 4.769 0 4.52781
2014-09-11 4.778 4.778 4.778 4.778 0 4.53635
2014-09-12 4.747 4.747 4.747 4.747 0 4.50692
2014-09-15 4.702 4.702 4.702 4.702 0 4.4642
2014-09-16 4.771 4.771 4.771 4.771 0 4.52971
2014-09-17 4.788 4.788 4.788 4.788 0 4.54585
2014-09-18 4.846 4.846 4.846 4.846 0 4.60091
2014-09-19 4.853 4.853 4.853 4.853 0 4.60756
2014-09-22 4.846 4.846 4.846 4.846 0 4.60091
2014-09-23 4.848 4.848 4.848 4.848 0 4.60281
2014-09-24 4.823 4.832 4.823 4.832 0 4.58762
2014-09-25 4.952 4.952 4.952 4.952 0 4.70155
2014-09-26 5.017 5.29 5.017 5.29 5400 5.02246
2014-09-29 5.074 5.074 5.074 5.074 0 4.81738
2014-09-30 5.16 5.16 5.16 5.16 0 4.89903
2014-10-01 5.124 5.124 5.124 5.124 0 4.86485
2014-10-02 5.017 5.017 5.017 5.017 0 4.76327
2014-10-03 5.017 5.017 5.017 5.017 0 4.76327
2014-10-06 5.126 5.126 5.126 5.126 0 4.86675
2014-10-07 5.102 5.102 5.102 5.102 0 4.84397
2014-10-08 5.022 5.022 5.022 5.022 0 4.76801
2014-10-09 4.96 4.96 4.96 4.96 0 4.70915
2014-10-10 4.934 4.934 4.931 4.931 700 4.68161
2014-10-13 4.797 4.797 4.797 4.797 0 4.55439
2014-10-14 4.821 4.821 4.821 4.821 0 4.57718
2014-10-15 4.8 4.8 4.8 4.8 0 4.55724
2014-10-16 4.74 4.74 4.74 4.74 0 4.50027
2014-10-17 4.683 4.683 4.683 4.683 0 4.44616
2014-10-20 4.646 4.646 4.646 4.646 0 4.41103
2014-10-21 4.65 4.65 4.65 4.65 400 4.41483
2014-10-22 4.854 4.854 4.854 4.854 0 4.60851
2014-10-23 4.893 4.893 4.893 4.893 0 4.64554
2014-10-24 4.884 4.884 4.884 4.884 0 4.63699
2014-10-27 4.821 4.821 4.821 4.821 0 4.57718
2014-10-28 4.824 4.824 4.82 4.82 200 4.57623
2014-10-29 4.892 4.892 4.892 4.892 0 4.64459
2014-10-30 4.972 4.972 4.972 4.972 0 4.72054
2014-10-31 5.066 5.066 5.066 5.066 0 4.80979
2014-11-03 5.194 5.194 5.194 5.194 0 4.93131
2014-11-04 5.279 5.279 5.279 5.279 0 5.01201
2014-11-05 5.291 5.291 5.291 5.291 0 5.02341
2014-11-06 5.225 5.225 5.094 5.094 300 4.83637
2014-11-07 5.211 5.211 5.211 5.211 0 4.94745
2014-11-10 5.193 5.193 5.193 5.193 0 4.93036
2014-11-11 5.28 5.28 5.28 5.28 0 5.01296
2014-11-12 5.32 5.32 5.32 5.32 1000 5.05094
2014-11-13 5.067 5.067 5.067 5.067 0 4.81074
2014-11-14 5.031 5.031 5.031 5.031 0 4.77656
2014-11-17 5.04 5.04 5.04 5.04 0 4.7851
2014-11-18 5.092 5.092 5.092 5.092 0 4.83447
2014-11-19 5.068 5.068 5.068 5.068 0 4.81169
2014-11-20 5.093 5.093 5.093 5.093 0 4.83542
2014-11-21 5.168 5.168 5.168 5.168 0 4.90663
2014-11-24 5.128 5.128 5.128 5.128 0 4.86865
2014-11-25 4.986 4.986 4.986 4.986 0 4.73383
2014-11-26 4.962 4.962 4.962 4.962 0 4.71105
2014-11-27 5.101 5.101 5.101 5.101 0 4.84302
2014-11-28 5.156 5.156 5.156 5.156 0 4.89524
2014-12-01 5.051 5.051 5.051 5.051 0 4.79555
2014-12-02 4.993 4.993 4.993 4.993 0 4.74048
2014-12-03 5.13 5.13 5.13 5.13 0 4.87055
2014-12-04 5.207 5.207 5.207 5.207 0 4.94366
2014-12-05 5.211 5.211 5.211 5.211 0 4.94745
2014-12-08 5.301 5.301 5.301 5.301 0 5.0329
2014-12-09 5.26 5.26 5.26 5.26 0 4.99398
2014-12-10 5.411 5.411 5.411 5.411 0 5.13734
2014-12-11 4.955 4.955 4.955 4.955 0 4.7044
2014-12-12 4.962 4.962 4.962 4.962 0 4.71105
2014-12-15 4.871 4.871 4.871 4.871 0 4.62465
2014-12-16 4.749 4.749 4.749 4.749 0 4.50882
2014-12-17 4.597 4.597 4.597 4.597 0 4.36451
2014-12-18 4.754 4.754 4.754 4.754 0 4.51357
2014-12-19 4.988 4.988 4.988 4.988 0 4.73573
2014-12-22 4.939 4.939 4.939 4.939 0 4.68921
2014-12-23 4.963 4.963 4.963 4.963 0 4.712
2014-12-24 4.963 4.963 4.963 4.963 0 4.712
2014-12-25 4.963 4.963 4.963 4.963 0 4.712
2014-12-26 4.963 4.963 4.963 4.963 0 4.712
2014-12-29 5.102 5.102 5.102 5.102 0 4.84397
