"Index" "KRK.Open" "KRK.High" "KRK.Low" "KRK.Close" "KRK.Volume" "KRK.Adjusted"
2014-06-16 298.5 298.5 298.5 298.5 0 291.37831
2014-06-17 298.5 298.5 298.5 298.5 0 291.37831
2014-06-18 300 300 300 300 0 292.84253
2014-06-19 300 300 300 300 0 292.84253
2014-06-20 270 270 265 265 1300 258.67756
2014-06-23 284 285.79999 284 285.79999 3700 278.9813
2014-06-24 285.79999 285.79999 285.79999 285.79999 0 278.9813
2014-06-25 285.79999 285.79999 285.79999 285.79999 0 278.9813
2014-06-26 285.79999 285.79999 285.79999 285.79999 0 278.9813
2014-06-27 285.79999 285.79999 285.79999 285.79999 0 278.9813
2014-06-30 294.95001 295 294.95001 295 0 287.96182
2014-07-01 294.5 294.5 294.45001 294.45001 200 287.42495
2014-07-02 290 294.5 290 294.5 300 287.47375
2014-07-03 294.5 297.5 272.20001 280 4500 273.31969
2014-07-04 297 297 297 297 0 289.9141
2014-07-07 297 297 297 297 0 291.97859
2014-07-08 297 297 297 297 0 291.97859
2014-07-09 297 297 297 297 0 291.97859
2014-07-10 265 266.14999 263.89999 263.89999 1200 259.43821
2014-07-11 263.89999 263.89999 261.79999 261.79999 0 257.37371
2014-07-14 261.79999 261.79999 261.79999 261.79999 0 257.37371
2014-07-15 261 261 257.85001 257.85001 200 253.49051
2014-07-16 257.85001 257.85001 257.85001 257.85001 0 253.49051
2014-07-17 265 289.89999 265 289.89999 0 284.99863
2014-07-18 289.89999 289.89999 289.89999 289.89999 0 284.99863
2014-07-21 289.89999 289.89999 289.89999 289.89999 0 284.99863
2014-07-22 289.89999 289.89999 289.89999 289.89999 0 284.99863
2014-07-23 289.89999 289.89999 289.89999 289.89999 0 284.99863
2014-07-24 289.89999 289.89999 289.89999 289.89999 0 284.99863
2014-07-25 289.89999 289.89999 289.89999 289.89999 0 284.99863
2014-07-28 289.89999 289.89999 289.89999 289.89999 0 284.99863
2014-07-29 289.89999 289.89999 289.89999 289.89999 0 284.99863
2014-07-30 289.89999 289.89999 289.89999 289.89999 0 284.99863
2014-07-31 274 280 274 280 0 275.26601
2014-08-01 280 280 280 280 0 275.26601
2014-08-04 280 280 280 280 0 275.26601
2014-08-05 280 280 280 280 0 275.26601
2014-08-06 280 280 280 280 0 275.26601
2014-08-07 255.05 255.05 255 255 0 250.68869
2014-08-08 255 255 255 255 0 250.68869
2014-08-11 255 255 255 255 0 250.68869
2014-08-12 255 255 255 255 0 250.68869
2014-08-13 255 255 255 255 0 250.68869
2014-08-14 255 255 255 255 0 250.68869
2014-08-15 255 255 255 255 0 250.68869
2014-08-18 255 255 255 255 0 250.68869
2014-08-19 262.95001 262.95001 262.89999 262.89999 0 258.45512
2014-08-20 262.89999 262.89999 262.89999 262.89999 0 258.45512
2014-08-21 262.89999 262.89999 262.89999 262.89999 0 258.45512
2014-08-22 262.89999 262.89999 262.89999 262.89999 0 258.45512
2014-08-25 262.89999 262.89999 262.89999 262.89999 0 258.45512
2014-08-26 262.89999 262.89999 262.89999 262.89999 0 258.45512
2014-08-27 262.89999 262.89999 262.89999 262.89999 0 258.45512
2014-08-28 262.89999 262.89999 262.89999 262.89999 0 258.45512
2014-08-29 262.89999 262.89999 262.89999 262.89999 0 258.45512
2014-09-01 262.89999 262.89999 262.89999 262.89999 0 258.45512
2014-09-02 260.04999 260.04999 258 258 0 253.63797
2014-09-03 258 258 258 258 0 253.63797
2014-09-04 258 258 258 258 0 253.63797
2014-09-05 258 258 258 258 0 253.63797
2014-09-08 262.5 262.5 260 260 100 255.60416
2014-09-09 260 260 260 260 300 255.60416
2014-09-10 260 260 260 260 0 255.60416
2014-09-11 260 260 260 260 0 255.60416
2014-09-12 260 260 260 260 0 255.60416
2014-09-15 260 260 260 260 0 255.60416
2014-09-16 260 260 260 260 0 255.60416
2014-09-17 260 260 260 260 0 255.60416
2014-09-18 260 260 260 260 0 255.60416
2014-09-19 260 270 260 260 200 255.60416
2014-09-22 260 260 260 260 0 255.60416
2014-09-23 260 260 260 260 0 255.60416
2014-09-24 260 260 260 260 0 255.60416
2014-09-25 260 260 260 260 0 255.60416
2014-09-26 260 260 260 260 0 255.60416
2014-09-29 280 280 260 260 100 255.60416
2014-09-30 260 260 260 260 0 255.60416
2014-10-01 260 260 260 260 0 255.60416
2014-10-02 260 260 260 260 0 255.60416
2014-10-03 260 260 260 260 0 255.60416
2014-10-06 236 260 236 260 0 255.60416
2014-10-07 260 260 260 260 0 255.60416
2014-10-08 260 260 260 260 0 255.60416
2014-10-09 260 260 260 260 0 255.60416
2014-10-10 260 260 260 260 0 255.60416
2014-10-13 255.05 255.05 255 255 0 250.68869
2014-10-14 255 255 255 255 0 250.68869
2014-10-15 255 255 255 255 0 250.68869
2014-10-16 235.05 250.3 235.05 250.3 0 246.06816
2014-10-17 250.3 250.3 250.3 250.3 0 246.06816
2014-10-20 250.3 250.3 250.3 250.3 0 246.06816
2014-10-21 250.05 250.05 248 248 4300 243.80704
2014-10-22 250.05 256.79999 248.5 248.5 6700 244.29859
2014-10-23 250.05 250.05 250 250 500 245.77323
2014-10-24 250 250 250 250 0 245.77323
2014-10-27 250 250 250 250 0 245.77323
2014-10-28 250 250 250 250 0 245.77323
2014-10-29 250 250 250 250 0 245.77323
2014-10-30 250 250 250 250 600 245.77323
2014-10-31 250 250 250 250 0 245.77323
2014-11-03 250 250 250 250 0 245.77323
2014-11-04 253 253 245.05 245.05 6000 240.90692
2014-11-05 245.60001 245.60001 245.5 245.5 4600 241.34931
2014-11-06 245.5 245.5 245.5 245.5 0 241.34931
2014-11-07 245.5 245.5 245.5 245.5 0 241.34931
2014-11-10 245.5 245.5 245.5 245.5 0 241.34931
2014-11-11 245.5 245.5 245.5 245.5 0 241.34931
2014-11-12 245.5 245.5 245.5 245.5 0 241.34931
2014-11-13 245.5 245.5 245.5 245.5 0 241.34931
2014-11-14 245.5 245.5 245.5 245.5 0 241.34931
2014-11-17 245.5 245.5 245.5 245.5 0 241.34931
2014-11-18 245.5 245.5 245.5 245.5 0 241.34931
2014-11-19 245.5 245.5 245.5 245.5 0 241.34931
2014-11-20 245.5 245.5 245.5 245.5 0 241.34931
2014-11-21 245.5 245.5 245.5 245.5 0 241.34931
2014-11-24 245.5 245.5 245.5 245.5 0 241.34931
2014-11-25 245.5 245.5 245.5 245.5 0 241.34931
2014-11-26 245.5 245.5 245.5 245.5 0 241.34931
2014-11-27 245.5 245.5 245.5 245.5 0 241.34931
2014-11-28 245.5 245.5 245.5 245.5 0 241.34931
2014-12-01 245.5 245.5 245.5 245.5 0 241.34931
2014-12-02 245.5 245.5 245.5 245.5 0 241.34931
2014-12-03 245.5 245.5 245.5 245.5 0 241.34931
2014-12-04 245.5 245.5 245.5 245.5 0 241.34931
2014-12-05 245.5 245.5 245.5 245.5 0 241.34931
2014-12-08 245.5 245.5 245.5 245.5 0 241.34931
2014-12-09 245.5 245.5 245.5 245.5 0 241.34931
2014-12-10 245.5 245.5 245.5 245.5 0 241.34931
2014-12-11 245.5 245.5 245.5 245.5 0 241.34931
2014-12-12 245.5 245.5 245.5 245.5 0 241.34931
2014-12-15 245.5 245.5 245.5 245.5 0 241.34931
2014-12-16 245.5 245.5 245.5 245.5 0 241.34931
2014-12-17 245.5 245.5 245.5 245.5 0 241.34931
2014-12-18 245.5 245.5 245.5 245.5 0 241.34931
2014-12-19 245.5 245.5 245.5 245.5 0 241.34931
2014-12-22 245.5 245.5 245.5 245.5 0 241.34931
2014-12-23 245.5 245.5 245.5 245.5 0 241.34931
2014-12-24 245.5 245.5 245.5 245.5 0 241.34931
2014-12-25 245.5 245.5 245.5 245.5 0 241.34931
2014-12-26 245.5 245.5 245.5 245.5 0 241.34931
2014-12-29 245.5 245.5 245.5 245.5 0 241.34931
2014-12-30 245.5 245.5 245.5 245.5 0 241.34931
2014-12-31 245.5 245.5 245.5 245.5 0 241.34931
2015-01-01 245.5 245.5 245.5 245.5 0 241.34931
2015-01-02 245.5 245.5 245.5 245.5 0 241.34931
2015-01-05 225 225 225 225 100 221.1959
2015-01-06 225 225 225 225 0 221.1959
2015-01-07 225 225 225 225 0 221.1959
2015-01-08 225 225 225 225 0 221.1959
2015-01-09 225 225 225 225 0 221.1959
2015-01-12 225 225 225 225 0 221.1959
2015-01-13 225 225 225 225 0 221.1959
2015-01-14 225 225 225 225 0 221.1959
2015-01-15 225 225 225 225 0 221.1959
2015-01-16 225 225 225 225 0 221.1959
2015-01-19 225 225 225 225 0 221.1959
2015-01-20 225 225 225 225 0 221.1959
2015-01-21 225 225 225 225 0 221.1959
2015-01-22 225 225 225 225 0 221.1959
2015-01-23 225 225 225 225 0 221.1959
2015-01-26 225 225 225 225 0 221.1959
2015-01-27 225 225 225 225 0 221.1959
2015-01-28 225 225 225 225 0 221.1959
2015-01-29 225 225 225 225 0 221.1959
2015-01-30 225 225 225 225 0 221.1959
2015-02-02 225 225 225 225 0 221.1959
2015-02-03 225 225 225 225 0 221.1959
2015-02-04 225 225 225 225 0 221.1959
2015-02-05 243.10001 243.2 243.10001 243.2 100 239.08819
2015-02-06 243.2 243.2 243.2 243.2 0 239.08819
2015-02-09 243.2 243.2 243.2 243.2 0 239.08819
2015-02-10 243.2 243.2 243.2 243.2 0 239.08819
2015-02-11 243.2 243.2 243.2 243.2 0 239.08819
2015-02-12 243.2 243.2 243.2 243.2 0 239.08819
2015-02-13 243.2 243.2 243.2 243.2 0 239.08819
2015-02-16 243.2 243.2 243.2 243.2 0 239.08819
2015-02-17 243.2 243.2 243.2 243.2 0 239.08819
2015-02-18 242.75 243.2 242.75 243 1800 238.89158
2015-02-19 243 243 243 243 0 238.89158
2015-02-20 243 243 243 243 0 238.89158
2015-02-23 243 243 243 243 0 238.89158
2015-02-24 243 243 243 243 0 238.89158
2015-02-25 243 243 243 243 0 238.89158
2015-02-26 243 243 243 243 0 238.89158
2015-02-27 243 243 243 243 0 238.89158
2015-03-02 243 243 243 243 0 238.89158
2015-03-03 243 243 243 243 0 238.89158
2015-03-04 250.35001 250.39999 250.35001 250.39999 0 246.16646
2015-03-05 250.39999 250.39999 250.39999 250.39999 0 246.16646
2015-03-06 250.39999 250.39999 250.39999 250.39999 0 246.16646
2015-03-09 250.39999 250.39999 250.39999 250.39999 0 246.16646
2015-03-10 255 255 254.95 255 0 250.68869
2015-03-11 265 265 248.05 248.05 0 243.8562
2015-03-12 248.05 248.05 248.05 248.05 0 243.8562
2015-03-13 248.05 248.05 247 247 0 242.82395
2015-03-16 260 260 259 259 0 254.62106
2015-03-17 259 259 259 259 0 254.62106
2015-03-18 260 260 260 260 0 255.60416
2015-03-19 260 260 260 260 0 255.60416
2015-03-20 252 252 245 245 400 240.85776
2015-03-23 245 245 245 245 0 240.85776
2015-03-24 245 245 245 245 0 240.85776
2015-03-25 245 245 245 245 0 240.85776
2015-03-26 260 260 255 255 0 250.68869
2015-03-27 255 255 255 255 0 250.68869
2015-03-30 248.89999 260 247.10001 247.10001 300 242.92226
2015-03-31 247.10001 247.10001 247.10001 247.10001 0 242.92226
2015-04-01 250 250 250 250 0 245.77323
2015-04-02 250 250 250 250 0 245.77323
2015-04-03 250 250 250 250 0 245.77323
2015-04-06 250 250 250 250 0 245.77323
2015-04-07 250 250 250 250 0 245.77323
2015-04-08 250 250 250 250 0 245.77323
2015-04-09 250 250 250 250 0 245.77323
2015-04-10 250 250 250 250 0 245.77323
2015-04-13 250 250 250 250 0 245.77323
2015-04-14 250 250 250 250 0 245.77323
2015-04-15 265 267 265 267 100 262.48581
2015-04-16 266 270 266 270 0 265.43508
2015-04-17 270 270 270 270 0 265.43508
2015-04-20 270 270 270 270 0 265.43508
2015-04-21 270 270 270 270 0 265.43508
2015-04-22 270 270 270 270 0 265.43508
2015-04-23 270 270 270 270 0 265.43508
2015-04-24 270 270 270 270 0 265.43508
2015-04-27 270 270 270 270 0 265.43508
2015-04-28 270 270 270 270 0 265.43508
2015-04-29 270 270 270 270 0 265.43508
2015-04-30 270 270 270 270 0 265.43508
2015-05-01 270 270 270 270 0 265.43508
2015-05-04 270 270 270 270 0 265.43508
2015-05-05 270 270 270 270 0 265.43508
2015-05-06 270 270 270 270 0 265.43508
2015-05-07 270 270 270 270 0 265.43508
2015-05-08 270 270 270 270 0 265.43508
2015-05-11 270 270 270 270 0 265.43508
2015-05-12 277 290 267 267 0 262.48581
2015-05-13 267 267 267 267 0 262.48581
2015-05-14 267 267 267 267 0 262.48581
2015-05-15 267 267 267 267 0 262.48581
2015-05-18 267 267 265 265 100 260.51962
2015-05-19 265 265 265 265 0 260.51962
2015-05-20 265 265 265 265 0 260.51962
2015-05-21 265 265 265 265 0 260.51962
2015-05-22 265 265 265 265 0 260.51962
2015-05-25 265 265 265 265 0 260.51962
2015-05-26 265 265 265 265 0 260.51962
2015-05-27 265 265 265 265 0 260.51962
2015-05-28 265 265 265 265 0 260.51962
2015-05-29 265 265 265 265 0 260.51962
2015-06-01 265 265 265 265 0 260.51962
2015-06-02 265 265 265 265 0 260.51962
2015-06-03 265 265 265 265 0 260.51962
2015-06-04 265 265 265 265 0 260.51962
2015-06-05 265 265 265 265 0 260.51962
2015-06-08 265 265 265 265 0 260.51962
