"Index" "MWE.Open" "MWE.High" "MWE.Low" "MWE.Close" "MWE.Volume" "MWE.Adjusted"
2014-04-03 64.239998 64.75 63.59 63.610001 496300 57.340301
2014-04-04 63.75 64.949997 63.34 64.559998 761100 58.196662
2014-04-07 64.540001 64.540001 62.950001 63.32 928500 57.078884
2014-04-08 63.330002 64.709999 63.32 64.150002 515300 57.827077
2014-04-09 64.129997 64.559998 63.110001 63.110001 651900 56.889583
2014-04-10 63.060001 63.889999 62.639999 62.700001 461600 56.519995
2014-04-11 62.700001 63.939999 62.700001 63.869999 760500 57.574673
2014-04-14 63.98 65.089996 63.720001 63.919998 524300 57.619744
2014-04-15 63.970001 64.620003 63.18 63.310001 617800 57.069871
2014-04-16 63.369999 64.129997 63.200001 63.700001 1226200 57.42143
2014-04-17 63.799999 65.010002 63.560001 64.870003 692400 58.476111
2014-04-21 65 65.75 64.849998 65.470001 432500 59.016971
2014-04-22 65.580002 66 64.989998 65.160004 719000 58.737528
2014-04-23 65.040001 65.910004 65.010002 65.370003 504000 58.926829
2014-04-24 65.550003 65.68 63.950001 64.349998 668800 58.007361
2014-04-25 64.139999 65.160004 62.990002 63.139999 782800 56.916625
2014-04-28 63.369999 64.160004 62.880001 63.34 715300 57.096913
2014-04-29 63.419998 64.349998 63.310001 64 652900 57.69186
2014-04-30 63.029999 63.740002 62.889999 63.34 737800 57.096913
2014-05-01 63.299999 64.269997 62.779999 62.93 895000 56.727325
2014-05-02 62.900002 63.34 61.650002 62.869999 1159800 56.673237
2014-05-05 61.060001 62.330002 61.02 62.18 973200 56.837774
2014-05-06 62.029999 62.48 61.52 62.360001 605400 57.00231
2014-05-07 62.07 62.98 61.77 62.630001 1033200 57.249113
2014-05-08 60.950001 64.099998 58.619999 63.43 2224800 57.98038
2014-05-09 63.259998 63.490002 62.869999 63.400002 714500 57.952958
2014-05-12 63.32 64.849998 63.310001 63.41 1027600 57.962098
2014-05-13 63.459999 63.610001 62.09 62.59 965600 57.212549
2014-05-14 62.77 63.57 62.650002 62.900002 844300 57.495916
2014-05-15 63.119999 63.400002 61.900002 62.790001 598100 57.395366
2014-05-16 62.830002 63.119999 62.540001 62.580002 634300 57.203409
2014-05-19 62.580002 63.080002 62.529999 62.970001 696400 57.559902
2014-05-20 62.939999 63.150002 62.560001 62.59 689200 57.212549
2014-05-21 62.389999 63.220001 62.150002 62.75 812400 57.358802
2014-05-22 62.689999 62.950001 61.759998 61.990002 1961800 56.664099
2014-05-23 62.189999 62.75 61.5 62.09 2243100 56.755506
2014-05-27 62.169998 62.5 61.91 61.990002 521400 56.664099
2014-05-28 62.009998 62.360001 61.82 62.200001 941900 56.856056
2014-05-29 62.259998 62.380001 61.75 61.950001 496000 56.627535
2014-05-30 61.759998 62.080002 61.759998 61.950001 639800 56.627535
2014-06-02 62.02 62.419998 61.93 62.27 1500400 56.920042
2014-06-03 62.240002 62.919998 62.049999 62.650002 1514400 57.267395
2014-06-04 62.790001 63.119999 62.5 62.91 911700 57.505055
2014-06-05 62.220001 63.459999 62.220001 63.290001 927600 57.852408
2014-06-06 63.490002 65.400002 63.310001 64.790001 1084400 59.223535
2014-06-09 64.800003 65.589996 64.5 65.190002 1265800 59.58917
2014-06-10 65.260002 66.209999 65.139999 65.709999 633600 60.064491
2014-06-11 65.529999 66 65.260002 65.510002 437400 59.881677
2014-06-12 65.669998 65.970001 64.75 65.419998 625900 59.799406
2014-06-13 65.510002 65.690002 64.970001 65.440002 384300 59.817692
2014-06-16 65.32 66.410004 64.959999 66.029999 681200 60.356998
2014-06-17 66.029999 66.82 65.610001 66.220001 775100 60.530676
2014-06-18 66.260002 66.529999 65.760002 66.129997 703600 60.448405
2014-06-19 66.160004 66.720001 65.879997 66.559998 648500 60.841462
2014-06-20 66.510002 68.160004 66.470001 68.010002 1622000 62.166888
2014-06-23 67.980003 70.07 67.480003 69.730003 1725300 63.739115
2014-06-24 69.699997 71.389999 69.519997 70.43 1334100 64.378971
2014-06-25 70.5 70.849998 69.639999 70.370003 491200 64.324128
2014-06-26 70.470001 70.75 70.059998 70.639999 1460800 64.570928
2014-06-27 71.110001 71.879997 70.779999 71.309998 2329400 65.183363
2014-06-30 71.309998 71.739998 70.889999 71.580002 1451300 65.43017
2014-07-01 71.510002 72.589996 71.019997 72.440002 709100 66.216283
2014-07-02 72.379997 74 72.050003 72.540001 1210900 66.30769
2014-07-03 72.830002 73.099998 71.970001 72.110001 434400 65.914633
2014-07-07 72.260002 72.300003 69.410004 69.769997 1005900 63.775672
2014-07-08 69.410004 70.370003 69.410004 69.690002 611900 63.702551
2014-07-09 69.57 70.459999 69.309998 70.019997 741900 64.004193
2014-07-10 69.349998 70.050003 69.099998 69.830002 2563200 63.830522
2014-07-11 69.82 70.889999 69.809998 70.889999 400800 64.799449
2014-07-14 71.089996 71.360001 70.940002 71.150002 518400 65.037113
2014-07-15 71.040001 72.330002 70.760002 71.900002 623000 65.722677
2014-07-16 72.050003 73.07 70.910004 73.019997 565500 66.746447
2014-07-17 72.82 73.540001 72.769997 73.18 614800 66.892704
2014-07-18 73.25 73.910004 73.019997 73.849998 448000 67.505138
2014-07-21 73.849998 74.43 73.589996 74.389999 562700 67.998745
2014-07-22 74.660004 75.199997 74.400002 75.190002 834600 68.730015
2014-07-23 74.839996 76.019997 74.419998 74.610001 965600 68.199845
2014-07-24 75.07 75.110001 72.07 72.639999 1057500 66.399097
2014-07-25 72.290001 72.330002 70.459999 71.510002 887500 65.366184
2014-07-28 71.580002 72.150002 71.279999 72.019997 476300 65.832362
2014-07-29 72.339996 73.440002 71.809998 71.949997 721700 65.768377
2014-07-30 72.089996 72.139999 70.120003 70.849998 824600 64.762885
2014-07-31 70.379997 70.690002 68.989998 69.800003 2953400 63.8031
2014-08-01 68.410004 69.699997 67.699997 68.910004 820300 63.793844
2014-08-04 69.040001 70.730003 68.43 70.419998 682700 65.19173
2014-08-05 70.160004 70.25 68.660004 69.209999 465000 64.071566
2014-08-06 69.139999 69.209999 68.029999 68.550003 696900 63.460571
