"Index" "SPY.Open" "SPY.High" "SPY.Low" "SPY.Close" "SPY.Volume" "SPY.Adjusted"
2013-09-17 170.460007 171.110001 170.460007 171.070007 82523300 163.686051
2013-09-18 171.009995 173.520004 170.580002 173.050003 203460600 165.580584
2013-09-19 173.520004 173.600006 172.589996 172.759995 146616900 165.303093
2013-09-20 172.330002 172.330002 170.580002 170.720001 132867100 164.147371
2013-09-23 170.490005 170.649994 169.389999 169.929993 104616500 163.387777
2013-09-24 169.899994 170.529999 169.210007 169.529999 106333100 163.003183
2013-09-25 169.639999 169.979996 168.889999 169.039993 117306500 162.532042
2013-09-26 169.320007 170.169998 169.050003 169.690002 77146900 163.157027
2013-09-27 168.839996 169.139999 168.470001 168.910004 99141800 162.407057
2013-09-30 167.479996 168.539993 167.149994 168.009995 143937000 161.541698
2013-10-01 168.139999 169.5 167.970001 169.339996 127160000 162.820495
2013-10-02 168.350006 169.339996 167.830002 169.179993 113350000 162.666652
2013-10-03 168.789993 168.940002 166.839996 167.619995 176698000 161.166713
2013-10-04 167.75 169.059998 167.529999 168.889999 96878000 162.387823
2013-10-07 167.419998 168.449997 167.25 167.429993 96295000 160.984026
2013-10-08 167.399994 167.619995 165.360001 165.479996 178015000 159.109103
2013-10-09 165.800003 166.199997 164.529999 165.600006 168973000 159.224493
2013-10-10 167.289993 169.259995 167.229996 169.169998 195955000 162.657042
2013-10-11 168.910004 170.320007 168.770004 170.259995 105040000 163.705074
2013-10-14 169.210007 171.080002 169.080002 170.940002 112106000 164.358902
2013-10-15 170.509995 171.149994 169.470001 169.699997 155485000 163.166636
2013-10-16 170.720001 172.160004 170.639999 172.070007 161676000 165.445402
2013-10-17 171.369995 173.320007 171.339996 173.220001 129389000 166.551122
2013-10-18 173.860001 174.509995 173.509995 174.389999 138316000 167.676076
2013-10-21 174.449997 174.75 174.009995 174.399994 104104000 167.685686
2013-10-22 174.910004 175.929993 174.429993 175.410004 126663000 168.656811
2013-10-23 174.809998 174.889999 173.960007 174.570007 105484000 167.849154
2013-10-24 174.919998 175.369995 174.509995 175.149994 70350000 168.406811
2013-10-25 175.509995 176 175.169998 175.949997 93625000 169.176015
2013-10-28 175.889999 176.470001 175.699997 176.229996 84979000 169.445233
2013-10-29 176.630005 177.240005 176.380005 177.169998 87401000 170.349046
2013-10-30 177.380005 177.509995 175.660004 176.289993 140002000 169.502921
2013-10-31 176.149994 176.889999 175.529999 175.789993 133795000 169.022171
2013-11-01 176.020004 176.610001 175.220001 176.210007 142805000 169.426014
2013-11-04 176.690002 176.899994 175.979996 176.830002 85677000 170.02214
2013-11-05 176.139999 176.75 175.570007 176.270004 85825000 169.483702
2013-11-06 177.029999 177.5 176.539993 177.169998 87348000 170.349046
2013-11-07 177.5 177.639999 174.759995 174.929993 1.57e+08 168.19528
2013-11-08 174.869995 177.309998 174.850006 177.289993 136713000 170.464422
2013-11-11 177.119995 177.529999 176.910004 177.320007 62614000 170.49328
2013-11-12 176.940002 177.360001 176.369995 176.960007 83990000 170.147139
2013-11-13 176.089996 178.429993 176.089996 178.380005 103844000 171.512468
2013-11-14 178.539993 179.419998 178.25 179.270004 103435000 172.368203
2013-11-15 179.559998 180.119995 179.330002 180.050003 102818000 173.118173
2013-11-18 180.350006 180.5 179.020004 179.419998 104796000 172.512423
2013-11-19 179.330002 179.869995 178.720001 179.029999 93891000 172.137438
2013-11-20 179.389999 179.929993 177.979996 178.470001 124909000 171.599
2013-11-21 178.970001 180.050003 178.860001 179.910004 92841000 172.983563
2013-11-22 179.979996 180.830002 179.770004 180.809998 81296000 173.848908
2013-11-25 181.130005 181.169998 180.369995 180.630005 79486000 173.675845
2013-11-26 180.720001 181.220001 180.410004 180.679993 86994000 173.723908
2013-11-27 180.869995 181.240005 180.649994 181.119995 58800000 174.14697
2013-11-29 181.320007 181.75 180.800003 181 55870900 174.031595
2013-12-02 181.089996 181.429993 180.25 180.529999 99726000 173.579689
2013-12-03 179.940002 180.389999 179.169998 179.75 116563000 172.829719
2013-12-04 179.100006 180.479996 178.350006 179.729996 123033000 172.810485
2013-12-05 179.410004 179.740005 178.770004 178.940002 106934000 172.050906
2013-12-06 180.669998 181.110001 180.149994 180.940002 127728000 173.973907
2013-12-09 181.470001 181.669998 181.160004 181.399994 70124000 174.416189
2013-12-10 180.979996 181.360001 180.639999 180.75 80976000 173.79122
2013-12-11 180.820007 180.850006 178.5 178.720001 130591000 171.839375
2013-12-12 178.639999 178.860001 177.759995 178.130005 115565000 171.272093
2013-12-13 178.5 178.660004 177.770004 178.110001 107808000 171.252859
2013-12-16 178.949997 179.809998 178.899994 179.220001 96195000 172.320125
2013-12-17 179.380005 179.410004 178.25 178.649994 89886000 171.772063
2013-12-18 178.919998 181.729996 177.320007 181.699997 234906000 174.704643
2013-12-19 181.179993 181.699997 180.710007 181.490005 136531200 174.502736
2013-12-20 180.690002 181.990005 180.570007 181.559998 197087000 175.517786
2013-12-23 182.449997 182.639999 182.070007 182.529999 85598000 176.455506
2013-12-24 182.539993 183.009995 182.529999 182.929993 45368800 176.842189
2013-12-26 183.339996 183.960007 183.320007 183.860001 63365000 177.741247
2013-12-27 184.100006 184.179993 183.660004 183.850006 61814000 177.731585
2013-12-30 183.869995 184.020004 183.580002 183.820007 56857000 177.702584
2013-12-31 184.070007 184.690002 183.929993 184.690002 86119900 178.543626
2014-01-02 183.979996 184.070007 182.479996 182.919998 119636900 176.832527
2014-01-03 183.229996 183.600006 182.630005 182.889999 81390600 176.803526
2014-01-06 183.490005 183.559998 182.080002 182.360001 108028200 176.291166
2014-01-07 183.089996 183.789993 182.949997 183.479996 86144200 177.373888
2014-01-08 183.449997 183.830002 182.889999 183.520004 96582300 177.412565
2014-01-09 184.110001 184.130005 182.800003 183.639999 90683400 177.528567
2014-01-10 183.949997 184.220001 183.009995 184.139999 102026400 178.011927
2014-01-13 183.669998 184.179993 181.339996 181.690002 149892000 175.643465
2014-01-14 182.289993 183.770004 181.949997 183.669998 105016100 177.557567
2014-01-15 184.100006 184.940002 183.710007 184.660004 98525800 178.514626
2014-01-16 184.279999 184.660004 183.830002 184.419998 72290600 178.282608
2014-01-17 184.100006 184.449997 183.320007 183.639999 107848700 177.528567
2014-01-21 184.699997 184.770004 183.050003 184.179993 88621200 178.05059
2014-01-22 184.490005 184.570007 183.910004 184.300003 61270900 178.166606
2014-01-23 183.369995 183.399994 181.820007 182.789993 132496900 176.706849
2014-01-24 181.600006 181.660004 178.830002 178.889999 208677100 172.936644
2014-01-27 179.059998 179.520004 177.119995 178.009995 180843100 172.085925
2014-01-28 178.139999 179.300003 178.119995 179.070007 110463200 173.110662
2014-01-29 177.580002 178.550003 176.880005 177.350006 216597300 171.447901
2014-01-30 178.830002 179.809998 178.259995 179.229996 118938100 173.265326
2014-01-31 177.009995 179.289993 176.919998 178.179993 194677900 172.250266
2014-02-03 177.970001 178.369995 173.830002 174.169998 254837100 168.373722
2014-02-04 174.949997 175.839996 174.110001 175.389999 165012400 169.553122
2014-02-05 174.779999 175.559998 173.710007 175.169998 164230500 169.340442
2014-02-06 175.580002 177.479996 175.220001 177.479996 132877600 171.573565
2014-02-07 178.309998 179.869995 177.729996 179.679993 170787200 173.700347
2014-02-10 179.699997 180.070007 179.210007 180.009995 92218800 174.019366
2014-02-11 180.160004 182.440002 180.039993 181.979996 117814100 175.923807
2014-02-12 182.25 182.830002 181.710007 182.070007 94717700 176.010823
2014-02-13 180.839996 183.199997 180.830002 183.009995 100542200 176.919528
2014-02-14 182.839996 184.360001 182.669998 184.020004 96498400 177.895925
2014-02-18 184.179993 184.490005 183.649994 184.240005 80460900 178.108605
2014-02-19 183.759995 184.949997 182.869995 183.020004 126524300 176.929205
2014-02-20 183.270004 184.520004 182.600006 184.100006 104998100 177.973265
2014-02-21 184.449997 184.889999 183.800003 183.889999 118116400 177.770247
2014-02-24 184.279999 186.149994 184.199997 184.910004 114063900 178.756306
2014-02-25 185.059998 185.589996 184.229996 184.839996 117085000 178.688629
2014-02-26 185.110001 185.600006 184.330002 184.850006 98677200 178.698305
2014-02-27 184.580002 185.869995 184.369995 185.820007 93880800 179.636025
2014-02-28 185.789993 187.149994 185.050003 186.289993 150842000 180.090371
2014-03-03 184.649994 185.449997 183.75 184.979996 167748500 178.823969
2014-03-04 186.789993 187.979996 186.75 187.580002 167545900 181.337448
2014-03-05 187.740005 188.070007 187.449997 187.75 88376900 181.501789
2014-03-06 188.210007 188.610001 187.779999 188.179993 82516500 181.917472
2014-03-07 188.960007 188.960007 187.429993 188.259995 114513500 181.994811
2014-03-10 187.970001 188.229996 187.080002 188.160004 74939200 181.898148
2014-03-11 188.440002 188.710007 186.800003 187.229996 99009100 180.99909
2014-03-12 186.320007 187.350006 185.899994 187.279999 104824400 181.047429
2014-03-13 187.839996 187.990005 184.660004 185.179993 155014300 179.01731
2014-03-14 184.850006 185.800003 184.440002 184.660004 153919600 178.514626
2014-03-17 185.589996 186.770004 185.509995 186.330002 98359500 180.129048
2014-03-18 186.710007 187.910004 186.509995 187.660004 101804600 181.414788
2014-03-19 187.679993 187.940002 185.470001 186.660004 176267300 180.448067
2014-03-20 186.25 187.889999 185.919998 187.75 117241000 181.501789
2014-03-21 187.710007 189.020004 186.029999 186.199997 163128000 180.797825
2014-03-24 186.839996 187.070007 184.619995 185.429993 121411000 180.050161
2014-03-25 186.369995 186.940002 185.270004 186.309998 103852000 180.904634
2014-03-26 187.039993 187.339996 184.919998 184.970001 119843000 179.603515
2014-03-27 184.75 185.339996 183.899994 184.580002 142383000 179.22483
2014-03-28 185.110001 186.419998 185 185.490005 101642000 180.108432
2014-03-31 186.669998 187.300003 185.520004 187.009995 99745000 181.584322
2014-04-01 187.619995 188.360001 187 188.25 89193000 182.788352
2014-04-02 188.490005 189.130005 188.139999 188.880005 78774000 183.400078
2014-04-03 189.169998 189.220001 188.050003 188.630005 77435000 183.157332
2014-04-04 189.660004 189.699997 186.100006 186.399994 169381000 180.992019
2014-04-07 185.949997 186.259995 183.960007 184.339996 140803000 178.991788
2014-04-08 184.259995 185.399994 183.589996 185.100006 112660000 179.729748
2014-04-09 185.600006 187.149994 185.059998 187.089996 100254000 181.662003
2014-04-10 187.080002 187.169998 182.929993 183.160004 172959000 177.84603
2014-04-11 182.139999 183.419998 181.309998 181.509995 167251000 176.243892
2014-04-14 182.929993 183.369995 181.440002 182.940002 132382000 177.632412
2014-04-15 183.320007 184.330002 181.509995 184.199997 157093000 178.85585
2014-04-16 185.470001 186.139999 184.649994 186.130005 105197000 180.729864
2014-04-17 185.880005 186.910004 185.559998 186.389999 105255000 180.982315
2014-04-21 186.440002 187.100006 186.210007 187.039993 68329000 181.613451
2014-04-22 187.229996 188.399994 187.130005 187.889999 85790000 182.438796
2014-04-23 187.820007 187.919998 187.300003 187.449997 73869000 182.011559
2014-04-24 188.369995 188.389999 186.929993 187.830002 88170000 182.380539
2014-04-25 187.220001 187.330002 185.869995 186.289993 100380000 180.88521
2014-04-28 187.050003 187.690002 184.960007 186.880005 135121000 181.458104
2014-04-29 187.479996 188.039993 187.080002 187.75 84098000 182.302858
2014-04-30 187.440002 188.5 187.179993 188.309998 101508000 182.846609
2014-05-01 188.220001 188.839996 187.729996 188.330002 93019000 182.866033
2014-05-02 188.309998 189.139999 187.779999 188.059998 98122000 182.603862
2014-05-05 187.139999 188.550003 186.619995 188.419998 75883000 182.953418
2014-05-06 188 188.130005 186.740005 186.779999 85454000 181.360999
2014-05-07 187.410004 187.970001 186.009995 187.880005 106500000 182.429091
2014-05-08 187.710007 189.050003 187.080002 187.679993 93618000 182.234882
2014-05-09 187.710007 188.039993 186.830002 187.960007 83679000 182.506772
2014-05-12 188.800003 189.880005 188 189.789993 86940000 184.283666
2014-05-13 190.039993 190.419998 189.770004 189.960007 66454000 184.448746
2014-05-14 189.789993 189.880005 188.789993 189.059998 72367000 183.574849
2014-05-15 188.679993 188.720001 186.479996 187.399994 154956000 181.963007
2014-05-16 187.509995 188.130005 186.720001 188.050003 97458000 182.594157
2014-05-19 187.690002 188.889999 187.520004 188.740005 63839000 183.264141
2014-05-20 188.649994 188.669998 187.070007 187.550003 111644000 182.108664
2014-05-21 188.089996 189.220001 188.059998 189.130005 89093000 183.642825
2014-05-22 189.179993 189.979996 188.860001 189.589996 61549000 184.089471
2014-05-23 189.759995 190.479996 189.589996 190.350006 61092800 184.827431
2014-05-27 191.059998 191.580002 190.949997 191.520004 72010000 185.963484
2014-05-28 191.520004 191.820007 191.059998 191.380005 66723000 185.827547
2014-05-29 191.820007 192.399994 191.330002 192.369995 64377000 186.788815
2014-05-30 192.190002 192.800003 192.029999 192.679993 76316000 187.089818
2014-06-02 192.949997 192.990005 191.970001 192.899994 64656000 187.303437
2014-06-03 192.429993 192.899994 192.25 192.800003 65047000 187.206347
2014-06-04 192.470001 193.300003 192.270004 193.190002 55529000 187.585031
2014-06-05 193.410004 194.649994 192.699997 194.449997 92103000 188.80847
2014-06-06 194.869995 195.429993 194.779999 195.380005 78696000 189.711496
2014-06-09 195.350006 196.050003 195.169998 195.580002 65119000 189.90569
2014-06-10 195.339996 195.639999 194.919998 195.600006 57129000 189.925114
2014-06-11 194.899994 195.119995 194.479996 194.919998 68772000 189.264835
2014-06-12 194.690002 194.800003 193.110001 193.539993 106350000 187.924868
2014-06-13 193.919998 194.320007 193.300003 194.130005 82017000 188.497762
2014-06-16 193.889999 194.699997 193.660004 194.289993 87424000 188.653108
2014-06-17 194.020004 194.970001 193.809998 194.830002 84834000 189.17745
2014-06-18 194.830002 196.369995 194.399994 196.259995 105267000 190.565954
2014-06-19 196.429993 196.600006 195.800003 196.479996 85929000 190.779573
2014-06-20 196.029999 196.100006 195.699997 195.940002 100587000 191.166904
2014-06-23 195.990005 196.050003 195.520004 195.880005 70611000 191.108368
2014-06-24 195.529999 196.5 194.479996 194.699997 96237000 189.957105
2014-06-25 194.289993 195.779999 194.25 195.580002 82782000 190.815673
2014-06-26 195.610001 195.630005 194.130005 195.440002 84312000 190.679084
2014-06-27 194.979996 195.880005 194.889999 195.820007 71445100 191.049832
2014-06-30 195.699997 196.169998 195.529999 195.720001 70201200 190.952262
2014-07-01 196.199997 197.630005 196.130005 197.029999 90470000 192.230348
2014-07-02 197.050003 197.479996 196.960007 197.229996 52475000 192.425473
2014-07-03 197.789993 198.289993 197.639999 198.199997 52938800 193.371845
2014-07-07 197.820007 197.979996 197.220001 197.509995 61696000 192.698651
2014-07-08 197.149994 197.220001 195.759995 196.240005 108143000 191.459599
2014-07-09 196.729996 197.300003 196.309998 197.119995 72992000 192.318152
2014-07-10 195.220001 196.860001 195.059998 196.339996 99040000 191.557154
2014-07-11 196.220001 196.75 195.779999 196.610001 64243000 191.820581
