"Index" "GCU.Open" "GCU.High" "GCU.Low" "GCU.Close" "GCU.Volume" "GCU.Adjusted"
2014-07-14 1.579 1.579 1.579 1.579 0 1.579
2014-07-15 1.548 1.548 1.548 1.548 0 1.548
2014-07-16 1.584 1.584 1.584 1.584 0 1.584
2014-07-17 1.568 1.568 1.568 1.568 0 1.568
2014-07-18 1.567 1.567 1.567 1.567 0 1.567
2014-07-21 1.587 1.587 1.587 1.587 0 1.587
2014-07-22 1.585 1.585 1.585 1.585 0 1.585
2014-07-23 1.56 1.56 1.56 1.56 0 1.56
2014-07-24 1.574 1.574 1.574 1.574 0 1.574
2014-07-25 1.562 1.562 1.562 1.562 0 1.562
2014-07-28 1.568 1.568 1.568 1.568 0 1.568
2014-07-29 1.578 1.578 1.578 1.578 0 1.578
2014-07-30 1.537 1.537 1.537 1.537 0 1.537
2014-07-31 1.546 1.546 1.546 1.546 0 1.546
2014-08-01 1.537 1.537 1.537 1.537 0 1.537
2014-08-04 1.537 1.537 1.537 1.537 0 1.537
2014-08-05 1.533 1.533 1.533 1.533 0 1.533
2014-08-06 1.445 1.445 1.445 1.445 0 1.445
2014-08-07 1.398 1.398 1.398 1.398 0 1.398
2014-08-08 1.407 1.407 1.407 1.407 0 1.407
2014-08-11 1.412 1.412 1.412 1.412 0 1.412
2014-08-12 1.426 1.426 1.426 1.426 0 1.426
2014-08-13 1.419 1.419 1.419 1.419 0 1.419
2014-08-14 1.411 1.411 1.411 1.411 0 1.411
2014-08-15 1.41 1.41 1.41 1.41 0 1.41
2014-08-18 1.427 1.427 1.427 1.427 0 1.427
2014-08-19 1.444 1.444 1.444 1.444 0 1.444
2014-08-20 1.454 1.454 1.454 1.454 0 1.454
2014-08-21 1.466 1.466 1.466 1.466 0 1.466
2014-08-22 1.444 1.444 1.444 1.444 0 1.444
2014-08-25 1.485 1.485 1.485 1.485 0 1.485
2014-08-26 1.48 1.48 1.48 1.48 0 1.48
2014-08-27 1.452 1.452 1.452 1.452 0 1.452
2014-08-28 1.439 1.439 1.439 1.439 0 1.439
2014-08-29 1.462 1.462 1.462 1.462 0 1.462
2014-09-01 1.463 1.463 1.463 1.463 0 1.463
2014-09-02 1.449 1.449 1.449 1.449 0 1.449
2014-09-03 1.443 1.443 1.443 1.443 0 1.443
2014-09-04 1.44 1.44 1.44 1.44 0 1.44
2014-09-05 1.449 1.449 1.449 1.449 0 1.449
2014-09-08 1.439 1.439 1.439 1.439 0 1.439
2014-09-09 1.44 1.44 1.44 1.44 0 1.44
2014-09-10 1.436 1.436 1.436 1.436 0 1.436
2014-09-11 1.448 1.448 1.448 1.448 0 1.448
2014-09-12 1.451 1.451 1.451 1.451 0 1.451
2014-09-15 1.433 1.433 1.433 1.433 0 1.433
2014-09-16 1.427 1.427 1.427 1.427 0 1.427
2014-09-17 1.427 1.427 1.427 1.427 0 1.427
2014-09-18 1.445 1.445 1.445 1.445 0 1.445
2014-09-19 1.465 1.465 1.465 1.465 0 1.465
2014-09-22 1.384 1.384 1.384 1.384 0 1.384
2014-09-23 1.409 1.409 1.409 1.409 0 1.409
2014-09-24 1.412 1.412 1.412 1.412 0 1.412
2014-09-25 1.416 1.416 1.416 1.416 0 1.416
2014-09-26 1.416 1.416 1.416 1.416 0 1.416
2014-09-29 1.417 1.417 1.417 1.417 0 1.417
2014-09-30 1.418 1.418 1.418 1.418 0 1.418
2014-10-01 1.419 1.419 1.419 1.419 0 1.419
2014-10-02 1.393 1.393 1.393 1.393 0 1.393
2014-10-03 1.393 1.393 1.393 1.393 0 1.393
2014-10-06 1.344 1.344 1.344 1.344 0 1.344
2014-10-07 1.276 1.276 1.276 1.276 0 1.276
2014-10-08 1.254 1.254 1.254 1.254 0 1.254
2014-10-09 1.215 1.215 1.215 1.215 0 1.215
2014-10-10 0.852 0.852 0.852 0.852 0 0.852
2014-10-13 0.764 0.764 0.764 0.764 0 0.764
2014-10-14 0.76 0.76 0.76 0.76 0 0.76
2014-10-15 0.758 0.758 0.758 0.758 0 0.758
2014-10-16 0.753 0.753 0.753 0.753 0 0.753
2014-10-17 0.717 0.717 0.717 0.717 0 0.717
2014-10-20 0.721 0.721 0.721 0.721 0 0.721
2014-10-21 0.739 0.739 0.739 0.739 0 0.739
2014-10-22 0.765 0.765 0.765 0.765 0 0.765
2014-10-23 0.772 0.772 0.772 0.772 0 0.772
