"Index" "VC.Open" "VC.High" "VC.Low" "VC.Close" "VC.Volume" "VC.Adjusted"
2014-05-02 88.449997 89.919998 88.099998 89.610001 846700 89.610001
2014-05-05 89.309998 89.309998 88.379997 89.010002 456700 89.010002
2014-05-06 88.709999 89.620003 88.620003 89.589996 703800 89.589996
2014-05-07 89.589996 89.709999 88.440002 89.400002 788900 89.400002
2014-05-08 88.889999 93.510002 88.419998 91.470001 1736700 91.470001
2014-05-09 91.449997 91.529999 89.760002 90.949997 600400 90.949997
2014-05-12 91.080002 92.199997 91.080002 92.07 857200 92.07
2014-05-13 91.620003 92.82 91.279999 92.360001 925000 92.360001
2014-05-14 92.75 92.970001 91.650002 91.790001 505200 91.790001
2014-05-15 91.25 91.580002 89.940002 90.839996 539700 90.839996
2014-05-16 90.919998 91.139999 90.080002 90.510002 642400 90.510002
2014-05-19 90.010002 90.940002 89.800003 90.489998 555800 90.489998
2014-05-20 90.5 90.709999 89.449997 90.169998 421700 90.169998
2014-05-21 90.559998 92.129997 90.050003 92.110001 540500 92.110001
2014-05-22 92.129997 92.82 90.800003 90.879997 562900 90.879997
2014-05-23 90.949997 92.330002 90.849998 92.239998 489900 92.239998
2014-05-27 92.550003 93.650002 92.379997 92.699997 774000 92.699997
2014-05-28 92.739998 92.809998 91.790001 91.879997 797200 91.879997
2014-05-29 92.129997 92.389999 91.489998 91.889999 279000 91.889999
2014-05-30 91.860001 91.860001 91 91.139999 324500 91.139999
2014-06-02 91.300003 91.43 90.230003 91.230003 447200 91.230003
2014-06-03 90.949997 91.980003 90.949997 91.550003 490500 91.550003
2014-06-04 91.839996 93.269997 91.610001 92.910004 430000 92.910004
2014-06-05 92.75 93.779999 92.610001 93.199997 420500 93.199997
2014-06-06 93.43 94.230003 93.239998 94.220001 245100 94.220001
2014-06-09 94.160004 95 93.540001 93.760002 386800 93.760002
2014-06-10 93.449997 94.150002 93.160004 93.849998 184600 93.849998
2014-06-11 93.739998 94.370003 93.32 94.040001 266500 94.040001
2014-06-12 93.68 94.400002 91.989998 92.349998 348000 92.349998
2014-06-13 92.510002 93 92.199997 92.949997 207900 92.949997
2014-06-16 92.730003 93.260002 92.419998 92.980003 310400 92.980003
2014-06-17 92.739998 94 92.739998 93.419998 672400 93.419998
2014-06-18 94.190002 95.120003 93.099998 94.93 463300 94.93
2014-06-19 95.150002 95.150002 94.220001 94.339996 300700 94.339996
2014-06-20 93.980003 96 93.980003 95.870003 513800 95.870003
2014-06-23 95.860001 96.739998 95.160004 96.089996 626700 96.089996
2014-06-24 95.489998 95.739998 94.690002 94.769997 365700 94.769997
2014-06-25 94.300003 95.769997 94.139999 95.639999 246100 95.639999
2014-06-26 95.589996 95.639999 94.730003 95.25 378800 95.25
2014-06-27 95.080002 96.410004 94.690002 96.300003 1026400 96.300003
2014-06-30 96.029999 97.150002 95.599998 97.010002 337700 97.010002
2014-07-01 97.139999 98.389999 97.139999 98.300003 437400 98.300003
2014-07-02 97.489998 99.269997 97.489998 98.910004 415000 98.910004
2014-07-03 99.080002 99.849998 98.870003 99.68 162000 99.68
2014-07-07 99.68 100.790001 99.440002 100.410004 566500 100.410004
2014-07-08 100.489998 100.690002 98.489998 99.269997 592700 99.269997
2014-07-09 99.529999 99.93 98.989998 99.589996 317200 99.589996
