"Index" "SD.Open" "SD.High" "SD.Low" "SD.Close" "SD.Volume" "SD.Adjusted"
2014-03-26 6.29 6.34 6.15 6.15 8150600 6.15
2014-03-27 6.14 6.24 6.02 6.13 7407200 6.13
2014-03-28 6.13 6.33 6.13 6.27 6029500 6.27
2014-03-31 6.3 6.32 6.13 6.14 6069200 6.14
2014-04-01 6.14 6.23 6.11 6.18 5746100 6.18
2014-04-02 6.17 6.44 6.15 6.39 11477800 6.39
2014-04-03 6.41 6.54 6.4 6.53 12342100 6.53
2014-04-04 6.58 6.61 6.37 6.44 6367600 6.44
2014-04-07 6.4 6.44 6.25 6.27 7569900 6.27
2014-04-08 6.32 6.37 6.21 6.36 5366600 6.36
2014-04-09 6.37 6.4 6.26 6.33 4550000 6.33
2014-04-10 6.3 6.38 6.16 6.18 4875900 6.18
2014-04-11 6.16 6.18 6.07 6.1 5141300 6.1
2014-04-14 6.12 6.28 6.09 6.26 6792200 6.26
2014-04-15 6.31 6.45 6.21 6.39 9157900 6.39
2014-04-16 6.45 6.48 6.38 6.48 6057400 6.48
2014-04-17 6.59 6.85 6.53 6.75 26199600 6.75
2014-04-21 6.78 6.98 6.78 6.87 15038400 6.87
2014-04-22 6.93 6.93 6.76 6.83 7274700 6.83
2014-04-23 6.84 7.1 6.79 7.02 13620800 7.02
2014-04-24 7.06 7.09 6.9 6.91 9289000 6.91
2014-04-25 6.85 6.86 6.61 6.66 10937500 6.66
2014-04-28 6.76 6.76 6.51 6.64 7325000 6.64
2014-04-29 6.69 6.88 6.68 6.8 5306600 6.8
2014-04-30 6.77 6.95 6.7 6.86 12625800 6.86
2014-05-01 6.86 6.88 6.76 6.82 6514800 6.82
2014-05-02 6.81 6.83 6.75 6.81 4832600 6.81
2014-05-05 6.76 6.91 6.72 6.81 4068900 6.81
2014-05-06 6.85 6.88 6.66 6.7 6503100 6.7
2014-05-07 6.77 6.79 6.63 6.73 8396600 6.73
2014-05-08 6.86 6.95 6.47 6.63 14323100 6.63
2014-05-09 6.62 6.67 6.5 6.65 7294500 6.65
2014-05-12 6.68 6.77 6.63 6.75 6015300 6.75
2014-05-13 6.77 6.94 6.73 6.88 7836000 6.88
2014-05-14 6.89 6.95 6.77 6.83 8128200 6.83
2014-05-15 6.78 6.85 6.65 6.73 9637000 6.73
2014-05-16 6.76 6.77 6.6 6.62 9512400 6.62
2014-05-19 6.61 6.67 6.51 6.54 10180500 6.54
2014-05-20 6.53 6.57 6.48 6.55 7725600 6.55
2014-05-21 6.56 6.79 6.56 6.76 12197700 6.76
2014-05-22 6.76 6.87 6.65 6.65 9229500 6.65
2014-05-23 6.65 6.7 6.55 6.55 5950300 6.55
2014-05-27 6.58 6.61 6.5 6.56 5376100 6.56
2014-05-28 6.57 6.64 6.51 6.6 4640300 6.6
2014-05-29 6.6 6.78 6.6 6.74 10400000 6.74
2014-05-30 6.73 6.83 6.65 6.67 7451600 6.67
2014-06-02 6.7 6.7 6.6 6.61 5126400 6.61
2014-06-03 6.61 6.7 6.61 6.68 4648500 6.68
2014-06-04 6.65 6.79 6.63 6.78 4607700 6.78
2014-06-05 6.78 6.82 6.71 6.8 4223800 6.8
2014-06-06 6.84 6.85 6.77 6.82 4348300 6.82
2014-06-09 6.82 6.85 6.75 6.76 5958200 6.76
2014-06-10 6.76 6.79 6.69 6.7 4820300 6.7
2014-06-11 6.7 6.77 6.65 6.69 6777100 6.69
2014-06-12 6.74 6.9 6.73 6.87 9529600 6.87
2014-06-13 6.89 6.96 6.83 6.95 7316900 6.95
2014-06-16 6.99 7.2 6.95 7.13 13779900 7.13
2014-06-17 7.13 7.2 7.07 7.14 11318000 7.14
2014-06-18 7.14 7.25 7.11 7.17 6959200 7.17
2014-06-19 7.19 7.28 7.14 7.28 6398600 7.28
2014-06-20 7.29 7.43 7.24 7.34 15536800 7.34
2014-06-23 7.35 7.4 7.26 7.26 6412000 7.26
2014-06-24 7.25 7.25 6.85 6.9 13565900 6.9
2014-06-25 6.93 7.18 6.86 7.16 7772000 7.16
2014-06-26 7.15 7.17 7.05 7.08 4462700 7.08
2014-06-27 7.05 7.14 7.04 7.12 4496400 7.12
2014-06-30 7.14 7.16 7.1 7.15 3687300 7.15
2014-07-01 7.15 7.2 7.06 7.07 6264600 7.07
2014-07-02 7.07 7.13 7 7.02 3228200 7.02
2014-07-03 7.05 7.05 6.95 7.02 2272400 7.02
2014-07-07 6.98 6.99 6.82 6.83 5935500 6.83
2014-07-08 6.83 7.05 6.72 6.97 17216600 6.97
2014-07-09 6.96 7 6.9 6.97 4565400 6.97
2014-07-10 6.86 6.94 6.8 6.84 5856100 6.84
2014-07-11 6.82 6.85 6.53 6.58 16838500 6.58
2014-07-14 6.6 6.67 6.53 6.56 6292400 6.56
2014-07-15 6.55 6.6 6.4 6.41 11094300 6.41
2014-07-16 6.53 6.7 6.45 6.65 9113500 6.65
2014-07-17 6.64 6.74 6.41 6.43 8494400 6.43
2014-07-18 6.45 6.52 6.41 6.51 5569300 6.51
2014-07-21 6.53 6.55 6.43 6.48 5921100 6.48
2014-07-22 6.48 6.59 6.46 6.48 6452900 6.48
2014-07-23 6.51 6.53 6.42 6.47 6509500 6.47
2014-07-24 6.49 6.55 6.43 6.49 4849000 6.49
2014-07-25 6.48 6.49 6.29 6.31 8840000 6.31
2014-07-28 6.31 6.33 6.16 6.25 9251500 6.25
2014-07-29 6.23 6.29 6.21 6.25 4583700 6.25
2014-07-30 6.3 6.36 6.11 6.13 9410900 6.13
2014-07-31 6.1 6.1 5.95 5.96 11013200 5.96
2014-08-01 5.94 5.94 5.66 5.82 11816900 5.82
2014-08-04 5.87 6.04 5.76 5.99 11943500 5.99
2014-08-05 5.92 5.95 5.77 5.8 10842500 5.8
2014-08-06 5.79 5.97 5.72 5.76 13141600 5.76
2014-08-07 5.48 5.5 5.13 5.19 37803500 5.19
2014-08-08 5.24 5.3 5.17 5.29 14759800 5.29
2014-08-11 5.35 5.47 5.33 5.36 9633300 5.36
2014-08-12 5.35 5.36 5.14 5.21 11240100 5.21
2014-08-13 5.24 5.28 5.19 5.27 9089600 5.27
2014-08-14 5.24 5.34 5.16 5.19 11249200 5.19
2014-08-15 5.18 5.26 5.17 5.18 8587300 5.18
2014-08-18 5.21 5.27 5.19 5.24 7392300 5.24
2014-08-19 5.24 5.3 5.22 5.25 6096500 5.25
2014-08-20 5.23 5.24 5.15 5.17 8523700 5.17
2014-08-21 5.17 5.19 5.12 5.17 5582000 5.17
2014-08-22 5.15 5.2 5.13 5.15 6133900 5.15
2014-08-25 5.17 5.23 5.15 5.18 6114900 5.18
2014-08-26 5.22 5.38 5.21 5.24 8447300 5.24
2014-08-27 5.26 5.31 5.22 5.22 5042700 5.22
2014-08-28 5.23 5.25 5.2 5.24 3264500 5.24
2014-08-29 5.24 5.28 5.2 5.24 4731800 5.24
2014-09-02 5.35 5.36 5.15 5.16 10144000 5.16
2014-09-03 5.19 5.24 5.13 5.18 7376300 5.18
2014-09-04 5.16 5.23 4.93 5.14 18493700 5.14
2014-09-05 5.16 5.21 5.03 5.08 10737100 5.08
2014-09-08 5.07 5.09 4.97 5.03 9065300 5.03
2014-09-09 5.02 5.12 4.99 5.02 7830100 5.02
2014-09-10 5.02 5.05 4.95 4.98 8503700 4.98
2014-09-11 4.99 5.04 4.93 5.01 7516900 5.01
2014-09-12 4.99 5.02 4.93 4.93 6559300 4.93
2014-09-15 4.91 4.92 4.82 4.87 8763400 4.87
2014-09-16 4.9 5 4.88 4.92 6592700 4.92
2014-09-17 4.95 4.99 4.88 4.9 9124600 4.9
2014-09-18 4.89 4.96 4.82 4.85 5400900 4.85
2014-09-19 4.85 4.89 4.72 4.77 9157000 4.77
2014-09-22 4.75 4.75 4.48 4.54 15839200 4.54
2014-09-23 4.52 4.66 4.51 4.54 6747800 4.54
2014-09-24 4.57 4.61 4.41 4.56 11264500 4.56
2014-09-25 4.55 4.58 4.41 4.43 7289100 4.43
2014-09-26 4.46 4.49 4.4 4.41 5787900 4.41
2014-09-29 4.39 4.42 4.31 4.38 7175200 4.38
2014-09-30 4.43 4.43 4.1 4.29 14189100 4.29
2014-10-01 4.32 4.39 4.13 4.15 12175200 4.15
2014-10-02 4.13 4.26 3.92 4.2 21581100 4.2
2014-10-03 4.23 4.24 4.05 4.05 12306600 4.05
2014-10-06 4.05 4.11 3.89 4.02 13962200 4.02
2014-10-07 3.98 4.12 3.96 3.98 12714200 3.98
2014-10-08 3.98 4.01 3.75 3.99 21072100 3.99
2014-10-09 3.99 4 3.77 3.79 14237900 3.79
2014-10-10 3.75 3.88 3.5 3.73 26006800 3.73
2014-10-13 3.75 3.83 3.54 3.56 16175100 3.56
2014-10-14 3.6 3.98 3.55 3.77 19012700 3.77
2014-10-15 3.7 4.58 3.58 4.54 21330100 4.54
2014-10-16 4.29 4.57 4.02 4.57 17954900 4.57
2014-10-17 4.73 4.8 4.21 4.23 10486000 4.23
2014-10-20 4.23 4.49 4.06 4.45 9277700 4.45
2014-10-21 4.5 4.67 4.37 4.44 9012200 4.44
2014-10-22 4.5 4.51 4.05 4.08 13594000 4.08
2014-10-23 4.16 4.24 4.06 4.08 8567500 4.08
2014-10-24 4.04 4.08 3.8 3.95 13025600 3.95
2014-10-27 3.88 3.88 3.75 3.76 8417700 3.76
2014-10-28 3.75 3.97 3.71 3.96 7648200 3.96
2014-10-29 4.03 4.12 3.96 4.09 10030300 4.09
2014-10-30 4.05 4.07 3.82 3.84 7346300 3.84
2014-10-31 3.83 3.91 3.72 3.9 8226100 3.9
2014-11-03 3.92 4.08 3.79 3.81 8494800 3.81
2014-11-04 3.7 3.74 3.5 3.56 11806200 3.56
2014-11-05 3.55 3.75 3.5 3.69 10939800 3.69
2014-11-06 3.63 3.65 3.3 3.54 24817700 3.54
2014-11-07 3.57 3.99 3.55 3.81 16723500 3.81
2014-11-10 3.87 3.98 3.69 3.69 12240600 3.69
2014-11-11 3.71 3.9 3.64 3.78 6131000 3.78
2014-11-12 3.76 3.92 3.72 3.83 4633500 3.83
2014-11-13 3.83 3.89 3.73 3.79 6167100 3.79
2014-11-14 3.81 3.94 3.75 3.9 5555200 3.9
2014-11-17 3.89 3.9 3.7 3.71 5374400 3.71
2014-11-18 3.7 3.8 3.63 3.76 4990900 3.76
2014-11-19 3.68 3.81 3.58 3.73 5851200 3.73
2014-11-20 3.7 3.95 3.7 3.93 6638900 3.93
2014-11-21 4.06 4.2 3.95 4.03 11192900 4.03
2014-11-24 4.03 4.12 3.94 4.01 7833300 4.01
2014-11-25 4 4.08 3.93 3.97 4018300 3.97
2014-11-26 3.93 3.94 3.77 3.8 7011100 3.8
2014-11-28 3.52 3.55 2.8 2.81 18697000 2.81
2014-12-01 2.86 2.89 2.25 2.68 32753900 2.68
2014-12-02 2.67 2.76 2.45 2.47 15715400 2.47
