"Index" "A49.Open" "A49.High" "A49.Low" "A49.Close" "A49.Volume" "A49.Adjusted"
2015-03-24 0.675 0.675 0.675 0.675 0 0.675
2015-03-25 0.669 0.669 0.669 0.669 0 0.669
2015-03-26 0.668 0.668 0.668 0.668 0 0.668
2015-03-27 0.672 0.672 0.672 0.672 0 0.672
2015-03-30 0.646 0.646 0.646 0.646 0 0.646
2015-03-31 0.625 0.625 0.625 0.625 0 0.625
2015-04-01 0.6 0.6 0.6 0.6 0 0.6
2015-04-02 0.623 0.623 0.623 0.623 0 0.623
2015-04-03 0.623 0.623 0.623 0.623 0 0.623
2015-04-06 0.623 0.623 0.623 0.623 0 0.623
2015-04-07 0.608 0.608 0.608 0.608 0 0.608
2015-04-08 0.611 0.611 0.611 0.611 0 0.611
2015-04-09 0.59 0.59 0.59 0.59 0 0.59
2015-04-10 0.572 0.572 0.572 0.572 0 0.572
2015-04-13 0.576 0.576 0.576 0.576 0 0.576
2015-04-14 0.586 0.586 0.586 0.586 0 0.586
2015-04-15 0.579 0.579 0.579 0.579 0 0.579
2015-04-16 0.586 0.586 0.586 0.586 0 0.586
2015-04-17 0.593 0.593 0.593 0.593 0 0.593
2015-04-20 0.607 0.607 0.607 0.607 0 0.607
2015-04-21 0.608 0.608 0.608 0.608 0 0.608
2015-04-22 0.628 0.628 0.628 0.628 0 0.628
2015-04-23 0.609 0.609 0.609 0.609 0 0.609
2015-04-24 0.63 0.63 0.63 0.63 0 0.63
2015-04-27 0.612 0.612 0.612 0.612 0 0.612
2015-04-28 0.599 0.599 0.599 0.599 0 0.599
2015-04-29 0.597 0.597 0.597 0.597 0 0.597
2015-04-30 0.591 0.591 0.591 0.591 0 0.591
2015-05-01 0.591 0.591 0.591 0.591 0 0.591
2015-05-04 0.585 0.585 0.585 0.585 0 0.585
2015-05-05 0.591 0.591 0.591 0.591 0 0.591
2015-05-06 0.59 0.59 0.59 0.59 0 0.59
2015-05-07 0.598 0.598 0.598 0.598 0 0.598
2015-05-08 0.602 0.602 0.602 0.602 0 0.602
2015-05-11 0.59 0.59 0.59 0.59 0 0.59
2015-05-12 0.59 0.59 0.59 0.59 0 0.59
2015-05-13 0.62 0.62 0.62 0.62 0 0.62
2015-05-14 0.624 0.624 0.624 0.624 0 0.624
2015-05-15 0.598 0.598 0.598 0.598 0 0.598
2015-05-18 0.602 0.602 0.602 0.602 0 0.602
2015-05-19 0.603 0.603 0.603 0.603 0 0.603
2015-05-20 0.565 0.565 0.565 0.565 0 0.565
2015-05-21 0.568 0.568 0.568 0.568 0 0.568
2015-05-22 0.573 0.573 0.573 0.573 0 0.573
2015-05-25 0.525 0.525 0.525 0.525 0 0.525
2015-05-26 0.579 0.579 0.579 0.579 0 0.579
2015-05-27 0.551 0.551 0.551 0.551 0 0.551
2015-05-28 0.487 0.487 0.487 0.487 0 0.487
2015-05-29 0.441 0.441 0.441 0.441 0 0.441
2015-06-01 0.449 0.449 0.449 0.449 0 0.449
