"Index" "BH.Open" "BH.High" "BH.Low" "BH.Close" "BH.Volume" "BH.Adjusted"
2014-04-30 427.820017 435.000006 421.060008 429.020007 7400 398.347268
2014-05-01 430.570002 431.940016 424.970016 431.299988 6600 400.464242
2014-05-02 432.62001 446.379993 432.62001 442.090005 6400 410.482827
2014-05-05 440.150004 441.330011 427.489995 430.090007 5200 399.340767
2014-05-06 430.829984 430.829984 418.800011 423.109983 7000 392.85978
2014-05-07 426.459996 426.459996 417.049984 422.80001 5400 392.571968
2014-05-08 422.000017 425.799985 411.240008 415.489997 7600 385.784584
2014-05-09 414.379998 420.260015 410.000019 419.689995 6400 389.684304
2014-05-12 420.950034 439.990006 420.950034 437.53001 5700 406.248849
2014-05-13 438.920007 448.720023 432.340012 434.659993 9900 403.584023
2014-05-14 435.520002 435.520002 417.600021 420.230007 7100 390.185707
2014-05-15 417.72002 420.609987 410.01001 414.040018 9200 384.438271
2014-05-16 413.72002 418.530005 410.320016 414.990018 5400 385.320351
2014-05-19 415.859986 415.859986 408.000002 410.000019 8300 380.687111
2014-05-20 410.210009 410.210009 402.020003 407.140026 10600 378.031593
2014-05-21 409.820004 412.250024 404.810021 410.970002 5300 381.587746
2014-05-22 411.649997 416.999993 407.059994 412.260016 5100 382.78553
2014-05-23 412.570022 416.679996 411.500022 412.420015 3200 382.93409
2014-05-27 416.790003 432.710001 416.010026 430.019999 6100 399.275765
2014-05-28 427.29003 430.059999 426.200014 426.640011 5400 396.137429
2014-05-29 427.369996 430.000015 420.910001 422.000017 2400 391.829171
2014-05-30 424 426.160015 417.700003 421.780002 3800 391.624886
2014-06-02 422.430021 425.9 420.500013 420.510005 4500 390.445687
2014-06-03 416.790003 427.980016 416.790003 421.049984 6100 390.94706
2014-06-04 421.700003 422.150024 415.400006 418.499997 3000 388.579384
2014-06-05 430.000015 440.090021 427.700018 435.030014 7600 403.92759
2014-06-06 437.890007 443.890022 435.150013 438.610001 3200 407.251626
2014-06-09 438.099997 448.09002 438.099997 444.660008 2000 412.869088
2014-06-10 441.330011 447.380018 435.220021 445.100004 3300 413.277627
2014-06-11 441.309995 446.290002 438.200013 441.580001 4600 410.009286
2014-06-12 445.269994 445.269994 435.01999 437.690009 2900 406.397408
2014-06-13 437.519985 438.450035 431.480003 432.780009 2300 401.838448
2014-06-16 432.959991 432.959991 421.100008 426.010008 4500 395.552468
2014-06-17 423.840001 429.700034 422.299998 425.420005 2800 395.004647
2014-06-18 424.620011 426.610003 421.60002 423.54002 1800 393.259072
2014-06-19 425.000024 425.000024 420.070008 421.989992 6400 391.819863
