"Index" "USD.IDR"
2015-01-06 12642.25
2015-01-07 12723.15
2015-01-08 12690.4
2015-01-09 12626.45
2015-01-10 12603.5
2015-01-11 12595.45
2015-01-12 12587.4
2015-01-13 12587.4
2015-01-14 12587.4
2015-01-15 12587.65
2015-01-16 12611.3
2015-01-17 12611.65
2015-01-18 12621.45
2015-01-19 12605.5
2015-01-20 12605.5
2015-01-21 12557.55
2015-01-22 12468.9
2015-01-23 12468.9
2015-01-24 12469
2015-01-25 12475
2015-01-26 12507.8
2015-01-27 12476.6
2015-01-28 12507.85
2015-01-29 12586.55
2015-01-30 12690.4
2015-01-31 12755.15
2015-02-01 12755.15
2015-02-02 12698.45
2015-02-03 12634.25
2015-02-04 12634.25
2015-02-05 12626.25
2015-02-06 12666.85
2015-02-07 12616
2015-02-08 12750.25
2015-02-09 12701.6
2015-02-10 12690.4
2015-02-11 12731.15
2015-02-12 12804.2
2015-02-13 12771.55
2015-02-14 12771.5
2015-02-15 12755.15
2015-02-16 12771.95
2015-02-17 12806.2
2015-02-18 12829.15
2015-02-19 12845.25
2015-02-20 12870.05
2015-02-21 12812.35
2015-02-22 12812.35
2015-02-23 12870.05
2015-02-24 12903.3
2015-02-25 12870.05
2015-02-26 12853.5
2015-02-27 12936.65
2015-02-28 12970.2
2015-03-01 12987.05
2015-03-02 12987.05
2015-03-03 12978.65
2015-03-04 13012.4
2015-03-05 13003.9
2015-03-06 13004
2015-03-07 13115.2
2015-03-08 13115.2
2015-03-09 13064.05
2015-03-10 13132.05
2015-03-11 13192.7
2015-03-12 13184.2
2015-03-13 13218.9
2015-03-14 13253.85
2015-03-15 13253.85
2015-03-16 13236.3
2015-03-17 13192.6
2015-03-18 13140.65
2015-03-19 13029.35
2015-03-20 13072
2015-03-21 12995.45
2015-03-22 12995.45
2015-03-23 13003.9
2015-03-24 12953.4
2015-03-25 12936.65
2015-03-26 13012.4
2015-03-27 13072.1
2015-03-28 13063.4
2015-03-29 13072
2015-03-30 13080.6
2015-03-31 13080.5
2015-04-01 13039.2
2015-04-02 13003.9
2015-04-03 12937.15
2015-04-04 12978.6
2015-04-05 12978.6
2015-04-06 12928.4
2015-04-07 12995.5
2015-04-08 12961.8
2015-04-09 12945.05
2015-04-10 12962.2
2015-04-11 12928.3
2015-04-12 12928.3
2015-04-13 12987.05
2015-04-14 12987.05
2015-04-15 12936.65
2015-04-16 12853.5
2015-04-17 12837
2015-04-18 12837.05
2015-04-19 12828.8
2015-04-20 12903.25
2015-04-21 12953.55
2015-04-22 12928.3
2015-04-23 12936.65
2015-04-24 12945.05
2015-04-25 12945
2015-04-26 12945
2015-04-27 12961.8
2015-04-28 12970.2
2015-04-29 12936.65
2015-04-30 12953.4
2015-05-01 12978.6
2015-05-02 13020.9
2015-05-03 13029.35
2015-05-04 13003.9
2015-05-05 13005.3
2015-05-06 13020.9
2015-05-07 13114.9
2015-05-08 13140.8
2015-05-09 13106.2
2015-05-10 13097.6
2015-05-11 13140.65
2015-05-12 13201.3
2015-05-13 13140.65
2015-05-14 13071.9
2015-05-15 13089.05
2015-05-16 13063.35
2015-05-17 13063.35
2015-05-18 13140.65
2015-05-19 13175.25
2015-05-20 13149.3
2015-05-21 13142.9
2015-05-22 13140.65
2015-05-23 13184.05
2015-05-24 13184.05
2015-05-25 13183.95
2015-05-26 13210.05
2015-05-27 13210.05
2015-05-28 13192.6
2015-05-29 13210.05
2015-05-30 13227.5
2015-05-31 13227.5
2015-06-01 13210.05
2015-06-02 13218.8
2015-06-03 13227.5
