"Index" "M6J.Open" "M6J.High" "M6J.Low" "M6J.Close" "M6J.Volume" "M6J.Adjusted"
2014-05-14 0.109 0.109 0.109 0.109 0 0.109
2014-05-15 0.103 0.103 0.103 0.103 0 0.103
2014-05-16 0.102 0.102 0.102 0.102 0 0.102
2014-05-19 0.105 0.105 0.105 0.105 0 0.105
2014-05-20 0.106 0.106 0.106 0.106 0 0.106
2014-05-21 0.095 0.095 0.095 0.095 0 0.095
2014-05-22 0.074 0.074 0.074 0.074 0 0.074
2014-05-23 0.089 0.089 0.089 0.089 0 0.089
2014-05-26 0.078 0.078 0.078 0.078 0 0.078
2014-05-27 0.075 0.075 0.075 0.075 0 0.075
2014-05-28 0.09 0.09 0.09 0.09 0 0.09
2014-05-29 0.116 0.116 0.116 0.116 0 0.116
2014-05-30 0.113 0.113 0.113 0.113 0 0.113
2014-06-02 0.113 0.113 0.113 0.113 0 0.113
2014-06-03 0.113 0.113 0.113 0.113 0 0.113
2014-06-04 0.103 0.103 0.103 0.103 0 0.103
2014-06-05 0.103 0.103 0.103 0.103 0 0.103
2014-06-06 0.098 0.098 0.098 0.098 0 0.098
2014-06-09 0.094 0.094 0.094 0.094 0 0.094
2014-06-10 0.099 0.099 0.099 0.099 0 0.099
2014-06-11 0.103 0.103 0.103 0.103 0 0.103
2014-06-12 0.1 0.1 0.1 0.1 0 0.1
2014-06-13 0.1 0.1 0.1 0.1 0 0.1
2014-06-16 0.108 0.108 0.108 0.108 0 0.108
2014-06-17 0.103 0.103 0.103 0.103 0 0.103
2014-06-18 0.096 0.096 0.096 0.096 0 0.096
2014-06-19 0.105 0.105 0.105 0.105 0 0.105
2014-06-20 0.102 0.102 0.102 0.102 0 0.102
2014-06-23 0.103 0.103 0.103 0.103 0 0.103
2014-06-24 0.093 0.093 0.093 0.093 0 0.093
2014-06-25 0.096 0.096 0.096 0.096 0 0.096
2014-06-26 0.1 0.1 0.1 0.1 0 0.1
2014-06-27 0.108 0.108 0.108 0.108 0 0.108
2014-06-30 0.1 0.1 0.1 0.1 0 0.1
2014-07-01 0.108 0.108 0.108 0.108 0 0.108
2014-07-02 0.109 0.109 0.109 0.109 0 0.109
2014-07-03 0.132 0.132 0.132 0.132 0 0.132
2014-07-04 0.123 0.123 0.123 0.123 0 0.123
2014-07-07 0.116 0.116 0.116 0.116 0 0.116
2014-07-08 0.112 0.112 0.112 0.112 0 0.112
2014-07-09 0.108 0.108 0.108 0.108 0 0.108
2014-07-10 0.105 0.105 0.105 0.105 0 0.105
2014-07-11 0.102 0.102 0.102 0.102 0 0.102
