"Index" "D2L.Open" "D2L.High" "D2L.Low" "D2L.Close" "D2L.Volume" "D2L.Adjusted"
2014-05-23 24.305 24.305 24.125 24.2 0 21.55
2014-05-26 24.195 24.195 24.175 24.175 0 21.528
2014-05-27 24.355 24.355 24.3 24.3 0 21.639
2014-05-28 24.655 24.655 24.5 24.61 0 21.915
2014-05-29 24.605 24.81 24.525 24.81 0 22.093
2014-05-30 24.805 24.805 24.805 24.805 0 22.089
2014-06-02 24.755 24.755 24.725 24.725 0 22.018
2014-06-03 24.72 24.72 24.61 24.61 0 21.915
2014-06-04 24.525 24.55 24.5 24.55 0 21.862
2014-06-05 24.505 24.505 24.45 24.505 0 21.822
2014-06-06 24.605 24.65 24.545 24.65 0 21.951
2014-06-09 24.695 24.695 24.695 24.695 0 21.991
2014-06-10 24.805 24.805 24.805 24.805 0 22.089
2014-06-11 24.77 24.96 24.7 24.96 0 22.227
2014-06-12 24.955 24.955 24.79 24.79 0 22.075
2014-06-13 24.72 24.72 24.62 24.62 0 21.924
2014-06-16 24.615 24.615 24.615 24.615 0 21.92
2014-06-17 24.79 24.79 24.74 24.74 0 22.031
2014-06-18 24.855 24.88 24.8 24.88 0 22.156
2014-06-19 24.875 24.875 24.845 24.845 0 22.124
2014-06-20 24.875 24.875 24.845 24.845 0 22.124
2014-06-23 24.945 24.96 24.945 24.96 0 22.227
2014-06-24 25.155 25.155 25.155 25.155 0 22.4
2014-06-25 25.205 25.3 25.15 25.3 0 22.53
2014-06-26 25.365 25.365 25.25 25.25 0 22.485
2014-06-27 25.405 25.405 25.3 25.31 0 22.538
2014-06-30 25.3 25.3 25.3 25.3 0 22.53
2014-07-01 25.435 25.435 25.345 25.345 0 22.57
2014-07-02 25.105 25.125 25.075 25.125 0 22.374
2014-07-03 25.105 25.26 25.05 25.26 0 22.494
2014-07-04 25.255 25.275 25.255 25.26 0 22.494
2014-07-07 25.255 25.255 25.185 25.185 0 22.427
2014-07-08 25.3 25.3 25.23 25.23 0 22.467
2014-07-09 25.3 25.3 25.225 25.225 0 22.463
2014-07-10 25.345 25.345 25.225 25.23 0 22.467
2014-07-11 25.21 25.46 25.21 25.4 0 22.619
2014-07-14 24.87 24.87 24.625 24.81 0 22.765
2014-07-15 24.805 24.805 24.7 24.7 0 22.664
2014-07-16 24.7 24.7 24.69 24.69 0 22.655
2014-07-17 24.77 24.77 24.695 24.695 0 22.66
2014-07-18 24.805 24.805 24.705 24.705 0 22.669
2014-07-21 24.805 24.805 24.75 24.75 0 22.71
2014-07-22 24.755 24.755 24.755 24.755 0 22.715
2014-07-23 24.755 24.755 24.755 24.755 0 22.715
2014-07-24 25.185 25.185 25.185 25.185 0 23.11
2014-07-25 26.31 26.31 26.22 26.22 0 24.059
2014-07-28 26.145 26.145 26.145 26.145 0 23.99
2014-07-29 26.31 26.37 26.31 26.37 0 24.197
2014-07-30 26.505 26.875 26.505 26.875 0 24.66
2014-07-31 26.905 26.905 26.905 26.905 0 24.688
2014-08-01 26.605 26.605 26.45 26.45 0 24.27
2014-08-04 26.485 26.485 26.485 26.485 0 24.302
2014-08-05 26.495 26.495 26.475 26.475 0 24.293
2014-08-06 26.605 26.86 26.605 26.86 0 24.646
2014-08-07 26.855 26.855 26.855 26.855 0 24.642
2014-08-08 26.855 26.855 26.65 26.65 0 24.454
2014-08-11 26.575 26.575 26.57 26.57 0 24.38
2014-08-12 26.475 26.475 26.425 26.46 0 24.279
2014-08-13 26.485 26.485 26.435 26.435 0 24.257
2014-08-14 26.465 26.465 26.4 26.405 0 24.229
2014-08-15 26.415 26.46 26.35 26.46 0 24.279
2014-08-18 26.455 26.455 26.275 26.3 0 24.133
2014-08-19 26.455 26.455 26.35 26.35 0 24.179
2014-08-20 26.355 26.355 26.25 26.25 0 24.087
2014-08-21 26.255 26.255 26.25 26.25 0 24.087
2014-08-22 26.355 26.43 26.3 26.36 0 24.188
2014-08-25 26.355 26.575 26.355 26.575 0 24.385
2014-08-26 26.655 26.655 26.55 26.55 0 24.362
2014-08-27 27.005 27.16 27.005 27.16 0 24.922
2014-08-28 27.3 27.3 27.2 27.2 0 24.958
2014-08-29 27.29 27.29 27.22 27.26 0 25.014
2014-09-01 27.255 27.575 27.255 27.575 0 25.303
2014-09-02 27.475 27.475 27.45 27.45 0 25.188
2014-09-03 27.555 27.555 27.425 27.515 0 25.247
2014-09-04 27.655 28.4 27.555 28.4 0 26.06
2014-09-05 28.145 28.145 27.88 28.015 0 25.706
2014-09-08 28.005 28.005 27.675 27.7 0 25.417
2014-09-09 27.755 27.755 27.345 27.345 0 25.092
2014-09-10 27.405 27.405 27.1 27.15 0 24.913
2014-09-11 27.155 27.155 27.14 27.14 0 24.903
2014-09-12 27.3 27.3 27.3 27.3 0 25.05
2014-09-15 27.31 27.31 27.1 27.1 0 24.867
2014-09-16 27.055 27.055 26.93 26.95 0 24.729
2014-09-17 27.045 27.045 26.975 26.975 0 24.752
2014-09-18 27.085 27.085 26.9 26.95 0 24.729
2014-09-19 27.005 27.015 26.895 27.015 0 24.789
2014-09-22 27.005 27.005 26.9 26.91 0 24.692
2014-09-23 26.905 26.905 26.9 26.9 0 24.683
2014-09-24 27.005 27.005 26.9 26.9 0 24.683
2014-09-25 26.995 26.995 26.845 26.845 0 24.633
2014-09-26 26.905 26.905 26.825 26.825 0 24.614
2014-09-29 26.905 26.905 26.825 26.825 0 24.614
2014-09-30 26.905 26.95 26.9 26.95 0 24.729
2014-10-01 27.405 27.405 27.325 27.35 0 25.096
2014-10-02 27.145 27.145 26.85 26.85 0 24.637
2014-10-03 26.685 26.685 26.685 26.685 0 24.486
2014-10-06 26.205 26.205 26.2 26.2 0 24.041
2014-10-07 26.3 26.31 26.225 26.31 0 24.142
2014-10-08 26.325 26.325 26.325 26.325 0 24.156
2014-10-09 26.355 26.45 26.27 26.45 0 24.27
2014-10-10 26.555 26.555 25.805 25.875 0 23.743
2014-10-13 25.905 25.905 25.905 25.905 0 23.77
2014-10-14 25.815 25.91 25.805 25.91 0 23.775
2014-10-15 26.005 26.005 25.625 25.625 0 23.513
2014-10-16 25.655 25.655 25.175 25.175 0 23.1
2014-10-17 25.255 25.31 25.15 25.31 0 23.224
2014-10-20 25.3 25.31 25.2 25.31 0 23.224
2014-10-21 25.3 25.3 25.145 25.25 0 23.169
2014-10-22 25.3 25.8 25.3 25.8 0 23.674
2014-10-23 25.79 25.9 25.775 25.9 0 23.766
2014-10-24 25.935 26.3 25.9 26.3 0 24.133
2014-10-27 26.405 26.56 26.405 26.56 0 24.371
2014-10-28 26.555 26.555 26.5 26.5 0 24.316
2014-10-29 27.005 27.005 26.775 26.96 0 24.738
2014-10-30 26.955 26.955 26.825 26.85 0 24.637
2014-10-31 26.955 26.955 26.875 26.91 0 24.692
2014-11-03 26.905 26.905 26.85 26.85 0 24.637
2014-11-04 27.045 27.05 26.94 27.05 0 24.821
2014-11-05 27.045 27.045 26.85 26.85 0 24.637
2014-11-06 27.005 27.095 26.985 27.095 0 24.862
2014-11-07 27.155 27.155 27.13 27.13 0 24.894
2014-11-10 27.255 27.255 27.205 27.205 0 24.963
2014-11-11 27.455 27.455 27.425 27.425 0 25.165
2014-11-12 27.455 27.455 27.4 27.455 0 25.192
2014-11-13 27.655 27.675 27.6 27.6 0 25.325
2014-11-14 27.845 27.845 27.45 27.46 0 25.197
2014-11-17 27.455 27.475 27.455 27.475 0 25.211
2014-11-18 27.555 27.555 27.54 27.54 0 25.27
2014-11-19 27.555 27.555 27.25 27.25 0 25.004
2014-11-20 27.445 27.445 27.2 27.2 0 24.958
2014-11-21 27.205 27.205 27.05 27.16 0 24.922
2014-11-24 27.155 27.155 27.1 27.1 0 24.867
2014-11-25 27.105 27.105 27.05 27.075 0 24.844
2014-11-26 27.155 27.155 27.13 27.13 0 24.894
2014-11-27 27.165 27.165 27.05 27.1 0 24.867
2014-11-28 27.205 27.205 26.8 27.015 0 24.789
2014-12-01 27.005 27.005 26.545 26.545 0 24.357
2014-12-02 26.955 26.955 26.475 26.475 0 24.293
2014-12-03 26.555 26.555 26.06 26.2 0 24.041
2014-12-04 26.205 26.205 26.1 26.1 0 23.949
2014-12-05 26.205 26.39 26.1 26.39 0 24.215
2014-12-08 26.385 26.385 26.2 26.2 0 24.041
