"Index" "KRU.Open" "KRU.High" "KRU.Low" "KRU.Close" "KRU.Volume" "KRU.Adjusted"
2014-03-13 91.440002 93.5 91.440002 91.5 600 90.594752
2014-03-14 92.040001 93 91.07 93 1600 92.079912
2014-03-17 94.720001 94.720001 94.720001 94.720001 400 93.782897
2014-03-18 94 94.760002 93.290001 94.18 4300 93.248238
2014-03-19 94.580002 96.379997 94.559998 96 4400 95.050232
2014-03-20 95.5 99.019997 95.5 98.809998 6800 97.832429
2014-03-21 100.099998 101.199997 97.699997 98.620003 5400 97.644314
2014-03-24 99.290001 99.290001 96.050003 96.129997 1900 95.178943
2014-03-25 96.949997 97.230003 96.5 96.629997 1000 95.673996
2014-03-26 98.279999 98.529999 93.879997 93.879997 12700 93.034965
2014-03-27 94.800003 94.800003 89.519997 89.690002 18300 88.882685
2014-03-28 89.489998 92.419998 89.290001 92.050003 4500 91.221443
2014-03-31 93.029999 94.010002 92.970001 93.959999 10900 93.114247
2014-04-01 94.230003 98.190002 93.68 98.190002 3400 97.306175
2014-04-02 98.949997 98.949997 97.190002 97.300003 1000 96.424187
2014-04-03 96.769997 96.769997 96.300003 96.550003 3700 95.680938
2014-04-04 98.419998 98.449997 92 92.800003 4700 91.964692
2014-04-07 91.309998 91.449997 89.860001 91.300003 5700 90.478194
2014-04-08 91.290001 92.150002 90.330002 90.330002 3100 89.516924
2014-04-09 90.07 90.18 88.529999 89.290001 2400 88.486284
2014-04-10 88.080002 88.239998 83.629997 84.830002 8400 84.06643
2014-04-11 82.059998 84.75 81.279999 82.849998 6700 82.104249
2014-04-14 83.940002 84.099998 81.779999 82.290001 3900 81.549293
2014-04-15 84.5 85.150002 81.389999 84.07 4000 83.313269
2014-04-16 84.019997 84.919998 83.839996 84.919998 2400 84.155617
2014-04-17 86.589996 86.589996 86.589996 86.589996 800 85.810583
2014-04-21 86.919998 86.919998 85.019997 85.019997 2100 84.254715
2014-04-22 85.019997 87.25 85.019997 87.25 2400 86.464646
2014-04-23 85.300003 86.260002 85.300003 86.199997 1800 85.424094
2014-04-24 84.489998 84.580002 83.25 83.25 10000 82.50065
2014-04-25 81.18 81.18 80.519997 80.519997 1200 79.79522
2014-04-28 79.690002 81.029999 78 79.199997 8000 78.487102
2014-04-29 80 80.220001 78.410004 78.410004 1500 77.70422
2014-04-30 77.309998 79.760002 76.879997 79.760002 5700 79.042067
2014-05-01 78.839996 80.279999 77.400002 78.199997 4700 77.496103
2014-05-02 80.330002 82 79.099998 79.330002 2700 78.615937
2014-05-05 77.5 78.5 77.5 78.160004 2000 77.45647
2014-05-06 77.169998 78.25 75.690002 76.099998 4000 75.415008
2014-05-07 75.900002 77 74.150002 76.959999 3200 76.267267
2014-05-08 76.339996 78.559998 76.080002 76.559998 21800 75.870866
2014-05-09 74.959999 77.610001 74.690002 77.580002 12500 76.881689
2014-05-12 77.540001 81.190002 77.540001 81.150002 6200 80.419555
2014-05-13 80.459999 81 79.309998 79.309998 3000 78.596113
2014-05-14 77.779999 77.779999 75.400002 75.400002 3700 74.721311
2014-05-15 72.629997 74.269997 71.839996 74.150002 6300 73.482563
2014-05-16 74.18 74.220001 73.18 73.760002 2500 73.096074
2014-05-19 73.760002 76.360001 73.760002 76.360001 5200 75.672669
2014-05-20 75.25 75.550003 73.860001 74.220001 2400 73.551932
2014-05-21 75.5 77.339996 74.870003 76.209999 4600 75.524018
2014-05-22 77.209999 77.209999 76.910004 76.989998 1500 76.296996
2014-05-23 77.900002 77.910004 77.900002 77.910004 900 77.20872
2014-05-27 79.839996 80.43 79.599998 79.599998 1600 78.883503
2014-05-28 78.150002 78.75 77.870003 78.75 5800 78.041156
2014-05-29 78.75 78.75 78.75 78.75 0 78.041156
2014-05-30 79.209999 79.260002 78.809998 78.809998 2300 78.100613
2014-06-02 77.290001 80.099998 77.199997 80.099998 9900 79.379003
2014-06-03 81.07 81.07 79.720001 79.720001 1700 79.002426
2014-06-04 80.620003 80.980003 80.610001 80.900002 1600 80.171805
2014-06-05 81.440002 84.910004 81.389999 84.910004 1600 84.145712
2014-06-06 85.849998 86.800003 85.849998 86.639999 8000 85.860136
2014-06-09 85.959999 89.449997 85.959999 88.860001 10300 88.060154
2014-06-10 88.860001 89.099998 88 88.669998 4000 87.871862
2014-06-11 88 88.25 86.580002 87.339996 2300 86.553832
2014-06-12 85.699997 86.410004 85.43 85.5 6400 84.730398
2014-06-13 85.470001 87.599998 85.470001 86.489998 2500 85.711484
2014-06-16 86.669998 86.669998 84.199997 84.199997 600 83.442096
2014-06-17 84 88.550003 84 88.550003 1500 87.752947
2014-06-18 87.300003 87.900002 87.300003 87.900002 500 87.108796
2014-06-19 87.650002 88 87.379997 87.379997 700 86.593473
2014-06-20 88.239998 89.120003 88.239998 88.5 700 87.703394
2014-06-23 88.639999 88.75 87.25 87.25 1800 86.464646
2014-06-24 86.379997 88.970001 86.379997 88.379997 2500 87.584472
2014-06-25 83.43 86.860001 83.260002 86.860001 1700 86.078157
2014-06-26 86.230003 87.120003 84.949997 87.120003 1200 86.335819
2014-06-27 87.209999 88.080002 87.209999 88.080002 600 87.287177
2014-06-30 88.169998 88.809998 88 88.260002 13700 87.465557
2014-07-01 88.25 93.120003 88.25 92.120003 4500 91.290813
