"Index" "USD.HKD"
2015-07-29 7.7511
2015-07-30 7.7517
2015-07-31 7.7525
2015-08-01 7.7529
2015-08-02 7.7529
2015-08-03 7.7527
2015-08-04 7.7536
2015-08-05 7.7529
2015-08-06 7.7513
2015-08-07 7.7519
2015-08-08 7.752
2015-08-09 7.752
2015-08-10 7.7526
2015-08-11 7.757
2015-08-12 7.7569
2015-08-13 7.7539
2015-08-14 7.7552
2015-08-15 7.7561
2015-08-16 7.7561
2015-08-17 7.755
2015-08-18 7.7545
2015-08-19 7.7536
2015-08-20 7.7522
2015-08-21 7.7518
2015-08-22 7.7524
2015-08-23 7.7524
2015-08-24 7.7531
2015-08-25 7.7516
2015-08-26 7.7513
2015-08-27 7.7506
2015-08-28 7.7502
2015-08-29 7.7501
2015-08-30 7.7501
2015-08-31 7.7502
2015-09-01 7.7501
2015-09-02 7.7501
2015-09-03 7.7503
2015-09-04 7.7502
2015-09-05 7.7503
2015-09-06 7.7503
2015-09-07 7.7501
2015-09-08 7.7506
2015-09-09 7.751
2015-09-10 7.7505
2015-09-11 7.7501
2015-09-12 7.7502
2015-09-13 7.7502
2015-09-14 7.7501
2015-09-15 7.7501
2015-09-16 7.7502
2015-09-17 7.7503
2015-09-18 7.7501
2015-09-19 7.75
2015-09-20 7.75
2015-09-21 7.7501
2015-09-22 7.7501
2015-09-23 7.7501
2015-09-24 7.7502
2015-09-25 7.7502
2015-09-26 7.7505
2015-09-27 7.7505
2015-09-28 7.7502
2015-09-29 7.7502
2015-09-30 7.7501
2015-10-01 7.7501
2015-10-02 7.7501
2015-10-03 7.7501
2015-10-04 7.7501
2015-10-05 7.7501
2015-10-06 7.7501
2015-10-07 7.7501
2015-10-08 7.7501
2015-10-09 7.7501
2015-10-10 7.75
2015-10-11 7.75
2015-10-12 7.7501
2015-10-13 7.7501
2015-10-14 7.7501
2015-10-15 7.7501
2015-10-16 7.7501
2015-10-17 7.7501
2015-10-18 7.7501
2015-10-19 7.7501
2015-10-20 7.7501
2015-10-21 7.7502
2015-10-22 7.7502
2015-10-23 7.7501
2015-10-24 7.7501
2015-10-25 7.7501
2015-10-26 7.7501
2015-10-27 7.7501
2015-10-28 7.7501
2015-10-29 7.7501
2015-10-30 7.7502
2015-10-31 7.7506
2015-11-01 7.7506
