"Index" "XPT.USD"
2014-10-15 1269.5
2014-10-16 1269.5
2014-10-17 1269.5
2014-10-18 1269.5
2014-10-19 1269.5
2014-10-20 1258.95
2014-10-21 1267.02
2014-10-22 1267.02
2014-10-23 1267.02
2014-10-24 1267.02
2014-10-25 1267.02
2014-10-26 1267.02
2014-10-27 1250.23
2014-10-28 1250.23
2014-10-29 1250.23
2014-10-30 1250.23
2014-10-31 1250.23
2014-11-01 1250.23
2014-11-02 1250.23
2014-11-03 1233.64
2014-11-04 1233.64
2014-11-05 1233.64
2014-11-06 1233.64
2014-11-07 1233.64
2014-11-08 1233.64
2014-11-09 1233.64
2014-11-10 1208.5
2014-11-11 1202.22
2014-11-12 1201.14
2014-11-13 1201.14
2014-11-14 1201.14
2014-11-15 1201.14
2014-11-16 1201.14
2014-11-17 1200.16
2014-11-18 1200.16
2014-11-19 1200.16
2014-11-20 1200.16
2014-11-21 1200.16
2014-11-22 1200.16
2014-11-23 1200.16
2014-11-24 1223.39
2014-11-25 1223.39
2014-11-26 1223.39
2014-11-27 1223.39
2014-11-28 1223.39
2014-11-29 1223.39
2014-11-30 1223.39
2014-12-01 1189.36
2014-12-02 1189.36
2014-12-03 1218.2
2014-12-04 1223.87
2014-12-05 1235.41
2014-12-06 1224.305
2014-12-07 1224.75
2014-12-08 1222.2
2014-12-09 1231.84
2014-12-10 1231.84
2014-12-11 1231.84
2014-12-12 1231.84
2014-12-13 1229.43
2014-12-14 1229.43
2014-12-15 1230.25
2014-12-16 1230.25
2014-12-17 1230.25
2014-12-18 1230.25
2014-12-19 1230.25
2014-12-20 1230.25
2014-12-21 1230.25
2014-12-22 1197.32
2014-12-23 1180.5
2014-12-24 1193
2014-12-25 1192.005
2014-12-26 1193.5
2014-12-27 1218
2014-12-28 1218
2014-12-29 1214.5
2014-12-30 1203.27
2014-12-31 1217.5
2015-01-01 1209.235
