"Index" "HY.Open" "HY.High" "HY.Low" "HY.Close" "HY.Volume" "HY.Adjusted"
2014-03-25 98.110001 98.75 96.050003 97.959999 44900 95.723828
2014-03-26 98.779999 98.779999 95.099998 95.279999 85900 93.105005
2014-03-27 94.580002 96.739998 94.32 94.639999 46500 92.479616
2014-03-28 94.760002 96.75 92.830002 94.309998 96300 92.157147
2014-03-31 95.190002 98.129997 94.449997 97.5 74000 95.27433
2014-04-01 98.040001 102.040001 98.010002 101.440002 76900 99.124392
2014-04-02 101.940002 104.559998 101.940002 103.389999 56500 101.029876
2014-04-03 103.330002 103.650002 98.160004 101.540001 38500 99.222108
2014-04-04 102.919998 103.150002 96.660004 98.139999 58600 95.89972
2014-04-07 97.940002 99.839996 94.910004 97.309998 60200 95.088665
2014-04-08 97.230003 98.760002 96.480003 97.510002 31100 95.284104
2014-04-09 97.239998 98.5 96.309998 98.32 38500 96.075611
2014-04-10 98.400002 101 96.589996 97.650002 139700 95.420907
2014-04-11 95.919998 97.279999 94.190002 95.260002 59800 93.085465
2014-04-14 96.269997 96.269997 93.029999 94.970001 58100 92.802084
2014-04-15 96.129997 97.099998 94 96.669998 62800 94.463275
2014-04-16 97.599998 97.669998 96.239998 97.32 26900 95.098438
2014-04-17 97.300003 99.080002 97.18 98.540001 28800 96.29059
2014-04-21 98.690002 99.739998 97 99.110001 27000 96.847578
2014-04-22 99 103.879997 99 102.080002 65400 99.749782
2014-04-23 101.769997 101.82 99.879997 99.910004 44500 97.629319
2014-04-24 100.849998 101.32 97.769997 98.860001 52900 96.603285
2014-04-25 98.639999 99.839996 97.099998 97.410004 41500 95.186388
2014-04-28 97.529999 99.580002 95.300003 96.849998 30900 94.639166
2014-04-29 97.699997 99.290001 95.900002 96.129997 31100 93.935601
2014-04-30 96.220001 97.059998 94.279999 96.389999 125700 94.189668
2014-05-01 96 96 85.510002 90.449997 204100 88.38526
2014-05-02 90.510002 92.529999 90.510002 92.360001 76400 90.251663
2014-05-05 91.459999 93.279999 90.769997 92.669998 110500 90.554584
