"Index" "MKC.Open" "MKC.High" "MKC.Low" "MKC.Close" "MKC.Volume" "MKC.Adjusted"
2014-08-29 69.690002 69.900002 69.300003 69.690002 377400 67.909298
2014-09-02 69.720001 69.849998 69.419998 69.529999 700700 67.753382
2014-09-03 69.830002 69.940002 69.389999 69.449997 291100 67.675425
2014-09-04 69.440002 69.730003 68.980003 69.150002 284600 67.383095
2014-09-05 69.089996 69.540001 68.769997 69.540001 230900 67.763129
2014-09-08 69.290001 69.57 69 69.129997 307100 67.363602
2014-09-09 69.25 69.25 68.510002 68.660004 390500 66.905617
2014-09-10 68.57 69.040001 68.300003 68.959999 277800 67.197947
2014-09-11 68.709999 68.940002 68.529999 68.93 231900 67.168715
2014-09-12 68.760002 68.82 68.019997 68.25 262200 66.50609
2014-09-15 68.480003 68.589996 68.139999 68.379997 308600 66.632766
2014-09-16 68.370003 68.970001 68.370003 68.709999 453500 66.954335
2014-09-17 68.510002 68.620003 67.650002 67.980003 535300 66.242992
2014-09-18 68.290001 68.519997 67.760002 68.489998 412200 66.739955
2014-09-19 68.730003 68.910004 68.239998 68.25 666400 66.50609
2014-09-22 68.059998 68.139999 67.080002 67.190002 635700 65.473177
2014-09-23 67.160004 67.290001 66.470001 66.510002 964200 64.810552
2014-09-24 66.550003 67.150002 66.550003 67.040001 762900 65.327008
2014-09-25 66.940002 67.050003 65.910004 66.120003 591700 64.430518
2014-09-26 66.169998 66.5 65.800003 66.389999 418000 64.693616
2014-09-29 66.07 66.860001 66.040001 66.779999 781400 65.07365
2014-09-30 66.599998 67.25 66.57 66.900002 1070700 65.190586
2014-10-01 67.239998 67.239998 65.160004 65.610001 1520400 63.933547
2014-10-02 68 69.849998 65.779999 67.5 3522000 65.775254
2014-10-03 67.980003 68.610001 67.540001 68.519997 914500 66.769188
2014-10-06 68.809998 68.809998 67.870003 68.18 664100 66.437879
2014-10-07 68.07 68.489998 67.349998 67.360001 895800 65.638832
2014-10-08 67.050003 68.279999 66.849998 68.269997 684000 66.893009
2014-10-09 68.260002 68.779999 67.639999 67.720001 880600 66.354107
2014-10-10 67.860001 68.330002 67.620003 67.620003 659900 66.256125
2014-10-13 67.510002 68.019997 67.139999 67.150002 746500 65.795604
2014-10-14 67.550003 68.160004 67.220001 67.480003 541800 66.11895
2014-10-15 67.040001 67.330002 65.860001 66.449997 1068800 65.109718
2014-10-16 65.629997 66.410004 65.440002 66.160004 602500 64.825574
2014-10-17 66.459999 67.330002 66.209999 67.099998 1118600 65.746609
2014-10-20 67 67.970001 66.980003 67.940002 501700 66.569671
2014-10-21 68.010002 68.239998 67.599998 68.099998 862000 66.72644
2014-10-22 68.25 68.839996 68.089996 68.279999 491900 66.902809
2014-10-23 68.57 68.769997 68.139999 68.230003 351200 66.853822
2014-10-24 68.330002 69.050003 67.980003 69.019997 587500 67.627882
2014-10-27 68.790001 69.559998 68.790001 69.160004 450500 67.765065
2014-10-28 69.389999 69.769997 69.220001 69.769997 345100 68.362754
2014-10-29 69.739998 69.889999 68.620003 69.32 609600 67.921834
2014-10-30 68.970001 70.150002 68.940002 69.860001 449400 68.450943
2014-10-31 70.5 70.760002 70.099998 70.720001 593900 69.293598
2014-11-03 70.650002 71.32 70.559998 71.129997 523600 69.695324
2014-11-04 70.470001 72.089996 70.470001 71.610001 808800 70.165646
2014-11-05 72.190002 72.75 72.059998 72.599998 706400 71.135676
2014-11-06 72.599998 72.989998 72.419998 72.870003 755300 71.400234
2014-11-07 72.639999 72.849998 72.269997 72.760002 567900 71.292452
2014-11-10 72.720001 73.059998 72.419998 73.029999 351300 71.557003
2014-11-11 73.010002 73.480003 72.949997 73.220001 431300 71.743173
2014-11-12 72.779999 73.32 72.489998 73.230003 403200 71.752974
2014-11-13 73.300003 73.660004 73.110001 73.260002 394100 71.782367
2014-11-14 73.279999 73.489998 72.449997 72.540001 535300 71.076888
2014-11-17 72.540001 72.919998 72.209999 72.510002 920500 71.047495
2014-11-18 72.599998 72.760002 72.339996 72.5 894000 71.037694
2014-11-19 72.510002 72.839996 72.279999 72.800003 735300 71.331646
2014-11-20 72.510002 72.779999 72.309998 72.349998 527000 70.890718
2014-11-21 72.769997 72.889999 72.160004 72.5 855500 71.037694
2014-11-24 72.650002 72.860001 72.449997 72.599998 404700 71.135676
2014-11-25 72.550003 73.129997 72.300003 72.860001 916900 71.390434
2014-11-26 73.110001 73.150002 72.730003 72.830002 861300 71.36104
2014-11-28 73.230003 74.75 73.150002 74.330002 431700 72.830785
2014-12-01 74.129997 74.349998 73.68 73.910004 562700 72.419258
2014-12-02 73.910004 74.199997 73.690002 73.889999 426300 72.399658
2014-12-03 73.800003 73.800003 72.989998 73.330002 482300 71.850955
