"Index" "H2L.Open" "H2L.High" "H2L.Low" "H2L.Close" "H2L.Volume" "H2L.Adjusted"
2014-09-08 24.202 24.202 24.202 24.202 0 24.202
2014-09-09 24.113 24.113 24.113 24.113 0 24.113
2014-09-10 24.427 24.427 24.427 24.427 0 24.427
2014-09-11 23.905 23.905 23.905 23.905 0 23.905
2014-09-12 24.104 24.104 24.104 24.104 0 24.104
2014-09-15 23.177 23.177 23.177 23.177 0 23.177
2014-09-16 22.678 22.678 22.678 22.678 0 22.678
2014-09-17 22.512 22.512 22.512 22.512 0 22.512
2014-09-18 23.007 23.007 23.007 23.007 0 23.007
2014-09-19 23.099 23.099 23.099 23.099 0 23.099
2014-09-22 22.626 22.626 22.626 22.626 0 22.626
2014-09-23 23.388 23.388 23.388 23.388 0 23.388
2014-09-24 23.322 23.322 23.322 23.322 0 23.322
2014-09-25 23.691 23.691 23.691 23.691 0 23.691
2014-09-26 23.503 23.503 23.503 23.503 0 23.503
2014-09-29 23.884 23.884 23.884 23.884 0 23.884
2014-09-30 23.365 23.365 23.365 23.365 0 23.365
2014-10-01 22.736 22.736 22.736 22.736 0 22.736
2014-10-02 22.576 22.576 22.576 22.576 0 22.576
2014-10-03 22.576 22.576 22.576 22.576 0 22.576
2014-10-06 24.31 24.31 24.31 24.31 0 24.31
2014-10-07 23.488 23.488 23.488 23.488 0 23.488
2014-10-08 22.695 22.695 22.695 22.695 0 22.695
2014-10-09 22.532 22.532 22.532 22.532 0 22.532
2014-10-10 22.018 22.115 22.018 22.115 0 22.115
2014-10-13 21.449 21.449 21.449 21.449 0 21.449
2014-10-14 20.849 20.849 20.849 20.849 0 20.849
2014-10-15 21.188 21.188 21.188 21.188 0 21.188
2014-10-16 20.675 20.675 20.675 20.675 0 20.675
2014-10-17 21.148 21.148 21.148 21.148 0 21.148
2014-10-20 21.926 21.926 21.926 21.926 0 21.926
2014-10-21 22 22 22 22 0 22
2014-10-22 22.674 22.674 22.674 22.674 0 22.674
2014-10-23 22.858 22.858 22.858 22.858 0 22.858
2014-10-24 22.702 22.702 22.702 22.702 0 22.702
