"Index" "USD.SGD"
2015-04-25 1.3321
2015-04-26 1.3321
2015-04-27 1.3312
2015-04-28 1.3242
2015-04-29 1.32
2015-04-30 1.3232
2015-05-01 1.3258
2015-05-02 1.3306
2015-05-03 1.3306
2015-05-04 1.3318
2015-05-05 1.334
2015-05-06 1.3276
2015-05-07 1.3293
2015-05-08 1.3306
2015-05-09 1.3287
2015-05-10 1.3287
2015-05-11 1.3341
2015-05-12 1.3365
2015-05-13 1.3305
2015-05-14 1.321
2015-05-15 1.3221
2015-05-16 1.3206
2015-05-17 1.3206
2015-05-18 1.3236
2015-05-19 1.3314
2015-05-20 1.3365
2015-05-21 1.3361
2015-05-22 1.3336
2015-05-23 1.3365
2015-05-24 1.3365
2015-05-25 1.3404
2015-05-26 1.3466
2015-05-27 1.3506
2015-05-28 1.3501
2015-05-29 1.3482
2015-05-30 1.3476
2015-05-31 1.3476
2015-06-01 1.3518
2015-06-02 1.3531
2015-06-03 1.3462
2015-06-04 1.3458
2015-06-05 1.3513
2015-06-06 1.3576
2015-06-07 1.3576
2015-06-08 1.3585
2015-06-09 1.3529
2015-06-10 1.3463
2015-06-11 1.3456
2015-06-12 1.3459
2015-06-13 1.3439
2015-06-14 1.3439
2015-06-15 1.3467
2015-06-16 1.3453
2015-06-17 1.3446
2015-06-18 1.3337
2015-06-19 1.3352
2015-06-20 1.3338
2015-06-21 1.3338
2015-06-22 1.3339
2015-06-23 1.339
2015-06-24 1.343
2015-06-25 1.343
2015-06-26 1.3461
2015-06-27 1.3498
2015-06-28 1.3498
2015-06-29 1.3505
2015-06-30 1.3466
2015-07-01 1.3487
2015-07-02 1.3511
2015-07-03 1.3483
2015-07-04 1.3461
2015-07-05 1.3461
2015-07-06 1.3501
2015-07-07 1.3541
2015-07-08 1.354
2015-07-09 1.3508
2015-07-10 1.3495
2015-07-11 1.351
2015-07-12 1.351
2015-07-13 1.3539
2015-07-14 1.3605
2015-07-15 1.3632
2015-07-16 1.3665
2015-07-17 1.3665
2015-07-18 1.3677
