"Index" "MBE.Open" "MBE.High" "MBE.Low" "MBE.Close" "MBE.Volume" "MBE.Adjusted"
2014-08-01 28.031 28.031 28.031 28.031 0 27.592
2014-08-04 27.703 27.703 27.703 27.703 0 27.269
2014-08-05 27.891 27.891 27.891 27.891 0 27.454
2014-08-06 29.149 29.149 29.149 29.149 0 28.692
2014-08-07 30.079 30.079 30.079 30.079 0 29.608
2014-08-08 29.592 29.592 29.592 29.592 0 29.128
2014-08-11 30.077 30.077 30.077 30.077 0 29.606
2014-08-12 30.287 30.287 30.287 30.287 0 29.812
2014-08-13 29.928 29.928 29.928 29.928 0 29.459
2014-08-14 30.071 30.071 30.071 30.071 0 29.6
2014-08-15 29.896 29.896 29.896 29.896 0 29.427
2014-08-18 29.905 29.905 29.905 29.905 0 29.605
2014-08-19 30.125 30.125 30.125 30.125 0 29.822
2014-08-20 30.767 30.767 30.767 30.767 0 30.458
2014-08-21 30.087 30.087 30.087 30.087 0 29.785
2014-08-22 30.04 30.04 30.04 30.04 0 29.738
2014-08-25 30.11 30.11 30.11 30.11 0 29.808
2014-08-26 30.005 30.005 30.005 30.005 0 29.704
2014-08-27 30.109 30.109 30.109 30.109 0 29.807
2014-08-28 29.293 29.293 29.293 29.293 0 28.999
2014-08-29 29.748 29.748 29.748 29.748 0 29.449
2014-09-01 29.58 29.58 29.58 29.58 0 29.283
2014-09-02 29.638 29.638 29.638 29.638 0 29.34
2014-09-03 29.278 29.278 29.278 29.278 0 28.984
2014-09-04 29.012 29.012 29.006 29.006 0 28.715
2014-09-05 29.233 29.233 29.233 29.233 0 28.939
2014-09-08 29.948 29.948 29.948 29.948 0 29.647
2014-09-09 30.041 30.041 30.041 30.041 0 29.739
2014-09-10 29.592 29.592 29.592 29.592 0 29.295
2014-09-11 30.001 30.001 30.001 30.001 0 29.7
2014-09-12 30.479 30.479 30.479 30.479 0 30.173
2014-09-15 29.979 29.979 29.979 29.979 0 29.678
2014-09-16 29.901 29.901 29.901 29.901 0 29.601
2014-09-17 29.866 29.866 29.866 29.866 0 29.566
2014-09-18 29.744 29.744 29.744 29.744 0 29.445
2014-09-19 29.738 29.738 29.738 29.738 0 29.439
2014-09-22 28.609 28.609 28.609 28.609 0 28.322
2014-09-23 28.416 28.416 28.416 28.416 0 28.131
2014-09-24 28.222 28.222 28.222 28.222 0 27.939
2014-09-25 28.582 28.582 28.582 28.582 0 28.295
2014-09-26 28.688 28.688 28.688 28.688 0 28.4
2014-09-29 28.925 28.925 28.925 28.925 0 28.634
2014-09-30 28.065 28.065 28.065 28.065 0 27.783
2014-10-01 27.406 27.406 27.406 27.406 0 27.131
2014-10-02 27.603 27.603 27.603 27.603 0 27.326
2014-10-03 27.603 27.603 27.603 27.603 0 27.326
2014-10-06 28.873 28.873 28.873 28.873 0 28.583
2014-10-07 28.206 28.206 28.206 28.206 0 27.923
2014-10-08 28.017 28.017 28.017 28.017 0 27.736
2014-10-09 28.528 28.528 28.528 28.528 0 28.241
2014-10-10 27.808 27.808 27.808 27.808 0 27.529
2014-10-13 27.613 27.613 27.613 27.613 0 27.336
2014-10-14 28.839 28.839 28.839 28.839 0 28.549
2014-10-15 30.047 30.047 30.047 30.047 0 29.745
2014-10-16 29.892 29.892 29.892 29.892 0 29.592
2014-10-17 30.328 30.328 30.328 30.328 0 30.023
2014-10-20 30.273 30.273 30.273 30.273 0 29.969
2014-10-21 30.228 30.228 30.228 30.228 0 29.924
2014-10-22 31.004 31.004 31.004 31.004 0 30.693
2014-10-23 30.566 30.566 30.566 30.566 0 30.259
2014-10-24 32.758 32.758 32.758 32.758 0 32.429
2014-10-27 32.207 32.207 32.207 32.207 0 31.883
2014-10-28 31.933 31.933 31.933 31.933 0 31.612
2014-10-29 32.782 32.782 32.782 32.782 0 32.453
2014-10-30 33.029 33.029 33.029 33.029 0 32.697
2014-10-31 34.224 34.224 34.224 34.224 0 33.88
2014-11-03 34.788 34.788 34.558 34.558 0 34.211
2014-11-04 34.055 34.055 34.055 34.055 0 33.713
2014-11-05 34.213 34.213 34.213 34.213 0 33.869
2014-11-06 33.959 33.959 33.959 33.959 0 33.618
2014-11-07 34.734 34.734 34.734 34.734 0 34.558
2014-11-10 34.688 34.688 34.688 34.688 0 34.512
2014-11-11 34.852 34.852 34.852 34.852 0 34.676
2014-11-12 35.244 35.244 35.244 35.244 0 35.066
2014-11-13 35.714 35.714 35.714 35.714 0 35.533
2014-11-14 35.21 35.21 35.21 35.21 0 35.032
