"Index" "MJC.Open" "MJC.High" "MJC.Low" "MJC.Close" "MJC.Volume" "MJC.Adjusted"
2013-10-15 2.2 2.2 2.2 2.2 0 2.04124
2013-10-16 2.1 2.1 2.1 2.1 1000 1.94845
2013-10-17 2.1 2.12 2.1 2.12 217300 1.96701
2013-10-18 2.1 2.1 2.1 2.1 135400 1.94845
2013-10-21 2.11 2.11 2.09 2.1 294000 1.94845
2013-10-22 2.08 2.08 2.08 2.08 105000 1.92989
2013-10-23 2.1 2.19 2.1 2.19 234100 2.03195
2013-10-24 2.19 2.19 2.19 2.19 0 2.03195
2013-10-25 2.07 2.1 2.07 2.1 89200 1.94845
2013-10-28 2.1 2.1 2.1 2.1 0 1.94845
2013-10-29 2.1 2.1 2.1 2.1 49300 1.94845
2013-10-30 2.1 2.1 2.1 2.1 559600 1.94845
2013-10-31 2.1 2.1 2 2 1491000 1.85567
2013-11-01 2 2 2 2 0 1.85567
2013-11-04 2 2 2 2 0 1.85567
2013-11-05 2 2.1 2 2.1 535500 1.94845
2013-11-06 2.08 2.1 2.08 2.1 472500 1.94845
2013-11-07 2.1 2.1 2.1 2.1 336000 1.94845
2013-11-08 2.08 2.1 2.08 2.1 130200 1.94845
2013-11-11 2.1 2.1 2.1 2.1 10500 1.94845
2013-11-12 2.1 2.1 2.1 2.1 113400 1.94845
2013-11-13 2.1 2.1 2.1 2.1 0 1.94845
2013-11-14 2.05 2.1 2.05 2.1 152200 1.94845
2013-11-15 2.1 2.1 2.1 2.1 19900 1.94845
2013-11-18 2.1 2.1 2.1 2.1 0 1.94845
2013-11-19 2.1 2.1 2.1 2.1 0 1.94845
2013-11-20 2.1 2.1 2.1 2.1 126000 1.94845
2013-11-21 2.1 2.1 2.05 2.1 143800 1.94845
2013-11-22 2 2.1 2 2 123900 1.85567
2013-11-25 2 2.1 2 2.1 75600 1.94845
2013-11-26 2.05 2.1 2.05 2.1 256200 1.94845
2013-11-27 2.1 2.1 2.1 2.1 105000 1.94845
2013-11-28 2.1 2.1 2.1 2.1 21000 1.94845
2013-11-29 2.1 2.1 2.1 2.1 109200 1.94845
2013-12-02 2.1 2.1 2.1 2.1 0 1.94845
2013-12-03 2.09 2.09 2.09 2.09 92400 1.93918
2013-12-04 2.09 2.1 2.09 2.1 116500 1.94845
2013-12-05 2.05 2.1 2.05 2.1 173200 1.94845
2013-12-06 2.1 2.1 2.05 2.05 105000 1.90206
2013-12-09 2.05 2.1 2.05 2.1 99700 1.94845
2013-12-10 2.1 2.1 2.1 2.1 31500 1.94845
2013-12-11 2 2.1 2 2.1 90300 1.94845
2013-12-12 2.09 2.1 2.09 2.1 88200 1.94845
2013-12-13 2.09 2.1 2.09 2.1 90300 1.94845
2013-12-16 2.09 2.1 2.09 2.1 142800 1.94845
2013-12-17 2 2.05 2 2.05 225700 1.90206
2013-12-18 2.05 2.05 2 2.05 74500 1.90206
2013-12-19 2.05 2.08 2.05 2.08 43000 1.92989
2013-12-20 2.08 2.08 2.08 2.08 117600 1.92989
2013-12-23 2.05 2.05 2.05 2.05 31500 1.90206
2013-12-24 2.05 2.05 2.05 2.05 0 1.90206
2013-12-25 2.05 2.05 2.05 2.05 0 1.90206
2013-12-26 2.05 2.09 2.05 2.05 89200 1.90206
2013-12-27 2.05 2.05 2.05 2.05 450400 1.90206
2013-12-30 2.05 2.05 2.05 2.05 0 1.90206
2013-12-31 2.05 2.05 2.05 2.05 0 1.90206
2014-01-01 2.05 2.05 2.05 2.05 0 1.90206
2014-01-02 2.05 2.05 2.05 2.05 31500 1.90206
2014-01-03 2.05 2.05 2.05 2.05 10500 1.90206
2014-01-06 2.05 2.05 2 2 888300 1.85567
2014-01-07 2 2 2 2 34600 1.85567
2014-01-08 2.01 2.01 1.92 2 972300 1.85567
2014-01-09 2 2 1.92 2 616300 1.85567
2014-01-10 2 2 2 2 0 1.85567
2014-01-13 2 2 2 2 4200 1.85567
2014-01-14 1.98 1.98 1.98 1.98 246700 1.83711
2014-01-15 2 2 1.98 1.98 446200 1.83711
2014-01-16 1.98 1.98 1.98 1.98 0 1.83711
2014-01-17 1.98 1.98 1.98 1.98 15700 1.83711
2014-01-20 2 2 2 2 115500 1.85567
2014-01-21 2 2 2 2 19900 1.85567
2014-01-22 2 2 2 2 0 1.85567
2014-01-23 2 2 2 2 21000 1.85567
2014-01-24 2 2 1.97 2 199500 1.85567
2014-01-27 1.97 1.97 1.84999 1.84999 4798500 1.71649
2014-01-28 1.84999 1.84999 1.83 1.83 178500 1.69794
2014-01-29 1.84999 1.84999 1.79 1.79 462000 1.66082
2014-01-30 1.79 1.8 1.42 1.8 432600 1.67011
2014-01-31 1.8 1.8 1.8 1.8 0 1.67011
2014-02-03 1.8 1.8 1.8 1.8 122800 1.67011
2014-02-04 1.62 1.63 1.62 1.63 9816400 1.51237
2014-02-05 1.8 1.8 1.7 1.7 136500 1.57732
2014-02-06 1.63999 1.63999 1.63 1.63 33600 1.51237
2014-02-07 1.63 1.63 1.63 1.63 10500 1.51237
2014-02-10 1.78 1.78 1.63 1.67 80800 1.54949
2014-02-11 1.67 1.67 1.65 1.65 46200 1.53093
2014-02-12 1.65 1.7 1.63999 1.7 129100 1.57732
2014-02-13 1.68 1.68 1.68 1.68 53500 1.55876
2014-02-14 1.68 1.74 1.66 1.66 57700 1.5402
2014-02-17 1.66 1.66 1.66 1.66 1000 1.5402
2014-02-18 1.65 1.7 1.63 1.7 77700 1.57732
2014-02-19 1.73 1.78 1.73 1.73 110200 1.60516
2014-02-20 1.73 1.73 1.73 1.73 0 1.60516
2014-02-21 1.71 1.72 1.71 1.71 75600 1.5866
2014-02-24 1.71 1.71 1.71 1.71 3100 1.5866
2014-02-25 1.71 1.71 1.7 1.7 73500 1.57732
2014-02-26 1.7 1.7 1.68 1.68 53500 1.55876
2014-02-27 1.68 1.68 1.68 1.68 0 1.55876
2014-02-28 1.68 1.68 1.68 1.68 0 1.55876
2014-03-03 1.68 1.68 1.68 1.68 0 1.55876
2014-03-04 1.68 1.68 1.68 1.68 0 1.55876
2014-03-05 1.8 1.83 1.7 1.83 227800 1.69794
2014-03-06 1.81 1.81 1.8 1.8 122800 1.67011
2014-03-07 1.8 1.8 1.8 1.8 0 1.67011
2014-03-10 1.8 1.8 1.8 1.8 0 1.67011
2014-03-11 1.8 1.8 1.8 1.8 0 1.67011
2014-03-12 1.75 1.84999 1.75 1.84999 1225300 1.71649
2014-03-13 1.84999 1.84999 1.82 1.84999 87100 1.71649
2014-03-14 1.84999 1.84999 1.84999 1.84999 0 1.71649
2014-03-17 1.97 1.97 1.9 1.9 106000 1.76288
2014-03-18 1.84999 1.95 1.84999 1.95 8400 1.80928
2014-03-19 1.95 1.95 1.9 1.9 194200 1.76288
2014-03-20 1.89 1.9 1.87 1.9 190000 1.76288
2014-03-21 1.9 1.9 1.9 1.9 0 1.76288
2014-03-24 1.89 1.9 1.89 1.9 351700 1.76288
2014-03-25 1.89 1.9 1.89 1.9 630000 1.76288
2014-03-26 1.83 1.83 1.83 1.83 1000 1.69794
2014-03-27 1.82 1.82 1.81 1.81 164800 1.67938
2014-03-28 1.81 1.81 1.81 1.81 210000 1.67938
2014-03-31 1.81 1.81 1.81 1.81 136500 1.67938
2014-04-01 1.81 1.81 1.81 1.81 0 1.67938
2014-04-02 1.81 1.81 1.81 1.81 0 1.67938
2014-04-03 1.81 1.81 1.81 1.81 0 1.67938
2014-04-04 1.81 1.81 1.81 1.81 0 1.67938
2014-04-07 1.81 1.81 1.81 1.81 0 1.67938
2014-04-08 1.81 1.95 1.81 1.95 19900 1.80928
2014-04-09 1.95 1.95 1.95 1.95 0 1.80928
2014-04-10 1.82 1.82 1.82 1.82 3100 1.68866
2014-04-11 1.83 1.84 1.82 1.84 32500 1.70722
2014-04-14 1.84 1.84 1.84 1.84 0 1.70722
2014-04-15 1.82 1.82 1.82 1.82 11500 1.68866
2014-04-16 1.82 1.82 1.82 1.82 0 1.68866
2014-04-17 1.82 1.82 1.82 1.82 0 1.68866
