"Index" "UA.Open" "UA.High" "UA.Low" "UA.Close" "UA.Volume" "UA.Adjusted"
2013-12-23 86.690002 86.93 85.379997 85.93 1660200 42.965
2013-12-24 86.029999 86.529999 85.519997 86.25 547400 43.125
2013-12-26 86.68 87.279999 86.139999 86.470001 726000 43.235001
2013-12-27 86.459999 87.370003 85.300003 85.980003 1348000 42.990002
2013-12-30 85.889999 87.260002 85.389999 86.949997 1038800 43.474998
2013-12-31 87.019997 87.400002 86.699997 87.300003 702200 43.650002
2014-01-02 87.300003 88.029999 86.470001 86.980003 1496200 43.490002
2014-01-03 86.980003 87.480003 86.660004 86.989998 1096400 43.494999
2014-01-06 87.360001 87.699997 86.489998 86.610001 1173000 43.305
2014-01-07 86.849998 87.529999 86.730003 86.779999 1224800 43.389999
2014-01-08 86.980003 86.980003 86.199997 86.900002 1131400 43.450001
2014-01-09 87.239998 88.279999 86.699997 87.889999 1557800 43.945
2014-01-10 88.239998 88.769997 87.269997 88.75 1263400 44.375
2014-01-13 88.440002 88.75 84.650002 84.93 2613600 42.465
2014-01-14 85 85.519997 84.18 85.089996 2323200 42.544998
2014-01-15 85.510002 85.830002 84.410004 85.029999 1252400 42.514999
2014-01-16 84.68 84.989998 82.019997 82.419998 2593600 41.209999
2014-01-17 82.410004 83.279999 81.949997 81.989998 1698800 40.994999
2014-01-21 82.290001 85.419998 82.290001 84.779999 3540400 42.389999
2014-01-22 85.190002 85.910004 83.629997 83.989998 2683600 41.994999
2014-01-23 83.800003 84.040001 82.580002 83.900002 2669800 41.950001
2014-01-24 83.099998 84.599998 83 83.489998 2356800 41.744999
2014-01-27 83.449997 84.239998 82.160004 82.93 2541200 41.465
2014-01-28 83.589996 86 83.589996 85.779999 1955000 42.889999
2014-01-29 85.669998 87.529999 84.949997 85.220001 3632800 42.610001
2014-01-30 96.699997 106.650002 96 104.760002 18173600 52.380001
2014-01-31 103.239998 108.720001 102.589996 108.110001 6984600 54.055
2014-02-03 106.57 107.980003 105.300003 105.639999 5578200 52.82
2014-02-04 105.75 106.68 104.239998 104.650002 4004600 52.325001
2014-02-05 104.650002 106.330002 103.419998 104.870003 4275800 52.435001
2014-02-06 105.209999 106.900002 104.660004 106.169998 2787000 53.084999
2014-02-07 107.110001 110 107 109.18 3661000 54.59
2014-02-10 109.279999 109.709999 107.059998 108.230003 2103600 54.115002
2014-02-11 108.559998 109.5 107.610001 108.25 2043800 54.125
2014-02-12 108.699997 109.5 107.080002 107.959999 1937000 53.98
