"Index" "FO.Open" "FO.High" "FO.Low" "FO.Close" "FO.Volume" "FO.Adjusted"
2014-08-04 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-08-05 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-08-06 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-08-07 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-08-08 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-08-11 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-08-12 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-08-13 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-08-14 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-08-15 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-08-19 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-08-20 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-08-21 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-08-22 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-08-25 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-08-26 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-08-27 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-08-28 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-08-29 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-09-01 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-09-02 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-09-03 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-09-04 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-09-05 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-09-08 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-09-09 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-09-10 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-09-11 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-09-12 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-09-15 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-09-16 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-09-17 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-09-18 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-09-19 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-09-22 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-09-23 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-09-24 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-09-25 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-09-26 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-09-29 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-09-30 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-10-01 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-10-02 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-10-03 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-10-06 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-10-07 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-10-08 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-10-09 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-10-10 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-10-13 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-10-14 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-10-15 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-10-16 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-10-17 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-10-20 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-10-21 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-10-22 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-10-23 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-10-24 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-10-27 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-10-28 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-10-29 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-10-30 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-10-31 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-11-03 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-11-04 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-11-05 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-11-06 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-11-07 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-11-10 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-11-11 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-11-12 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-11-13 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-11-14 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-11-17 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-11-18 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-11-19 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-11-20 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-11-21 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-11-24 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-11-25 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-11-26 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-11-27 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-12-09 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-12-10 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-12-11 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-12-12 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-12-15 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-12-16 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-12-17 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-12-18 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-12-19 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-12-22 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-12-23 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-12-25 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-12-26 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-12-29 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-12-30 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-12-31 88.40005 88.40005 88.40005 88.40005 0 72.6388
2015-01-01 88.40005 88.40005 88.40005 88.40005 0 72.6388
2015-01-05 88.40005 88.40005 88.40005 88.40005 0 72.6388
2015-01-06 88.40005 88.40005 88.40005 88.40005 0 72.6388
2015-01-07 88.40005 88.40005 88.40005 88.40005 0 72.6388
2015-01-08 88.40005 88.40005 88.40005 88.40005 0 72.6388
2015-01-09 88.40005 88.40005 88.40005 88.40005 0 72.6388
2015-01-12 230.00042 230.00042 230.00042 230.00042 147100 188.9926
2015-01-13 220.3104 229.98961 220.3104 222.51001 380100 182.83769
2015-01-14 227.00042 228.9996 219.9996 227.00042 413300 186.52748
2015-01-15 228.93961 228.93961 226.98961 227.00042 321500 186.52748
2015-01-16 228.99001 228.99001 220.05001 226.98 634900 186.51071
2015-01-19 227.22002 227.99041 222.51001 227.22002 489000 186.70793
2015-01-20 229.50001 229.97041 228.00001 229.80001 360900 188.82792
2015-01-21 230.00042 230.00042 222.80042 227.00042 509700 186.52748
2015-01-22 223.14001 226.98961 223.14001 226.98961 173700 186.51861
2015-01-23 227.00042 227.00042 219.20042 224.00042 2073800 184.06237
2015-01-26 223.98 227.00042 223.98 227.00042 302000 186.52748
2015-01-27 220.02002 225.00001 219.9996 225.00001 846300 184.88374
2015-01-28 225.99001 227.97961 225.8496 227.97961 229600 187.33209
2015-01-29 229.97041 237.00001 229.97041 230.00042 719900 188.9926
2015-01-30 227.00042 230.00042 226.98961 230.00042 271800 188.9926
