"Index" "NYF.Open" "NYF.High" "NYF.Low" "NYF.Close" "NYF.Volume" "NYF.Adjusted"
2014-07-23 110.199997 110.25 110.099998 110.099998 3700 106.246633
2014-07-24 110.5 110.57 110.089996 110.190002 5600 106.333487
2014-07-25 110.190002 110.550003 110.190002 110.199997 10400 106.343132
2014-07-28 110.32 110.370003 110.18 110.230003 6100 106.372088
2014-07-29 110.849998 110.849998 110.43 110.510002 6600 106.642287
2014-07-30 110.300003 110.57 109.980003 110.220001 25400 106.362436
2014-07-31 110.480003 110.480003 110.209999 110.209999 1000 106.352784
2014-08-01 109.949997 110.029999 109.860001 109.860001 2500 106.265732
2014-08-04 109.800003 110.190002 109.800003 109.809998 58800 106.217365
2014-08-05 110.290001 110.290001 109.769997 110.050003 1300 106.449518
2014-08-06 110.589996 110.589996 109.82 110.150002 6900 106.546245
2014-08-07 110.230003 110.260002 109.919998 110.25 6700 106.642972
2014-08-08 110.349998 110.349998 110.050003 110.339996 1500 106.730024
2014-08-11 110.07 110.400002 110.050003 110.25 5500 106.642972
2014-08-12 110.379997 110.440002 110.059998 110.360001 1300 106.749373
2014-08-13 110.419998 110.459999 110.300003 110.459999 1700 106.8461
2014-08-14 110.510002 110.610001 110.5 110.610001 3800 106.991194
2014-08-15 110.629997 110.68 110.629997 110.660004 2800 107.039561
2014-08-18 110.720001 110.720001 110.32 110.68 6500 107.058904
2014-08-19 110.709999 110.779999 110.480003 110.610001 4200 106.991194
2014-08-20 110.699997 110.760002 110.400002 110.650002 9500 107.029886
2014-08-21 110.669998 110.75 110.410004 110.709999 7800 107.087921
2014-08-22 110.75 110.769997 110.449997 110.760002 4400 107.136288
2014-08-25 110.800003 110.800003 110.449997 110.589996 2500 106.971844
2014-08-26 110.790001 110.830002 110.660004 110.830002 3000 107.203998
2014-08-27 110.75 110.959999 110.75 110.919998 4500 107.29105
2014-08-28 111.169998 111.169998 111.010002 111.029999 6100 107.397451
2014-08-29 111.199997 111.25 110.940002 111.139999 2600 107.503853
2014-09-02 110.629997 110.849998 110.629997 110.82 4200 107.4418
2014-09-03 110.800003 110.800003 110.610001 110.629997 1800 107.25759
2014-09-04 110.510002 110.629997 110.419998 110.510002 11500 107.141252
2014-09-05 110.650002 110.650002 110.599998 110.629997 1300 107.25759
2014-09-08 110.669998 110.809998 110.330002 110.330002 8500 106.966739
2014-09-09 110.589996 110.589996 110.279999 110.529999 2400 107.16064
2014-09-10 110.260002 110.459999 110.25 110.25 2400 106.889176
2014-09-11 110.470001 110.510002 110.330002 110.459999 9400 107.092774
2014-09-12 110.239998 110.489998 110.129997 110.43 6800 107.063689
2014-09-15 110.209999 110.459999 110.209999 110.330002 6500 106.966739
2014-09-16 110.190002 110.43 110.169998 110.169998 5000 106.811613
2014-09-17 110.529999 110.529999 110.129997 110.129997 7100 106.772832
2014-09-18 110.449997 110.510002 110.360001 110.410004 2400 107.044302
2014-09-19 110.519997 110.589996 110.379997 110.489998 6100 107.121858
2014-09-22 110.650002 110.650002 110.510002 110.650002 2700 107.276984
2014-09-23 110.669998 110.690002 110.599998 110.650002 2000 107.276984
2014-09-24 110.599998 110.769997 110.599998 110.690002 5100 107.315766
2014-09-25 110.93 110.989998 110.870003 110.93 2600 107.548448
2014-09-26 110.610001 110.849998 110.610001 110.830002 2900 107.451497
2014-09-29 110.959999 111 110.82 111 10100 107.616313
2014-09-30 110.699997 111.379997 110.699997 110.959999 7800 107.577532
2014-10-01 110.610001 111.07 110.559998 110.93 8600 107.794233
2014-10-02 110.75 111.010002 110.75 110.910004 2300 107.774802
2014-10-03 111 111 110.75 110.809998 2900 107.677623
2014-10-06 110.790001 111.029999 110.790001 110.980003 6300 107.842823
2014-10-07 111.010002 111.190002 110.910004 111.120003 2200 107.978865
2014-10-08 111.120003 111.400002 111.120003 111.400002 5400 108.250949
2014-10-09 111.540001 111.620003 111.370003 111.459999 2900 108.30925
2014-10-10 111.620003 111.760002 111.589996 111.699997 5600 108.542464
2014-10-13 111.809998 111.940002 111.760002 111.879997 3100 108.717376
2014-10-14 111.870003 112.129997 111.82 112.129997 19700 108.960309
2014-10-15 112.400002 112.900002 112.25 112.510002 3900 109.329572
2014-10-16 112.459999 112.459999 112.139999 112.339996 3000 109.164372
2014-10-17 112.18 112.220001 112.07 112.220001 5700 109.047769
2014-10-20 112.089996 112.279999 111.889999 111.889999 3500 108.727095
2014-10-21 111.800003 111.910004 111.599998 111.650002 38500 108.493882
2014-10-22 111.559998 111.839996 111.559998 111.800003 3000 108.639643
2014-10-23 111.540001 111.68 111.510002 111.550003 17600 108.39671
2014-10-24 111.540001 111.620003 111.480003 111.559998 3800 108.406422
2014-10-27 111.220001 111.589996 111.220001 111.540001 13600 108.38699
2014-10-28 111.849998 111.849998 111.290001 111.459999 20500 108.30925
2014-10-29 111.470001 111.769997 111.370003 111.480003 2900 108.328689
2014-10-30 111.43 111.769997 111 111.099998 42300 107.959426
2014-10-31 111.339996 111.339996 110.800003 110.800003 19600 107.667911
2014-11-03 110.650002 111.010002 110.599998 111 6700 108.106177
