"Index" "GS.Open" "GS.High" "GS.Low" "GS.Close" "GS.Volume" "GS.Adjusted"
2013-11-06 162.529999 164.300003 162.330002 163.520004 3593700 159.318821
2013-11-07 164.039993 164.210007 159.610001 159.639999 3490300 155.538502
2013-11-08 160.389999 163.690002 159.880005 163.169998 3856000 158.977808
2013-11-11 162.5 164.75 162.160004 163.839996 2289000 159.630592
2013-11-12 163.100006 164.380005 162.130005 162.889999 2239600 158.705003
2013-11-13 161.779999 163.710007 161.199997 162.940002 3398300 158.753721
2013-11-14 163.550003 163.949997 162.410004 163.199997 3648200 159.007036
2013-11-15 163.179993 165.419998 163.179993 164.399994 2667200 160.176202
2013-11-18 164.740005 167.649994 164.199997 165.679993 3555000 161.423315
2013-11-19 165.869995 168 165.630005 166.600006 2691900 162.319691
2013-11-20 166.759995 167.25 164.860001 165 2793100 160.760793
2013-11-21 165.25 167.320007 165.009995 167.070007 3158500 162.777617
2013-11-22 166.770004 168.240005 165.529999 168.100006 2680500 163.781153
2013-11-25 168.5 170.5 168.5 169.479996 3101700 165.125688
2013-11-26 169.360001 170.690002 168 168.039993 2953400 163.722682
2013-11-27 168.050003 168.809998 166.869995 168.220001 2285300 164.436268
2013-11-29 167.889999 170.380005 167.690002 168.940002 2018700 165.140074
2013-12-02 169.880005 171.580002 168.679993 169.720001 3121100 165.902529
2013-12-03 169.089996 170.759995 167.910004 168.050003 3288200 164.270094
2013-12-04 167.309998 169.929993 167.309998 168.699997 2328200 164.905467
2013-12-05 167.410004 167.960007 165.350006 165.559998 3564100 161.836095
2013-12-06 167.580002 167.960007 164.770004 167.210007 2708500 163.448991
2013-12-09 168 169.130005 166.839996 167.669998 2589500 163.898636
2013-12-10 167.869995 172.199997 167.520004 169.729996 4235400 165.912299
2013-12-11 169.509995 169.830002 167.130005 167.600006 2977100 163.830218
2013-12-12 166.589996 168.960007 166.520004 168.330002 2911900 164.543794
2013-12-13 168.589996 169.289993 167.600006 168.389999 2490600 164.602442
2013-12-16 169.309998 171.490005 169.089996 170.949997 2980000 167.104859
2013-12-17 171.270004 171.270004 169.710007 170.490005 2856700 166.655214
2013-12-18 171 174.919998 169.990005 174.839996 4509600 170.907361
2013-12-19 174.610001 175.800003 174 174.770004 3094400 170.838943
2013-12-20 174.660004 175.789993 173.75 175.160004 3754300 171.220171
2013-12-23 175.880005 176.690002 175.5 176.470001 1585300 172.500703
2013-12-24 176.669998 176.679993 175.440002 176.160004 781300 172.197678
2013-12-26 176.600006 176.759995 175.179993 176.449997 1320100 172.481148
2013-12-27 176.389999 176.449997 175.570007 176.350006 1716900 172.383407
2013-12-30 176.5 177.119995 175.259995 175.729996 1241000 171.777342
2013-12-31 176.220001 177.440002 176.220001 177.259995 1663900 173.272927
2014-01-02 176.949997 178.380005 176.360001 176.889999 1982100 172.911254
2014-01-03 176.350006 178.850006 176.220001 178.149994 2147400 174.142908
2014-01-06 179.149994 181.130005 178.880005 179.369995 2954000 175.335468
2014-01-07 180.729996 180.979996 177.520004 178.289993 2734700 174.279758
2014-01-08 178.5 178.899994 177.259995 178.440002 2208600 174.426393
2014-01-09 179.080002 179.080002 176.610001 177.399994 2149500 173.409777
2014-01-10 177.399994 178.710007 177 178.389999 2506500 174.377515
2014-01-13 178.300003 178.300003 175.690002 175.880005 2823800 171.923977
2014-01-14 176.259995 177.5 175.710007 176.600006 2208800 172.627783
2014-01-15 177 179.740005 177 178.75 3540200 174.729418
2014-01-16 178.75 178.789993 174.5 175.169998 4712200 171.22994
2014-01-17 175.009995 177.279999 174.5 176.279999 3451000 172.314974
