"Index" "NQ.Open" "NQ.High" "NQ.Low" "NQ.Close" "NQ.Volume" "NQ.Adjusted"
2015-05-08 3.5 3.51 3.36 3.44 649400 3.44
2015-05-11 3.45 3.57 3.41 3.51 745700 3.51
2015-05-12 3.53 3.77 3.51 3.67 933700 3.67
2015-05-13 3.62 3.74 3.51 3.71 762400 3.71
2015-05-14 3.7 3.76 3.58 3.66 620600 3.66
2015-05-15 3.69 3.82 3.63 3.78 1193000 3.78
2015-05-18 3.78 3.82 3.55 3.67 1329800 3.67
2015-05-19 3.67 3.75 3.57 3.71 1016400 3.71
2015-05-20 3.81 3.88 3.55 3.56 1403700 3.56
2015-05-21 3.5 3.75 3.47 3.61 1116900 3.61
2015-05-22 3.57 3.76 3.56 3.65 1108400 3.65
2015-05-26 3.69 3.85 3.59 3.85 1960000 3.85
