"Index" "ETR.Open" "ETR.High" "ETR.Low" "ETR.Close" "ETR.Volume" "ETR.Adjusted"
2014-07-28 75.529999 76.690002 75.400002 76.349998 1907100 71.332553
2014-07-29 76.459999 76.459999 74.440002 74.989998 2322400 70.061926
2014-07-30 75.010002 75.510002 73.559998 74.160004 2102900 69.286476
2014-07-31 73.910004 74.110001 72.809998 72.830002 1323900 68.043877
2014-08-01 72.879997 73.620003 72.760002 72.989998 1552500 68.193359
2014-08-04 72.919998 72.980003 71.120003 72.43 4022300 67.670162
2014-08-05 72.18 73.080002 71.82 72.120003 2417900 67.380537
2014-08-06 71.900002 71.919998 70.699997 70.82 2524000 66.165965
2014-08-07 71.050003 71.910004 71.050003 71.57 1448000 66.866678
2014-08-08 71.75 72.720001 71.75 72.68 1286500 67.903733
2014-08-11 72.650002 73.349998 72.440002 72.550003 1349000 67.782279
2014-08-12 71.550003 71.860001 71.260002 71.419998 1128500 67.498747
2014-08-13 71.459999 72.089996 71.139999 71.919998 1564300 67.971295
2014-08-14 71.849998 73.220001 71.849998 73.010002 1667000 69.001453
2014-08-15 73.010002 73.639999 72.349998 72.82 1255200 68.821883
2014-08-18 72.900002 73.199997 72.57 72.75 783900 68.755726
2014-08-19 72.889999 73.970001 72.800003 73.959999 1120200 69.899292
2014-08-20 74.110001 75.18 73.639999 75.110001 2191700 70.986153
2014-08-21 74.940002 75.800003 74.540001 74.82 1199900 70.712075
2014-08-22 74.910004 75.139999 74.080002 74.57 936600 70.475801
2014-08-25 74.68 75.639999 74.599998 75.580002 1191200 71.43035
2014-08-26 75.43 75.769997 74.32 74.470001 1286300 70.381293
