"Index" "USD.TND"
2015-06-24 1.9449
2015-06-25 1.942
2015-06-26 1.9439
2015-06-27 1.9464
2015-06-28 1.9496
2015-06-29 1.9501
2015-06-30 1.9464
2015-07-01 1.9577
2015-07-02 1.9598
2015-07-03 1.9574
2015-07-04 1.9565
2015-07-05 1.9584
2015-07-06 1.9649
2015-07-07 1.974
2015-07-08 1.9722
2015-07-09 1.9699
2015-07-10 1.9588
2015-07-11 1.941
2015-07-12 1.941
2015-07-13 1.9617
2015-07-14 1.9648
2015-07-15 1.966
2015-07-16 1.9745
2015-07-17 1.9787
2015-07-18 1.976
2015-07-19 1.976
2015-07-20 1.9829
2015-07-21 1.9811
2015-07-22 1.9745
2015-07-23 1.9697
2015-07-24 1.9691
2015-07-25 1.969
2015-07-26 1.9691
2015-07-27 1.9573
2015-07-28 1.959
2015-07-29 1.9606
2015-07-30 1.973
2015-07-31 1.9702
2015-08-01 1.9675
2015-08-02 1.9675
2015-08-03 1.9716
2015-08-04 1.9733
2015-08-05 1.982
2015-08-06 1.9765
2015-08-07 1.9726
2015-08-08 1.9643
2015-08-09 1.9643
2015-08-10 1.9643
2015-08-11 1.9617
2015-08-12 1.9533
2015-08-13 1.9528
2015-08-14 1.9525
2015-08-15 1.9593
2015-08-16 1.9593
2015-08-17 1.9595
2015-08-18 1.9636
2015-08-19 1.9638
2015-08-20 1.9515
2015-08-21 1.9381
2015-08-22 1.9263
2015-08-23 1.9263
2015-08-24 1.9112
2015-08-25 1.9198
2015-08-26 1.935
2015-08-27 1.9554
2015-08-28 1.9584
2015-08-29 1.9592
2015-08-30 1.9592
2015-08-31 1.9548
2015-09-01 1.9473
2015-09-02 1.9477
2015-09-03 1.9582
2015-09-04 1.9673
2015-09-05 1.9682
2015-09-06 1.9682
2015-09-07 1.9671
2015-09-08 1.9647
2015-09-09 1.9652
2015-09-10 1.9597
2015-09-11 1.952
2015-09-12 1.9483
2015-09-13 1.9483
2015-09-14 1.9504
2015-09-15 1.9526
2015-09-16 1.9561
2015-09-17 1.9503
2015-09-18 1.9411
2015-09-19 1.9527
2015-09-20 1.9515
2015-09-21 1.9588
2015-09-22 1.9683
2015-09-23 1.9717
2015-09-24 1.9632
2015-09-25 1.9688
2015-09-26 1.9651
2015-09-27 1.9651
2015-09-28 1.9657
2015-09-29 1.9598
2015-09-30 1.9627
2015-10-01 1.9692
2015-10-02 1.9648
2015-10-03 1.963
2015-10-04 1.963
2015-10-05 1.9632
2015-10-06 1.9642
2015-10-07 1.9615
2015-10-08 1.961
2015-10-09 1.9548
2015-10-10 1.948
2015-10-11 1.948
2015-10-12 1.9496
2015-10-13 1.9512
2015-10-14 1.9483
2015-10-15 1.9444
2015-10-16 1.9513
2015-10-17 1.9547
2015-10-18 1.9525
2015-10-19 1.9573
2015-10-20 1.956
2015-10-21 1.9552
2015-10-22 1.9655
2015-10-23 1.9869
2015-10-24 1.9908
2015-10-25 1.9908
2015-10-26 1.9936
2015-10-27 1.9903
2015-10-28 1.9928
2015-10-29 2.0049
2015-10-30 2.0049
2015-10-31 1.9949
2015-11-01 1.99
