"Index" "CB.Open" "CB.High" "CB.Low" "CB.Close" "CB.Volume" "CB.Adjusted"
2015-02-05 99.75 100.93 99.620003 100.82 967900 99.188103
2015-02-06 100.849998 101.419998 100.599998 100.82 1105100 99.188103
2015-02-09 100.089996 100.709999 99.809998 100.370003 857600 98.74539
2015-02-10 100.959999 101.360001 100.660004 100.730003 1140500 99.099564
2015-02-11 100.809998 101.660004 100.779999 101.370003 793100 99.729204
2015-02-12 101.389999 101.730003 100.779999 101.629997 1006300 99.98499
2015-02-13 101.440002 102.089996 101.199997 102.059998 697800 100.40803
2015-02-17 102.269997 102.610001 100.959999 101.160004 1402400 99.522604
2015-02-18 101 101.639999 100.699997 101.449997 957800 99.807903
2015-02-19 101.459999 101.669998 100.910004 100.959999 771400 99.325837
2015-02-20 100.650002 101.059998 99.349998 100.160004 1919800 98.53879
2015-02-23 100.220001 100.239998 99.010002 99.349998 1727500 97.741896
2015-02-24 99.349998 100.5 99.129997 100.370003 1270100 98.74539
2015-02-25 100.129997 100.669998 100.050003 100.120003 992800 98.499437
2015-02-26 100.010002 100.959999 99.989998 100.660004 1018700 99.030697
2015-02-27 100.43 101.360001 100.400002 100.449997 1109100 98.824089
2015-03-02 100.330002 101.510002 100.220001 101.459999 1047100 99.817743
2015-03-03 100.93 101.230003 100.300003 101.019997 977200 99.384863
2015-03-04 100.480003 100.769997 99.949997 100.110001 1029700 98.489596
2015-03-05 100.120003 101.07 100 100.949997 866000 99.315996
2015-03-06 100.5 101.349998 99.709999 99.879997 1769200 98.263316
2015-03-09 99.910004 100.809998 99.910004 100.440002 771500 98.814257
2015-03-10 99.629997 99.809998 98.699997 98.699997 1309600 97.102415
2015-03-11 98.489998 99.440002 98.220001 99.25 821000 98.21069
2015-03-12 99.830002 100.919998 99.75 100.900002 817900 99.843413
2015-03-13 100.540001 100.800003 99.800003 100.309998 1138500 99.259587
2015-03-16 100.870003 102.139999 100.589996 101.75 1152200 100.68451
2015-03-17 101.160004 101.940002 100.800003 101.699997 791200 100.635031
2015-03-18 101.459999 102.580002 100.18 102.150002 1539700 101.080323
2015-03-19 102.139999 102.449997 101.599998 102.199997 980900 101.129795
2015-03-20 102.209999 103.400002 102.089996 103.129997 2169000 102.050057
2015-03-23 103.190002 103.970001 102.75 102.75 1507700 101.674039
2015-03-24 102.419998 102.82 101.769997 101.779999 673700 100.714195
2015-03-25 101.639999 101.910004 100.599998 100.599998 732000 99.546551
2015-03-26 100.32 100.519997 99.769997 99.910004 1311900 98.863782
2015-03-27 100 100.870003 99.919998 100.349998 1246000 99.299169
2015-03-30 100.639999 102.110001 100.470001 101.839996 734800 100.773564
2015-03-31 101.169998 101.32 100.470001 101.099998 1497100 100.041315
2015-04-01 101.330002 101.830002 100.419998 101.110001 1185300 100.051213
2015-04-02 101.300003 101.580002 100.809998 101.330002 913100 100.26891
2015-04-06 100.599998 102.07 100.550003 101.639999 807100 100.575662
2015-04-07 101.599998 102.059998 101.010002 101.019997 488200 99.962151
2015-04-08 100.5 101.139999 99.870003 100.599998 1590800 99.546551
2015-04-09 100.5 100.989998 100.010002 100.480003 993100 99.427813
2015-04-10 100.580002 100.830002 100.260002 100.510002 984700 99.457497
2015-04-13 100.360001 101.190002 100.360001 100.849998 982700 99.793933
2015-04-14 100.75 101.839996 100.540001 101.529999 1015500 100.466813
2015-04-15 101.760002 102.040001 101.25 101.349998 826400 100.288698
2015-04-16 101.160004 102.129997 100.989998 101.959999 1155000 100.89231
2015-04-17 101.379997 101.379997 99.75 100.330002 1883900 99.279382
2015-04-20 100.910004 101.68 100.730003 101 1075900 99.942364
2015-04-21 100.989998 101.25 99.610001 99.739998 1777400 98.695556
2015-04-22 99.760002 99.919998 98.959999 99.300003 1544000 98.260169
2015-04-23 99.209999 100.300003 99.18 99.790001 1477300 98.745036
2015-04-24 99.629997 100.769997 99.449997 100.410004 1105300 99.358546
2015-04-27 100.529999 100.989998 99.040001 99.199997 1337800 98.16121
2015-04-28 99.050003 100.199997 98.93 99.970001 1291300 98.923151
2015-04-29 99.629997 99.93 98.900002 99.010002 710300 97.973205
2015-04-30 98.910004 99.279999 98 98.349998 1531500 97.320112
2015-05-01 98.519997 99.269997 98.150002 99.040001 1168200 98.002889
2015-05-04 99.25 99.510002 98.959999 99.330002 764600 98.289854
2015-05-05 99.379997 99.790001 99.129997 99.5 893500 98.458072
2015-05-06 99.489998 99.720001 98.82 99.269997 1259900 98.230477
2015-05-07 99.300003 100.160004 99.019997 99.839996 809400 98.794508
2015-05-08 100.470001 100.75 100.18 100.43 686200 99.378333
2015-05-11 100.120003 100.300003 99.309998 99.559998 979000 98.517441
2015-05-12 99.220001 99.220001 98.18 98.480003 1028200 97.448756
2015-05-13 98.470001 98.940002 98.089996 98.290001 857400 97.260743
2015-05-14 98.949997 99.160004 98.419998 99.129997 536800 98.091943
2015-05-15 99.25 99.620003 98.650002 99.029999 717700 97.992992
2015-05-18 99.059998 99.599998 98.980003 99.43 522600 98.388805
2015-05-19 99.669998 99.889999 99.309998 99.760002 579000 98.715351
2015-05-20 99.75 99.870003 99.43 99.620003 570500 98.576818
2015-05-21 99.349998 99.720001 99.029999 99.129997 711300 98.091943
2015-05-22 99.099998 99.410004 98.309998 98.309998 792900 97.28053
2015-05-26 98.059998 98.150002 97.029999 97.32 1344400 96.300899
2015-05-27 97.75 98.330002 97.199997 98.120003 849600 97.092525
2015-05-28 97.870003 98.339996 97.510002 98.290001 725100 97.260743
2015-05-29 98.389999 98.410004 97.419998 97.5 2378300 96.479015
2015-06-01 97.739998 98.019997 96.959999 96.989998 1189800 95.974353
2015-06-02 96.879997 97.309998 96.5 97.150002 1600300 96.132681
2015-06-03 97.410004 97.690002 96.900002 97.269997 1203000 96.25142
2015-06-04 96.559998 97.120003 96.07 96.25 1287800 95.242104
2015-06-05 97.029999 97.18 95.349998 95.410004 1553300 94.410904
2015-06-08 95.440002 95.540001 94.480003 94.559998 1104200 93.569799
2015-06-09 94.410004 95.230003 94.349998 94.849998 1079700 93.856763
2015-06-10 94.839996 96.629997 94.839996 96.260002 1167500 95.252002
2015-06-11 96.209999 97.730003 96.209999 97.610001 1293900 96.587864
2015-06-12 97.300003 97.360001 96.690002 97.150002 1111700 96.132681
2015-06-15 96.379997 97.139999 95.970001 96.800003 1116900 95.786348
2015-06-16 96.970001 97.849998 96.470001 97.620003 1050900 96.597761
2015-06-17 97.910004 98.709999 97.540001 98.300003 1281000 97.270641
2015-06-18 98.019997 99.739998 98.019997 99.379997 918600 98.339325
2015-06-19 99.25 99.400002 98.190002 98.190002 1069100 97.161792
2015-06-22 98.870003 98.959999 98.169998 98.349998 771300 97.320112
2015-06-23 98.769997 98.919998 97.739998 98.239998 901400 97.211264
2015-06-24 97.690002 97.690002 96.699997 96.709999 819900 96.255773
2015-06-25 96.660004 96.68 95.660004 95.709999 900800 95.26047
2015-06-26 96.099998 96.839996 95.910004 96.449997 770200 95.996992
