"Index" "XPD.USD"
2014-10-23 760.562
2014-10-24 760.562
2014-10-25 760.562
2014-10-26 779.585
2014-10-27 779.585
2014-10-28 779.585
2014-10-29 779.585
2014-10-30 779.585
2014-10-31 779.585
2014-11-01 779.585
2014-11-02 797.665
2014-11-03 797.665
2014-11-04 797.665
2014-11-05 797.665
2014-11-06 797.665
2014-11-07 797.665
2014-11-08 797.665
2014-11-09 769.637
2014-11-10 766.5
2014-11-11 772.697
2014-11-12 772.697
2014-11-13 772.697
2014-11-14 772.697
2014-11-15 772.697
2014-11-16 764.769
2014-11-17 764.769
2014-11-18 764.769
2014-11-19 764.769
2014-11-20 764.769
2014-11-21 764.769
2014-11-22 764.769
2014-11-23 792
2014-11-24 792
2014-11-25 792
2014-11-26 792
2014-11-27 792
2014-11-28 792
2014-11-29 792
2014-11-30 804.069
2014-12-01 804.069
2014-12-02 805
2014-12-03 797
2014-12-04 798
2014-12-05 801.56
2014-12-06 801.56
2014-12-07 803.11
2014-12-08 799.75
2014-12-09 799.75
2014-12-10 799.75
2014-12-11 799.75
2014-12-12 814.925
2014-12-13 814.925
2014-12-14 817
2014-12-15 817
2014-12-16 817
2014-12-17 817
2014-12-18 817
2014-12-19 817
2014-12-20 817
2014-12-21 806.737
2014-12-22 812
2014-12-23 814.141
2014-12-24 810
2014-12-25 812.355
2014-12-26 818.805
2014-12-27 818.805
2014-12-28 817.646
2014-12-29 810.059
2014-12-30 805.967
2014-12-31 796.14
2015-01-01 795.5
2015-01-02 795.5
2015-01-03 795.5
2015-01-04 793.908
2015-01-05 793.908
2015-01-06 793.908
2015-01-07 793.908
2015-01-08 793.908
2015-01-09 793.908
2015-01-10 793.908
2015-01-11 802.245
2015-01-12 802.245
2015-01-13 802.245
2015-01-14 802.245
2015-01-15 802.245
2015-01-16 802.245
2015-01-17 802.245
2015-01-18 756.208
2015-01-19 756.208
2015-01-20 756.208
2015-01-21 756.208
2015-01-22 756.208
2015-01-23 756.208
2015-01-24 756.208
2015-01-25 776.104
2015-01-26 776.104
2015-01-27 776.104
2015-01-28 776.104
2015-01-29 776.104
2015-01-30 772.24
2015-01-31 772.24
2015-02-01 770.5
2015-02-02 787.947
2015-02-03 786.692
2015-02-04 795.432
2015-02-05 791.582
2015-02-06 784.225
2015-02-07 784.225
