"Index" "N3L.Open" "N3L.High" "N3L.Low" "N3L.Close" "N3L.Volume" "N3L.Adjusted"
2014-07-24 0.272 0.272 0.272 0.272 0 0.272
2014-07-25 0.271 0.271 0.271 0.271 0 0.271
2014-07-28 0.271 0.271 0.271 0.271 0 0.271
2014-07-29 0.271 0.271 0.271 0.271 0 0.271
2014-07-30 0.277 0.277 0.277 0.277 0 0.277
2014-07-31 0.265 0.265 0.265 0.265 0 0.265
2014-08-01 0.264 0.264 0.264 0.264 0 0.264
2014-08-04 0.259 0.259 0.259 0.259 0 0.259
2014-08-05 0.27 0.27 0.27 0.27 0 0.27
2014-08-06 0.277 0.277 0.277 0.277 0 0.277
2014-08-07 0.276 0.276 0.276 0.276 0 0.276
2014-08-08 0.276 0.276 0.276 0.276 0 0.276
2014-08-11 0.275 0.275 0.275 0.275 0 0.275
2014-08-12 0.275 0.275 0.275 0.275 0 0.275
2014-08-13 0.264 0.264 0.264 0.264 0 0.264
2014-08-14 0.262 0.262 0.262 0.262 0 0.262
2014-08-15 0.262 0.262 0.262 0.262 0 0.262
2014-08-18 0.274 0.274 0.274 0.274 0 0.274
2014-08-19 0.281 0.281 0.281 0.281 0 0.281
2014-08-20 0.289 0.289 0.289 0.289 0 0.289
2014-08-21 0.299 0.299 0.299 0.299 0 0.299
2014-08-22 0.292 0.292 0.292 0.292 0 0.292
2014-08-25 0.287 0.287 0.287 0.287 0 0.287
2014-08-26 0.288 0.288 0.288 0.288 0 0.288
2014-08-27 0.288 0.288 0.288 0.288 0 0.288
2014-08-28 0.291 0.291 0.291 0.291 0 0.291
2014-08-29 0.27 0.27 0.27 0.27 0 0.27
2014-09-01 0.253 0.253 0.253 0.253 0 0.253
2014-09-02 0.265 0.265 0.265 0.265 0 0.265
2014-09-03 0.256 0.256 0.256 0.256 0 0.256
2014-09-04 0.256 0.256 0.256 0.256 0 0.256
2014-09-05 0.252 0.252 0.252 0.252 0 0.252
2014-09-08 0.25 0.25 0.25 0.25 0 0.25
2014-09-09 0.246 0.246 0.246 0.246 0 0.246
2014-09-10 0.231 0.231 0.231 0.231 0 0.231
2014-09-11 0.229 0.229 0.229 0.229 0 0.229
2014-09-12 0.226 0.226 0.226 0.226 0 0.226
2014-09-15 0.226 0.226 0.226 0.226 0 0.226
2014-09-16 0.232 0.232 0.232 0.232 0 0.232
2014-09-17 0.233 0.233 0.233 0.233 0 0.233
2014-09-18 0.201 0.201 0.201 0.201 0 0.201
2014-09-19 0.215 0.215 0.215 0.215 0 0.215
2014-09-22 0.205 0.205 0.205 0.205 0 0.205
2014-09-23 0.202 0.202 0.202 0.202 0 0.202
2014-09-24 0.202 0.202 0.202 0.202 0 0.202
2014-09-25 0.202 0.202 0.202 0.202 0 0.202
2014-09-26 0.206 0.206 0.203 0.203 0 0.203
2014-09-29 0.206 0.206 0.202 0.202 0 0.202
2014-09-30 0.203 0.223 0.203 0.223 0 0.223
2014-10-01 0.225 0.226 0.225 0.226 0 0.226
2014-10-02 0.225 0.225 0.225 0.225 0 0.225
2014-10-03 0.225 0.225 0.225 0.225 0 0.225
2014-10-06 0.227 0.227 0.223 0.223 0 0.223
2014-10-07 0.226 0.226 0.22 0.22 0 0.22
2014-10-08 0.223 0.223 0.223 0.223 0 0.223
2014-10-09 0.223 0.223 0.223 0.223 0 0.223
2014-10-10 0.223 0.223 0.222 0.222 0 0.222
2014-10-13 0.223 0.226 0.223 0.226 0 0.226
2014-10-14 0.222 0.222 0.221 0.221 0 0.221
2014-10-15 0.221 0.221 0.221 0.221 0 0.221
2014-10-16 0.219 0.22 0.219 0.22 0 0.22
2014-10-17 0.22 0.22 0.22 0.22 0 0.22
2014-10-20 0.222 0.222 0.222 0.222 0 0.222
2014-10-21 0.221 0.222 0.221 0.222 0 0.222
2014-10-22 0.222 0.222 0.222 0.222 0 0.222
2014-10-23 0.223 0.223 0.223 0.223 0 0.223
2014-10-24 0.222 0.222 0.222 0.222 0 0.222
2014-10-27 0.226 0.226 0.226 0.226 0 0.226
2014-10-28 0.226 0.226 0.226 0.226 0 0.226
2014-10-29 0.222 0.222 0.222 0.222 0 0.222
2014-10-30 0.222 0.222 0.219 0.219 0 0.219
2014-10-31 0.223 0.223 0.22 0.22 0 0.22
2014-11-03 0.224 0.224 0.224 0.224 0 0.224
2014-11-04 0.225 0.225 0.225 0.225 0 0.225
2014-11-05 0.23 0.23 0.23 0.23 0 0.23
2014-11-06 0.224 0.224 0.224 0.224 0 0.224
2014-11-07 0.224 0.224 0.224 0.224 0 0.224
2014-11-10 0.233 0.233 0.233 0.233 0 0.233
2014-11-11 0.233 0.234 0.233 0.234 0 0.234
2014-11-12 0.233 0.233 0.229 0.229 0 0.229
2014-11-13 0.229 0.229 0.228 0.228 0 0.228
2014-11-14 0.227 0.227 0.227 0.227 0 0.227
2014-11-17 0.226 0.226 0.226 0.226 0 0.226
2014-11-18 0.226 0.226 0.226 0.226 0 0.226
2014-11-19 0.225 0.225 0.225 0.225 0 0.225
2014-11-20 0.225 0.225 0.225 0.225 0 0.225
2014-11-21 0.226 0.226 0.226 0.226 0 0.226
2014-11-24 0.228 0.228 0.228 0.228 0 0.228
2014-11-25 0.237 0.237 0.227 0.227 0 0.227
2014-11-26 0.23 0.23 0.23 0.23 0 0.23
2014-11-27 0.013 0.013 0.01 0.01 0 0.01
2014-11-28 0.011 0.011 0.011 0.011 0 0.011
2014-12-01 0.01 0.016 0.01 0.016 163100 0.016
2014-12-02 0.009 0.016 0.009 0.016 1000 0.016
2014-12-03 0.009 0.016 0.009 0.015 50900 0.015
2014-12-04 0.009 0.009 0.009 0.009 0 0.009
2014-12-05 0.009 0.009 0.009 0.009 0 0.009
2014-12-08 0.009 0.009 0.009 0.009 0 0.009
2014-12-09 0.009 0.009 0.009 0.009 0 0.009
2014-12-10 0.009 0.009 0.009 0.009 0 0.009
2014-12-11 0.009 0.009 0.009 0.009 0 0.009
2014-12-12 0.008 0.008 0.008 0.008 0 0.008
2014-12-15 0.009 0.009 0.009 0.009 0 0.009
2014-12-16 0.009 0.009 0.009 0.009 0 0.009
2014-12-17 0.009 0.009 0.009 0.009 0 0.009
2014-12-18 0.009 0.009 0.009 0.009 0 0.009
2014-12-19 0.009 0.009 0.009 0.009 0 0.009
2014-12-22 0.009 0.009 0.009 0.009 0 0.009
2014-12-23 0.01 0.01 0.01 0.01 0 0.01
2014-12-24 0.01 0.01 0.01 0.01 0 0.01
2014-12-25 0.01 0.01 0.01 0.01 0 0.01
2014-12-26 0.01 0.01 0.01 0.01 0 0.01
2014-12-29 0.007 0.007 0.007 0.007 0 0.007
2014-12-30 0.007 0.007 0.007 0.007 0 0.007
2014-12-31 0.007 0.007 0.007 0.007 0 0.007
2015-01-01 0.007 0.007 0.007 0.007 0 0.007
2015-01-02 0.007 0.007 0.007 0.007 0 0.007
2015-01-05 0.007 0.007 0.007 0.007 0 0.007
2015-01-06 0.007 0.007 0.007 0.007 0 0.007
2015-01-07 0.007 0.007 0.007 0.007 0 0.007
2015-01-08 0.007 0.007 0.007 0.007 0 0.007
2015-01-09 0.008 0.008 0.008 0.008 0 0.008
2015-01-12 0.008 0.008 0.008 0.008 0 0.008
2015-01-13 0.009 0.009 0.009 0.009 0 0.009
2015-01-14 0.009 0.009 0.009 0.009 0 0.009
2015-01-15 0.009 0.011 0.009 0.009 1e+05 0.009
2015-01-16 0.009 0.009 0.009 0.009 0 0.009
2015-01-19 0.006 0.006 0.006 0.006 0 0.006
2015-01-20 0.006 0.006 0.006 0.006 0 0.006
2015-01-21 0.006 0.006 0.006 0.006 0 0.006
2015-01-22 0.006 0.006 0.006 0.006 0 0.006
2015-01-23 0.006 0.006 0.006 0.006 0 0.006
2015-01-26 0.007 0.007 0.007 0.007 0 0.007
2015-01-27 0.007 0.028 0.007 0.012 118000 0.012
2015-01-28 0.012 0.012 0.012 0.012 0 0.012
2015-01-29 0.012 0.012 0.012 0.012 4500 0.012
2015-01-30 0.012 0.012 0.012 0.012 0 0.012
2015-02-02 0.012 0.012 0.012 0.012 0 0.012
2015-02-03 0.012 0.012 0.012 0.012 0 0.012
2015-02-04 0.012 0.012 0.012 0.012 0 0.012
2015-02-05 0.012 0.012 0.012 0.012 0 0.012
2015-02-06 0.02 0.028 0.02 0.028 7200 0.028
2015-02-09 0.012 0.028 0.012 0.028 5000 0.028
2015-02-10 0.012 0.012 0.012 0.012 0 0.012
2015-02-11 0.012 0.012 0.012 0.012 0 0.012
2015-02-12 0.012 0.028 0.012 0.028 0 0.028
2015-02-13 0.012 0.028 0.012 0.028 3500 0.028
