"Index" "AR.Open" "AR.High" "AR.Low" "AR.Close" "AR.Volume" "AR.Adjusted"
2014-06-06 63.939999 63.939999 62.52 63.43 915800 63.43
2014-06-09 63.419998 63.810001 61.689999 62.259998 833200 62.259998
2014-06-10 62.02 62.110001 60.669998 60.950001 938900 60.950001
2014-06-11 60.369999 61.52 60 61.299999 1146500 61.299999
2014-06-12 61.48 62.419998 61.09 62 905100 62
2014-06-13 62 62.52 61 61.98 622500 61.98
2014-06-16 62.299999 62.419998 61.48 62.389999 535400 62.389999
2014-06-17 62.080002 63.68 61.84 63.5 697700 63.5
2014-06-18 63.209999 63.939999 62.849998 63.790001 658500 63.790001
2014-06-19 63.700001 64.790001 63.200001 64.760002 872600 64.760002
2014-06-20 65.190002 65.489998 64.089996 64.510002 1173500 64.510002
2014-06-23 64.449997 65.089996 64.25 64.580002 839500 64.580002
2014-06-24 64.230003 64.800003 63.169998 63.34 913400 63.34
2014-06-25 63.150002 64.239998 62.75 63.650002 662600 63.650002
2014-06-26 64.43 65 63.919998 64.57 641700 64.57
2014-06-27 64.580002 65.449997 64 64.809998 1664100 64.809998
2014-06-30 65.150002 66.059998 64.300003 65.629997 637000 65.629997
2014-07-01 65.57 65.839996 64.160004 64.889999 770800 64.889999
2014-07-02 65.029999 66.099998 64.589996 65.089996 734300 65.089996
2014-07-03 65.519997 65.730003 64.300003 65.709999 391800 65.709999
2014-07-07 65.43 65.43 64 64.360001 739800 64.360001
2014-07-08 64.239998 64.239998 62.639999 63.959999 913900 63.959999
2014-07-09 64.120003 64.279999 63.59 63.759998 548600 63.759998
2014-07-10 63.18 63.439999 62.16 62.209999 1087400 62.209999
2014-07-11 62.279999 62.779999 61.470001 61.860001 941600 61.860001
2014-07-14 61.950001 62.27 61.310001 61.43 569000 61.43
2014-07-15 61.209999 61.5 59.82 60.330002 713300 60.330002
2014-07-16 60.400002 60.889999 59.43 60.400002 978800 60.400002
2014-07-17 60.57 61 59.119999 59.41 1435300 59.41
2014-07-18 59.380001 61.18 59.380001 60.639999 1065700 60.639999
2014-07-21 60.360001 60.919998 60 60.200001 834700 60.200001
2014-07-22 60.490002 60.549999 59.509998 59.540001 1837400 59.540001
2014-07-23 59.830002 59.889999 59.150002 59.709999 1073000 59.709999
2014-07-24 59.77 60.470001 59.220001 59.369999 782000 59.369999
2014-07-25 59.48 59.66 58.259998 58.57 735700 58.57
2014-07-28 58.529999 58.580002 56.91 57.900002 979400 57.900002
