"Index" "GOC.Open" "GOC.High" "GOC.Low" "GOC.Close" "GOC.Volume" "GOC.Adjusted"
2013-08-02 0.102 0.102 0.102 0.102 0 0.102
2013-08-05 0.098 0.098 0.098 0.098 0 0.098
2013-08-06 0.098 0.098 0.098 0.098 0 0.098
2013-08-07 0.102 0.102 0.102 0.102 0 0.102
2013-08-08 0.1 0.1 0.1 0.1 0 0.1
2013-08-09 0.102 0.102 0.102 0.102 0 0.102
2013-08-12 0.102 0.102 0.102 0.102 0 0.102
2013-08-13 0.099 0.099 0.099 0.099 0 0.099
2013-08-14 0.095 0.095 0.095 0.095 0 0.095
2013-08-15 0.108 0.108 0.108 0.108 0 0.108
2013-08-16 0.102 0.102 0.102 0.102 0 0.102
2013-08-19 0.108 0.108 0.108 0.108 0 0.108
2013-08-20 0.107 0.107 0.107 0.107 0 0.107
2013-08-21 0.109 0.109 0.109 0.109 0 0.109
2013-08-22 0.1 0.1 0.1 0.1 0 0.1
2013-08-23 0.109 0.109 0.109 0.109 0 0.109
2013-08-26 0.106 0.106 0.106 0.106 0 0.106
2013-08-27 0.109 0.109 0.109 0.109 0 0.109
2013-08-28 0.131 0.131 0.131 0.131 0 0.131
2013-08-29 0.118 0.118 0.118 0.118 0 0.118
2013-08-30 0.128 0.128 0.128 0.128 0 0.128
2013-09-02 0.114 0.114 0.114 0.114 0 0.114
2013-09-03 0.114 0.114 0.114 0.114 0 0.114
2013-09-04 0.122 0.122 0.122 0.122 0 0.122
2013-09-05 0.115 0.115 0.115 0.115 0 0.115
2013-09-06 0.119 0.119 0.119 0.119 0 0.119
2013-09-09 0.116 0.116 0.116 0.116 0 0.116
2013-09-10 0.116 0.116 0.116 0.116 0 0.116
2013-09-11 0.116 0.116 0.116 0.116 0 0.116
2013-09-12 0.116 0.116 0.116 0.116 0 0.116
2013-09-13 0.116 0.116 0.116 0.116 0 0.116
2013-09-16 0.117 0.117 0.117 0.117 0 0.117
2013-09-17 0.116 0.116 0.116 0.116 0 0.116
2013-09-18 0.12 0.12 0.12 0.12 0 0.12
2013-09-19 0.115 0.115 0.115 0.115 0 0.115
2013-09-20 0.115 0.115 0.115 0.115 0 0.115
2013-09-23 0.115 0.115 0.115 0.115 0 0.115
2013-09-24 0.112 0.112 0.112 0.112 0 0.112
2013-09-25 0.111 0.111 0.111 0.111 0 0.111
2013-09-26 0.1 0.1 0.1 0.1 0 0.1
2013-09-27 0.11 0.11 0.11 0.11 0 0.11
2013-09-30 0.122 0.122 0.122 0.122 0 0.122
2013-10-01 0.115 0.115 0.115 0.115 0 0.115
2013-10-02 0.121 0.121 0.121 0.121 0 0.121
2013-10-03 0.117 0.117 0.117 0.117 0 0.117
2013-10-04 0.109 0.109 0.109 0.109 0 0.109
2013-10-07 0.11 0.11 0.11 0.11 0 0.11
2013-10-08 0.106 0.106 0.106 0.106 0 0.106
2013-10-09 0.102 0.102 0.102 0.102 0 0.102
2013-10-10 0.102 0.102 0.102 0.102 0 0.102
2013-10-11 0.103 0.103 0.103 0.103 0 0.103
2013-10-14 0.099 0.099 0.099 0.099 0 0.099
2013-10-15 0.099 0.099 0.099 0.099 0 0.099
2013-10-16 0.099 0.099 0.099 0.099 0 0.099
2013-10-17 0.106 0.106 0.106 0.106 0 0.106
2013-10-18 0.1 0.1 0.1 0.1 0 0.1
2013-10-21 0.1 0.1 0.1 0.1 0 0.1
2013-10-22 0.102 0.102 0.102 0.102 0 0.102
2013-10-23 0.101 0.101 0.101 0.101 0 0.101
2013-10-24 0.101 0.101 0.101 0.101 0 0.101
2013-10-25 0.1 0.1 0.1 0.1 0 0.1
2013-10-28 0.106 0.106 0.106 0.106 0 0.106
2013-10-29 0.097 0.097 0.097 0.097 0 0.097
2013-10-30 0.1 0.1 0.1 0.1 0 0.1
2013-10-31 0.097 0.097 0.097 0.097 0 0.097
2013-11-01 0.102 0.102 0.102 0.102 0 0.102
2013-11-04 0.099 0.099 0.099 0.099 0 0.099
2013-11-05 0.109 0.109 0.109 0.109 0 0.109
2013-11-06 0.108 0.108 0.108 0.108 0 0.108
2013-11-07 0.099 0.099 0.099 0.099 0 0.099
2013-11-08 0.099 0.099 0.099 0.099 0 0.099
2013-11-11 0.097 0.097 0.097 0.097 0 0.097
2013-11-12 0.102 0.102 0.102 0.102 0 0.102
2013-11-13 0.099 0.099 0.099 0.099 0 0.099
2013-11-14 0.102 0.102 0.102 0.102 0 0.102
2013-11-15 0.102 0.102 0.102 0.102 0 0.102
2013-11-18 0.1 0.1 0.1 0.1 0 0.1
2013-11-19 0.095 0.095 0.095 0.095 0 0.095
2013-11-20 0.094 0.094 0.094 0.094 0 0.094
2013-11-21 0.096 0.096 0.096 0.096 0 0.096
2013-11-22 0.094 0.094 0.094 0.094 0 0.094
2013-11-25 0.086 0.086 0.086 0.086 0 0.086
2013-11-26 0.087 0.087 0.087 0.087 0 0.087
2013-11-27 0.086 0.086 0.086 0.086 0 0.086
2013-11-28 0.076 0.076 0.076 0.076 0 0.076
2013-11-29 0.072 0.072 0.072 0.072 0 0.072
2013-12-02 0.085 0.085 0.085 0.085 0 0.085
2013-12-03 0.075 0.075 0.075 0.075 0 0.075
2013-12-04 0.075 0.075 0.075 0.075 0 0.075
2013-12-05 0.067 0.067 0.067 0.067 0 0.067
2013-12-06 0.072 0.072 0.072 0.072 0 0.072
2013-12-09 0.067 0.067 0.067 0.067 0 0.067
2013-12-10 0.078 0.078 0.078 0.078 0 0.078
2013-12-11 0.075 0.075 0.075 0.075 0 0.075
2013-12-12 0.074 0.074 0.074 0.074 0 0.074
2013-12-13 0.067 0.067 0.067 0.067 0 0.067
2013-12-16 0.067 0.067 0.067 0.067 0 0.067
2013-12-17 0.071 0.071 0.071 0.071 0 0.071
2013-12-18 0.071 0.071 0.071 0.071 0 0.071
2013-12-19 0.067 0.067 0.067 0.067 0 0.067
2013-12-20 0.071 0.071 0.071 0.071 0 0.071
2013-12-23 0.074 0.074 0.074 0.074 0 0.074
2013-12-24 0.074 0.074 0.074 0.074 0 0.074
2013-12-25 0.074 0.074 0.074 0.074 0 0.074
2013-12-26 0.074 0.074 0.074 0.074 0 0.074
2013-12-27 0.07 0.07 0.07 0.07 0 0.07
2013-12-30 0.07 0.07 0.07 0.07 0 0.07
2013-12-31 0.07 0.07 0.07 0.07 0 0.07
2014-01-01 0.07 0.07 0.07 0.07 0 0.07
2014-01-02 0.078 0.078 0.078 0.078 0 0.078
2014-01-03 0.087 0.087 0.087 0.087 0 0.087
2014-01-06 0.089 0.124 0.089 0.124 5000 0.124
2014-01-07 0.096 0.096 0.096 0.096 0 0.096
2014-01-08 0.094 0.094 0.094 0.094 0 0.094
2014-01-09 0.101 0.101 0.101 0.101 0 0.101
2014-01-10 0.107 0.107 0.107 0.107 0 0.107
2014-01-13 0.12 0.12 0.12 0.12 0 0.12
2014-01-14 0.12 0.12 0.12 0.12 0 0.12
2014-01-15 0.108 0.108 0.108 0.108 0 0.108
2014-01-16 0.112 0.112 0.112 0.112 0 0.112
2014-01-17 0.106 0.106 0.106 0.106 0 0.106
2014-01-20 0.109 0.109 0.109 0.109 0 0.109
2014-01-21 0.097 0.097 0.097 0.097 0 0.097
2014-01-22 0.112 0.112 0.112 0.112 0 0.112
2014-01-23 0.113 0.113 0.113 0.113 0 0.113
2014-01-24 0.106 0.106 0.106 0.106 0 0.106
2014-01-27 0.11 0.11 0.11 0.11 0 0.11
2014-01-28 0.115 0.115 0.115 0.115 0 0.115
2014-01-29 0.123 0.123 0.123 0.123 0 0.123
2014-01-30 0.122 0.122 0.122 0.122 0 0.122
2014-01-31 0.12 0.12 0.12 0.12 0 0.12
2014-02-03 0.115 0.115 0.115 0.115 0 0.115
2014-02-04 0.107 0.107 0.107 0.107 0 0.107
2014-02-05 0.112 0.112 0.112 0.112 0 0.112
2014-02-06 0.105 0.105 0.105 0.105 0 0.105
2014-02-07 0.105 0.105 0.105 0.105 0 0.105
2014-02-10 0.108 0.108 0.108 0.108 0 0.108
2014-02-11 0.107 0.107 0.107 0.107 0 0.107
2014-02-12 0.105 0.105 0.105 0.105 0 0.105
2014-02-13 0.108 0.108 0.108 0.108 0 0.108
2014-02-14 0.105 0.105 0.105 0.105 0 0.105
2014-02-17 0.105 0.105 0.105 0.105 0 0.105
2014-02-18 0.11 0.11 0.11 0.11 0 0.11
2014-02-19 0.105 0.105 0.105 0.105 0 0.105
2014-02-20 0.106 0.106 0.106 0.106 0 0.106
2014-02-21 0.116 0.116 0.116 0.116 0 0.116
2014-02-24 0.109 0.109 0.109 0.109 0 0.109
2014-02-25 0.109 0.109 0.109 0.109 0 0.109
2014-02-26 0.11 0.11 0.11 0.11 0 0.11
2014-02-27 0.116 0.116 0.116 0.116 0 0.116
2014-02-28 0.113 0.113 0.113 0.113 0 0.113
2014-03-03 0.113 0.113 0.113 0.113 0 0.113
2014-03-04 0.116 0.116 0.116 0.116 0 0.116
2014-03-05 0.113 0.113 0.113 0.113 0 0.113
2014-03-06 0.117 0.117 0.117 0.117 0 0.117
2014-03-07 0.116 0.116 0.116 0.116 0 0.116
2014-03-10 0.124 0.124 0.124 0.124 0 0.124
2014-03-11 0.137 0.137 0.137 0.137 0 0.137
2014-03-12 0.16 0.16 0.16 0.16 0 0.16
2014-03-13 0.195 0.195 0.195 0.195 0 0.195
2014-03-14 0.184 0.184 0.184 0.184 0 0.184
2014-03-17 0.196 0.196 0.196 0.196 0 0.196
2014-03-18 0.211 0.211 0.211 0.211 0 0.211
2014-03-19 0.233 0.233 0.233 0.233 0 0.233
2014-03-20 0.219 0.219 0.219 0.219 0 0.219
2014-03-21 0.191 0.191 0.191 0.191 0 0.191
2014-03-24 0.201 0.201 0.201 0.201 0 0.201
2014-03-25 0.198 0.198 0.198 0.198 0 0.198
2014-03-26 0.193 0.193 0.193 0.193 0 0.193
2014-03-27 0.145 0.145 0.145 0.145 0 0.145
2014-03-28 0.14 0.14 0.14 0.14 0 0.14
2014-03-31 0.139 0.139 0.139 0.139 0 0.139
2014-04-01 0.149 0.149 0.149 0.149 0 0.149
2014-04-02 0.172 0.172 0.172 0.172 0 0.172
2014-04-03 0.163 0.163 0.163 0.163 0 0.163
2014-04-04 0.168 0.168 0.168 0.168 0 0.168
2014-04-07 0.178 0.178 0.178 0.178 0 0.178
2014-04-08 0.171 0.171 0.171 0.171 0 0.171
2014-04-09 0.167 0.167 0.167 0.167 0 0.167
2014-04-10 0.171 0.171 0.171 0.171 0 0.171
2014-04-11 0.169 0.169 0.169 0.169 0 0.169
2014-04-14 0.159 0.159 0.159 0.159 0 0.159
2014-04-15 0.146 0.146 0.146 0.146 0 0.146
2014-04-16 0.143 0.143 0.143 0.143 0 0.143
2014-04-17 0.149 0.149 0.149 0.149 0 0.149
2014-04-18 0.149 0.149 0.149 0.149 0 0.149
2014-04-21 0.149 0.149 0.149 0.149 0 0.149
2014-04-22 0.151 0.151 0.151 0.151 0 0.151
2014-04-23 0.146 0.146 0.146 0.146 0 0.146
2014-04-24 0.146 0.146 0.146 0.146 0 0.146
2014-04-25 0.142 0.142 0.142 0.142 0 0.142
2014-04-28 0.142 0.142 0.142 0.142 0 0.142
2014-04-29 0.135 0.135 0.135 0.135 0 0.135
2014-04-30 0.14 0.14 0.14 0.14 0 0.14
2014-05-01 0.14 0.14 0.14 0.14 0 0.14
2014-05-02 0.136 0.136 0.136 0.136 0 0.136
2014-05-05 0.136 0.136 0.136 0.136 0 0.136
2014-05-06 0.126 0.126 0.126 0.126 0 0.126
2014-05-07 0.13 0.13 0.13 0.13 0 0.13
2014-05-08 0.12 0.12 0.12 0.12 0 0.12
2014-05-09 0.142 0.142 0.142 0.142 0 0.142
2014-05-12 0.142 0.142 0.142 0.142 0 0.142
2014-05-13 0.145 0.145 0.145 0.145 0 0.145
2014-05-14 0.142 0.142 0.142 0.142 0 0.142
2014-05-15 0.139 0.139 0.139 0.139 0 0.139
2014-05-16 0.133 0.133 0.133 0.133 0 0.133
2014-05-19 0.133 0.133 0.133 0.133 0 0.133
2014-05-20 0.132 0.132 0.132 0.132 0 0.132
2014-05-21 0.139 0.139 0.139 0.139 0 0.139
2014-05-22 0.126 0.126 0.126 0.126 0 0.126
2014-05-23 0.126 0.126 0.126 0.126 0 0.126
2014-05-26 0.134 0.134 0.134 0.134 0 0.134
2014-05-27 0.134 0.134 0.134 0.134 0 0.134
2014-05-28 0.13 0.13 0.13 0.13 0 0.13
2014-05-29 0.127 0.127 0.127 0.127 0 0.127
2014-05-30 0.128 0.128 0.128 0.128 0 0.128
2014-06-02 0.134 0.134 0.134 0.134 0 0.134
2014-06-03 0.135 0.135 0.135 0.135 0 0.135
2014-06-04 0.133 0.133 0.133 0.133 0 0.133
2014-06-05 0.133 0.133 0.133 0.133 0 0.133
2014-06-06 0.129 0.129 0.129 0.129 0 0.129
2014-06-09 0.14 0.14 0.14 0.14 0 0.14
2014-06-10 0.134 0.134 0.134 0.134 0 0.134
2014-06-11 0.134 0.134 0.134 0.134 0 0.134
2014-06-12 0.135 0.135 0.135 0.135 0 0.135
2014-06-13 0.14 0.14 0.14 0.14 0 0.14
2014-06-16 0.138 0.138 0.138 0.138 0 0.138
2014-06-17 0.138 0.138 0.138 0.138 0 0.138
2014-06-18 0.138 0.138 0.138 0.138 0 0.138
2014-06-19 0.135 0.135 0.135 0.135 0 0.135
2014-06-20 0.131 0.131 0.131 0.131 0 0.131
2014-06-23 0.129 0.129 0.129 0.129 0 0.129
2014-06-24 0.136 0.136 0.136 0.136 0 0.136
2014-06-25 0.146 0.146 0.146 0.146 0 0.146
2014-06-26 0.136 0.136 0.136 0.136 0 0.136
2014-06-27 0.136 0.136 0.136 0.136 0 0.136
2014-06-30 0.139 0.139 0.139 0.139 0 0.139
2014-07-01 0.136 0.136 0.136 0.136 0 0.136
2014-07-02 0.136 0.136 0.136 0.136 0 0.136
2014-07-03 0.133 0.133 0.133 0.133 0 0.133
2014-07-04 0.137 0.137 0.137 0.137 0 0.137
2014-07-07 0.141 0.141 0.141 0.141 0 0.141
2014-07-08 0.133 0.133 0.133 0.133 0 0.133
2014-07-09 0.143 0.143 0.143 0.143 0 0.143
2014-07-10 0.15 0.15 0.15 0.15 0 0.15
