"Index" "MGN.Open" "MGN.High" "MGN.Low" "MGN.Close" "MGN.Volume" "MGN.Adjusted"
2014-05-22 1.17 1.17 1.131 1.14 31000 1.14
2014-05-23 1.14 1.17 1.13 1.14 34600 1.14
2014-05-27 1.13 1.15 1.1 1.15 42200 1.15
2014-05-28 1.16 1.16 1.05 1.07 68700 1.07
2014-05-29 1.05 1.08 1.05 1.054 43900 1.054
2014-05-30 1.03 1.03 0.97 0.98 155900 0.98
2014-06-02 0.98 0.98 0.77 0.82 206300 0.82
2014-06-03 0.88 0.9 0.836 0.9 72800 0.9
2014-06-04 0.925 0.925 0.813 0.84 53900 0.84
2014-06-05 0.88 0.92 0.83 0.9 64700 0.9
2014-06-06 0.92 0.97 0.92 0.96 28900 0.96
2014-06-09 0.801 0.92 0.801 0.902 108300 0.902
2014-06-10 0.9 0.928 0.9 0.91 28600 0.91
2014-06-11 0.94 0.978 0.92 0.95 33400 0.95
2014-06-12 0.98 0.98 0.897 0.9 138300 0.9
2014-06-13 0.95 0.977 0.95 0.95 52500 0.95
2014-06-16 0.96 0.968 0.91 0.944 67100 0.944
2014-06-17 0.96 0.987 0.913 0.963 51300 0.963
2014-06-18 0.95 0.975 0.922 0.96 51200 0.96
2014-06-19 0.96 1.05 0.95 0.971 179400 0.971
2014-06-20 0.98 0.98 0.941 0.98 59600 0.98
2014-06-23 1.01 1.12 1.01 1.09 121400 1.09
2014-06-24 1.14 1.18 1.13 1.15 90600 1.15
2014-06-25 1.1 1.11 1.03 1.05 121700 1.05
2014-06-26 1.04 1.15 1.04 1.06 104600 1.06
2014-06-27 1.1 1.16 1.081 1.11 35600 1.11
2014-06-30 1.09 1.12 1.02 1.12 81300 1.12
2014-07-01 1.11 1.11 1.06 1.09 32900 1.09
2014-07-02 1.06 1.1 1.06 1.08 13400 1.08
2014-07-03 1.08 1.09 1.06 1.08 7100 1.08
2014-07-07 1.06 1.12 1.06 1.1 34900 1.1
2014-07-08 1.08 1.08 1.03 1.08 38200 1.08
2014-07-09 1.077 1.1 1.01 1.07 84700 1.07
2014-07-10 1.08 1.11 1.022 1.05 110300 1.05
2014-07-11 1.05 1.05 1.01 1.04 92700 1.04
2014-07-14 1.03 1.03 0.98 1.01 49500 1.01
2014-07-15 1.01 1.01 0.99 1 48800 1
2014-07-16 1.01 1.01 0.98 0.98 14000 0.98
2014-07-17 0.98 1 0.97 0.972 52700 0.972
2014-07-18 0.96 0.98 0.96 0.963 33900 0.963
2014-07-21 0.96 0.998 0.94 0.998 18500 0.998
2014-07-22 1 1 0.98 0.983 35200 0.983
2014-07-23 0.96 1.03 0.96 1 28600 1
2014-07-24 0.96 1 0.95 0.99 45600 0.99
2014-07-25 1.01 1.04 0.907 0.94 123200 0.94
2014-07-28 0.891 0.911 0.823 0.86 150200 0.86
2014-07-29 0.9 0.9 0.82 0.845 96500 0.845
2014-07-30 0.844 0.85 0.82 0.837 56800 0.837
2014-07-31 0.81 0.84 0.793 0.793 173800 0.793
2014-08-01 0.83 0.83 0.79 0.795 21600 0.795
2014-08-04 0.8 0.8 0.75 0.76 52900 0.76
2014-08-05 0.76 0.79 0.752 0.77 30900 0.77
2014-08-06 0.79 0.8 0.78 0.785 35200 0.785
2014-08-07 0.792 0.81 0.785 0.807 90800 0.807
2014-08-08 0.84 0.88 0.84 0.848 105000 0.848
2014-08-11 0.86 0.86 0.82 0.83 107000 0.83
2014-08-12 0.84 0.85 0.828 0.83 19600 0.83
2014-08-13 0.82 0.84 0.815 0.84 38200 0.84
2014-08-14 0.81 0.82 0.792 0.81 13900 0.81
2014-08-15 0.79 0.81 0.79 0.808 17300 0.808
2014-08-18 0.77 0.81 0.77 0.8 48200 0.8
2014-08-19 0.802 0.83 0.79 0.83 16200 0.83
2014-08-20 0.85 0.85 0.789 0.812 18500 0.812
2014-08-21 0.814 0.84 0.8 0.83 72400 0.83
2014-08-22 0.81 0.81 0.76 0.79 40900 0.79
2014-08-25 0.78 0.808 0.75 0.77 46400 0.77
2014-08-26 0.681 0.764 0.68 0.74 161400 0.74
2014-08-27 0.72 0.74 0.715 0.74 18200 0.74
2014-08-28 0.73 0.75 0.72 0.73 9100 0.73
2014-08-29 0.73 0.748 0.72 0.73 10900 0.73
2014-09-02 0.72 0.73 0.71 0.728 14300 0.728
2014-09-03 0.728 0.748 0.726 0.747 19600 0.747
2014-09-04 0.72 0.72 0.7 0.703 41600 0.703
2014-09-05 0.695 0.695 0.665 0.678 27300 0.678
2014-09-08 0.641 0.744 0.601 0.69 123800 0.69
2014-09-09 0.7 0.708 0.66 0.66 29500 0.66
2014-09-10 0.65 0.7 0.65 0.68 23100 0.68
2014-09-11 0.66 0.68 0.657 0.657 22300 0.657
2014-09-12 0.678 0.68 0.65 0.67 44200 0.67
2014-09-15 0.67 0.74 0.67 0.685 21900 0.685
2014-09-16 0.661 0.712 0.661 0.71 39400 0.71
2014-09-17 0.68 0.71 0.66 0.68 14200 0.68
2014-09-18 0.691 0.7 0.67 0.69 18100 0.69
2014-09-19 0.71 0.74 0.678 0.735 48800 0.735
2014-09-22 0.72 0.72 0.67 0.67 52200 0.67
2014-09-23 0.65 0.7 0.65 0.68 34700 0.68
2014-09-24 0.706 0.726 0.62 0.62 22200 0.62
2014-09-25 0.62 0.64 0.6 0.61 50600 0.61
2014-09-26 0.633 0.64 0.6 0.61 47200 0.61
2014-09-29 0.6 0.65 0.6 0.61 52200 0.61
