"Index" "DAC.Open" "DAC.High" "DAC.Low" "DAC.Close" "DAC.Volume" "DAC.Adjusted"
2014-09-24 5.24 5.24 5.06 5.18 5000 5.18
2014-09-25 5.08 5.18 5.08 5.11 7400 5.11
2014-09-26 5.17 5.3 4.97 5.29 17800 5.29
2014-09-29 5.19 5.3 5.11 5.25 3900 5.25
2014-09-30 5.3 5.3 5.06 5.14 9800 5.14
2014-10-01 5.06 5.19 4.93 5 12400 5
2014-10-02 4.92 5.02 4.92 4.99 7900 4.99
2014-10-03 4.96 4.96 4.91 4.91 3100 4.91
2014-10-06 4.95 5 4.87 5 13700 5
2014-10-07 5 5 4.69 4.84 11700 4.84
2014-10-08 4.74 4.77 4.66 4.67 5300 4.67
2014-10-09 4.73 4.78 4.68 4.68 8000 4.68
2014-10-10 4.67 4.68 4.41 4.6 13700 4.6
2014-10-13 4.5 4.51 4.22 4.28 10000 4.28
2014-10-14 4.33 4.35 3.96 4.13 10100 4.13
2014-10-15 4.13 4.37 4.13 4.3 12400 4.3
2014-10-16 4.23 4.6 4.23 4.5 10100 4.5
2014-10-17 4.42 4.65 4.42 4.56 4900 4.56
2014-10-20 4.6 4.63 4.15 4.31 34700 4.31
2014-10-21 4.32 4.46 4.16 4.42 15700 4.42
2014-10-22 4.4 4.5 4.17 4.49 21700 4.49
2014-10-23 4.41 4.6 4.39 4.55 14300 4.55
2014-10-24 4.62 4.62 4.19 4.49 97400 4.49
2014-10-27 4.4 4.6 4.31 4.6 9600 4.6
2014-10-28 4.64 4.64 4.48 4.64 6200 4.64
2014-10-29 4.62 5 4.62 5 12500 5
2014-10-30 5.1 5.22 4.91 5.2 23700 5.2
2014-10-31 5.07 5.48 5.03 5.48 7000 5.48
2014-11-03 5.62 5.83 5.44 5.83 15100 5.83
2014-11-04 5.85 5.95 5.63 5.85 21600 5.85
2014-11-05 5.94 6.26 5.77 6.21 27000 6.21
2014-11-06 6.23 6.3 5.9 6.3 24000 6.3
2014-11-07 6.21 6.35 6.02 6.3 9400 6.3
