"Index" "LPE.Open" "LPE.High" "LPE.Low" "LPE.Close" "LPE.Volume" "LPE.Adjusted"
2014-02-13 70.55 70.55 70.55 70.55 0 70.55
2014-02-14 70.05 70.05 70.05 70.05 0 70.05
2014-02-17 70.95 70.95 70.95 70.95 0 70.95
2014-02-18 70.29 70.29 70.29 70.29 0 70.29
2014-02-19 70.76 70.76 70.76 70.76 0 70.76
2014-02-20 70.75 70.75 70.75 70.75 0 70.75
2014-02-21 70.96 70.96 70.96 70.96 0 70.96
2014-02-24 70.75 70.75 70.75 70.75 0 70.75
2014-02-25 70.75 70.75 70.75 70.75 0 70.75
2014-02-26 71.95 71.95 71.95 71.95 0 71.95
2014-02-27 72.28 72.28 72.28 72.28 0 72.28
2014-02-28 71.95 71.95 71.95 71.95 0 71.95
2014-03-03 72.46 72.46 71.87 71.87 0 71.87
2014-03-04 70.44 70.44 70.44 70.44 0 70.44
2014-03-05 69.26 69.26 69.26 69.26 0 69.26
2014-03-06 69.33 69.33 69.33 69.33 0 69.33
2014-03-07 69.89 69.89 69.89 69.89 0 69.89
2014-03-10 69.69 69.69 69.69 69.69 0 69.69
2014-03-11 69.87 69.87 69.87 69.87 0 69.87
2014-03-12 69.75 69.75 69.75 69.75 0 69.75
2014-03-13 69.8 69.8 69.8 69.8 0 69.8
2014-03-14 69.76 69.76 69.76 69.76 0 69.76
2014-03-17 69.77 69.77 69.77 69.77 0 69.77
2014-03-18 69.92 69.92 69.92 69.92 0 69.92
2014-03-19 68.55 68.55 68.55 68.55 0 68.55
2014-03-20 69.65 69.65 69.65 69.65 0 69.65
2014-03-21 69.98 69.98 69.98 69.98 0 69.98
2014-03-24 70.32 70.32 70.32 70.32 0 70.32
2014-03-25 70.45 70.45 70.45 70.45 0 70.45
2014-03-26 71.13 71.13 71.13 71.13 0 71.13
2014-03-27 70.82 70.82 70.82 70.82 0 70.82
2014-03-28 70.85 70.85 70.85 70.85 0 70.85
2014-03-31 71.01 71.01 71.01 71.01 0 71.01
2014-04-01 71.19 71.19 71.19 71.19 0 71.19
2014-04-02 71.07 71.07 71.07 71.07 0 71.07
2014-04-03 71.58 71.58 71.58 71.58 0 71.58
2014-04-04 73.05 73.05 73.05 73.05 0 73.05
2014-04-07 73.15 73.15 73.15 73.15 0 73.15
2014-04-08 72.8 72.8 72.8 72.8 0 72.8
2014-04-09 72.75 72.75 72.75 72.75 0 72.75
2014-04-10 72.78 72.78 72.78 72.78 0 72.78
2014-04-11 71.75 71.75 71.75 71.75 0 71.75
2014-04-14 72.05 72.05 72.05 72.05 0 72.05
2014-04-15 71.75 71.75 71.75 71.75 0 71.75
2014-04-16 71.66 71.66 71.66 71.66 0 71.66
2014-04-17 71.05 71.05 71.05 71.05 0 71.05
2014-04-18 71.05 71.05 71.05 71.05 0 71.05
2014-04-21 71.05 71.05 71.05 71.05 0 71.05
2014-04-22 71.05 71.05 71.05 71.05 0 71.05
2014-04-23 71.8 71.8 71.8 71.8 0 71.8
2014-04-24 71.93 71.93 71.93 71.93 0 71.93
2014-04-25 71.91 71.91 71.91 71.91 0 71.91
2014-04-28 71.8 71.8 71.8 71.8 0 71.8
2014-04-29 71.97 71.97 71.97 71.97 0 71.97
2014-04-30 72.05 72.05 72.05 72.05 0 72.05
2014-05-01 72.05 72.05 72.05 72.05 0 72.05
2014-05-02 72 72 72 72 0 72
2014-05-05 71.73 71.73 71.73 71.73 0 71.73
2014-05-06 71.96 71.96 71.96 71.96 0 71.96
2014-05-07 71.75 71.75 71.75 71.75 0 71.75
2014-05-08 71.69 71.69 71.69 71.69 0 71.69
2014-05-09 71.95 71.95 71.95 71.95 0 71.95
