"Index" "USD.HUF"
2014-06-30 226.624
2014-07-01 226.863
2014-07-02 228.141
2014-07-03 228.2875
2014-07-04 228.129
2014-07-05 228.37
2014-07-06 228.37
2014-07-07 228.2415
2014-07-08 227.6695
2014-07-09 227.1565
2014-07-10 227.548
2014-07-11 227.941
2014-07-12 227.802
2014-07-13 227.8155
2014-07-14 227.526
2014-07-15 227.4095
2014-07-16 228.338
2014-07-17 229.2215
2014-07-18 230.243
2014-07-19 229.08
2014-07-20 229.0755
2014-07-21 228.887
2014-07-22 228.862
2014-07-23 228.353
2014-07-24 228.4635
2014-07-25 229.0565
2014-07-26 229.682
2014-07-27 229.6
2014-07-28 229.6185
2014-07-29 230.7815
2014-07-30 232.219
2014-07-31 233.2855
2014-08-01 234.3235
2014-08-02 233.1375
2014-08-03 233.2085
2014-08-04 233.524
2014-08-05 234.4375
2014-08-06 236.2765
2014-08-07 236.0195
2014-08-08 235.0795
2014-08-09 233.3815
2014-08-10 233.365
2014-08-11 233.9975
2014-08-12 234.8295
2014-08-13 234.7225
2014-08-14 234.189
2014-08-15 233.892
2014-08-16 234.4565
2014-08-17 234.578
2014-08-18 234.5735
2014-08-19 235
2014-08-20 235.8905
2014-08-21 236.8975
2014-08-22 236.3105
2014-08-23 236.6395
2014-08-24 237.558
2014-08-25 237.3825
2014-08-26 237.416
2014-08-27 237.4645
2014-08-28 237.9415
2014-08-29 239.2915
2014-08-30 239.758
2014-08-31 239.825
2014-09-01 239.7105
2014-09-02 240.0155
2014-09-03 239.5545
2014-09-04 239.7035
2014-09-05 242.1835
2014-09-06 242.177
2014-09-07 242.1805
2014-09-08 242.714
2014-09-09 244.955
2014-09-10 244.537
2014-09-11 244.145
2014-09-12 243.316
2014-09-13 243.064
2014-09-14 243.0515
2014-09-15 243.0955
2014-09-16 242.8585
2014-09-17 242.162
2014-09-18 242.6755
2014-09-19 241.6925
2014-09-20 242.633
2014-09-21 242.616
2014-09-22 242.7375
2014-09-23 242.209
2014-09-24 242.08
2014-09-25 243.6005
2014-09-26 245.0275
2014-09-27 246.36
2014-09-28 246.3785
2014-09-29 246.0085
2014-09-30 245.8095
2014-10-01 246.348
2014-10-02 244.94
2014-10-03 245.822
2014-10-04 247.72
2014-10-05 247.7305
