"Index" "STZ.Open" "STZ.High" "STZ.Low" "STZ.Close" "STZ.Volume" "STZ.Adjusted"
2014-07-03 91.099998 91.589996 90.5 91.150002 1998500 90.468518
2014-07-07 91.010002 91.099998 90.32 90.75 1363300 90.071507
2014-07-08 90.830002 90.830002 89.690002 90.269997 1539600 89.595092
2014-07-09 90.389999 90.550003 89.839996 90.120003 1183500 89.44622
2014-07-10 88.919998 90.290001 88.800003 89.919998 1391700 89.247711
2014-07-11 90.089996 90.32 89.129997 89.470001 856400 88.801078
2014-07-14 89.949997 90.110001 89.57 89.900002 891700 89.227863
2014-07-15 89.769997 90.150002 88.5 88.610001 1456100 87.947507
2014-07-16 88.779999 88.889999 86.050003 87.239998 2676400 86.587747
2014-07-17 86.949997 87.239998 86.129997 86.209999 999200 85.565449
2014-07-18 86.43 87.809998 86.260002 87.57 943800 86.915282
2014-07-21 87.129997 87.519997 86.690002 87.18 704300 86.528198
2014-07-22 87.370003 88.040001 87.339996 87.57 664200 86.915282
2014-07-23 87.860001 88.029999 87.089996 87.129997 700100 86.478569
2014-07-24 87.269997 87.410004 86.489998 87.25 948800 86.597675
2014-07-25 86.949997 87.040001 86.080002 86.559998 625100 85.912831
2014-07-28 86.519997 86.529999 85.190002 86.07 858900 85.426497
2014-07-29 86.220001 87.099998 86.120003 86.139999 842100 85.495973
2014-07-30 86.199997 86.559998 84.599998 84.639999 1206800 84.007188
2014-07-31 84.300003 84.480003 82.970001 83.260002 1472600 82.637508
2014-08-01 82.870003 84.089996 82.029999 83.589996 1262100 82.965035
2014-08-04 83.5 84.019997 82.620003 83.879997 1069500 83.252868
2014-08-05 83.599998 84.080002 83 83.190002 741300 82.568032
2014-08-06 82.870003 84.330002 82.660004 83.93 1060900 83.302497
2014-08-07 84.099998 84.330002 83.07 83.309998 589400 82.68713
2014-08-08 83.18 84.449997 82.93 84.389999 578500 83.759057
2014-08-11 84.550003 85.269997 84.059998 85.050003 833200 84.414126
2014-08-12 84.980003 85.889999 84.849998 85.730003 899900 85.089042
2014-08-13 85.959999 86.220001 85.360001 85.879997 793100 85.237915
2014-08-14 85.580002 85.919998 85.07 85.57 507000 84.930235
2014-08-15 86.220001 87.720001 85.82 87.470001 1114100 86.816031
2014-08-18 87.68 87.800003 86.800003 87 782100 86.349544
