"Index" "R6.Open" "R6.High" "R6.Low" "R6.Close" "R6.Volume" "R6.Adjusted"
2014-02-05 381.37 381.37 381.37 381.37 0 381.37
2014-02-06 385.08 385.08 385.08 385.08 0 385.08
2014-02-07 387.27 387.27 387.27 387.27 0 387.27
2014-02-10 383.55 383.55 383.55 383.55 0 383.55
2014-02-11 389.56 389.56 389.56 389.56 0 389.56
2014-02-12 389.1 389.1 389.1 389.1 0 389.1
2014-02-13 385.73 385.73 385.73 385.73 0 385.73
2014-02-14 389.68 389.68 389.68 389.68 0 389.68
2014-02-17 389.85 389.85 389.85 389.85 0 389.85
2014-02-18 386.92 386.92 386.92 386.92 0 386.92
2014-02-19 382.72 382.72 382.72 382.72 0 382.72
2014-02-20 379.63 379.63 379.63 379.63 0 379.63
2014-02-21 380.33 380.33 380.33 380.33 0 380.33
2014-02-24 380.95 380.95 380.95 380.95 0 380.95
2014-02-25 373.64 373.64 373.64 373.64 0 373.64
2014-02-26 369.76 369.76 369.76 369.76 0 369.76
2014-02-27 372.46 372.46 372.46 372.46 0 372.46
2014-02-28 371.39 371.39 371.39 371.39 0 371.39
2014-03-03 368.68 368.68 368.68 368.68 0 368.68
2014-03-04 373.94 373.94 373.94 373.94 0 373.94
2014-03-05 373.47 373.47 373.47 373.47 0 373.47
2014-03-06 375.13 375.13 375.13 375.13 0 375.13
2014-03-07 372.73 372.73 372.73 372.73 0 372.73
2014-03-10 370.51 370.51 370.51 370.51 0 370.51
2014-03-11 370.55 370.55 370.55 370.55 0 370.55
2014-03-12 369.87 369.87 369.87 369.87 0 369.87
2014-03-13 364.26 364.26 364.26 364.26 0 364.26
2014-03-14 363.54 363.54 363.54 363.54 0 363.54
2014-03-17 363.54 363.54 363.54 363.54 0 363.54
2014-03-18 371.62 371.62 371.62 371.62 0 371.62
2014-03-19 371.92 371.92 371.92 371.92 0 371.92
2014-03-20 379.34 379.34 379.34 379.34 0 379.34
2014-03-21 383.44 383.44 383.44 383.44 0 383.44
2014-03-24 381.49 381.49 381.49 381.49 0 381.49
2014-03-25 381.31 381.31 381.31 381.31 0 381.31
2014-03-26 381.23 381.23 381.23 381.23 0 381.23
2014-03-27 382.59 382.59 382.59 382.59 0 382.59
2014-03-28 383.91 383.91 383.91 383.91 0 383.91
2014-03-31 387.86 387.86 387.86 387.86 0 387.86
2014-04-01 387.89 387.89 387.89 387.89 0 387.89
2014-04-02 391.73 391.73 391.73 391.73 0 391.73
2014-04-03 388.62 388.62 388.62 388.62 0 388.62
2014-04-04 389.05 389.05 389.05 389.05 0 389.05
2014-04-07 389.02 389.02 389.02 389.02 0 389.02
2014-04-08 392.01 392.01 392.01 392.01 0 392.01
2014-04-09 392.19 392.19 392.19 392.19 0 392.19
2014-04-10 387.85 387.85 387.85 387.85 0 387.85
2014-04-11 387.29 387.29 387.29 387.29 0 387.29
2014-04-14 388.76 388.76 388.76 388.76 0 388.76
2014-04-15 388.28 388.28 388.28 388.28 0 388.28
2014-04-16 392.14 392.14 392.14 392.14 0 392.14
2014-04-17 392.14 392.14 392.14 392.14 0 392.14
2014-04-21 389.91 389.91 389.91 389.91 0 389.91
2014-04-22 388.03 388.03 388.03 388.03 0 388.03
2014-04-23 386.28 386.28 386.28 386.28 0 386.28
2014-04-24 387.62 387.62 387.62 387.62 0 387.62
2014-04-25 385.62 385.62 385.62 385.62 0 385.62
2014-04-28 385.15 385.15 385.15 385.15 0 385.15
2014-04-29 390.39 390.39 390.39 390.39 0 390.39
2014-04-30 390.09 390.09 390.09 390.09 0 390.09
2014-05-01 390.09 390.09 390.09 390.09 0 390.09
2014-05-02 392.45 392.45 392.45 392.45 0 392.45
2014-05-05 393.17 393.17 393.17 393.17 0 393.17
2014-05-06 397.19 397.19 397.19 397.19 0 397.19
2014-05-07 400.57 400.57 400.57 400.57 0 400.57
2014-05-08 399.33 399.33 399.33 399.33 0 399.33
2014-05-09 399.18 399.18 399.18 399.18 0 399.18
2014-05-12 403.37 403.37 403.37 403.37 0 403.37
2014-05-13 404.85 404.85 404.85 404.85 0 404.85
2014-05-14 403.89 403.89 403.89 403.89 0 403.89
2014-05-15 398.55 398.55 398.55 398.55 0 398.55
2014-05-16 401.76 401.76 401.76 401.76 0 401.76
2014-05-19 401.67 401.67 401.67 401.67 0 401.67
2014-05-20 400.64 400.64 400.64 400.64 0 400.64
