"Index" "USD.INR"
2015-05-03 63.732
2015-05-04 63.7069
2015-05-05 63.5729
2015-05-06 63.5745
2015-05-07 64.0146
2015-05-08 63.9528
2015-05-09 63.747
2015-05-10 63.747
2015-05-11 63.8755
2015-05-12 64.2266
2015-05-13 64.1132
2015-05-14 63.7683
2015-05-15 63.4665
2015-05-16 63.439
2015-05-17 63.439
2015-05-18 63.6376
2015-05-19 63.771
2015-05-20 63.7987
2015-05-21 63.6294
2015-05-22 63.55
2015-05-23 63.554
2015-05-24 63.554
2015-05-25 63.6327
2015-05-26 63.8539
2015-05-27 64.0024
2015-05-28 63.8383
2015-05-29 63.7917
2015-05-30 63.808
2015-05-31 63.808
2015-06-01 63.7023
2015-06-02 63.7418
2015-06-03 63.9071
2015-06-04 64.0802
2015-06-05 63.9898
2015-06-06 64.08
2015-06-07 64.08
2015-06-08 64.0772
2015-06-09 63.9672
2015-06-10 63.8912
2015-06-11 63.9095
2015-06-12 64.0268
2015-06-13 64.083
2015-06-14 64.083
2015-06-15 64.0977
2015-06-16 64.168
2015-06-17 64.145
2015-06-18 63.7493
2015-06-19 63.5597
2015-06-20 63.427
2015-06-21 63.427
2015-06-22 63.4427
2015-06-23 63.5168
2015-06-24 63.5624
2015-06-25 63.5061
2015-06-26 63.5344
2015-06-27 63.522
2015-06-28 63.522
2015-06-29 63.7511
2015-06-30 63.5981
2015-07-01 63.4881
2015-07-02 63.3341
2015-07-03 63.2268
2015-07-04 63.251
2015-07-05 63.251
2015-07-06 63.3202
2015-07-07 63.3457
2015-07-08 63.4726
2015-07-09 63.3456
2015-07-10 63.2724
2015-07-11 63.286
2015-07-12 63.286
2015-07-13 63.3689
2015-07-14 63.3255
2015-07-15 63.335
2015-07-16 63.3745
2015-07-17 63.334
2015-07-18 63.252
2015-07-19 63.252
2015-07-20 63.3857
2015-07-21 63.5092
2015-07-22 63.5151
2015-07-23 63.672
2015-07-24 63.9485
2015-07-25 64.081
2015-07-26 64.081
2015-07-27 64.147
