"Index" "USD.THB"
2015-09-18 35.6445
2015-09-19 35.646
2015-09-20 35.646
2015-09-21 35.7677
2015-09-22 35.9852
2015-09-23 36.1518
2015-09-24 36.2602
2015-09-25 36.2108
2015-09-26 36.186
2015-09-27 36.186
2015-09-28 36.2738
2015-09-29 36.4376
2015-09-30 36.3691
2015-10-01 36.4191
2015-10-02 36.5382
2015-10-03 36.412
2015-10-04 36.412
2015-10-05 36.3732
2015-10-06 36.3105
2015-10-07 36.001
2015-10-08 35.9239
2015-10-09 35.6033
2015-10-10 35.522
2015-10-11 35.522
2015-10-12 35.4363
2015-10-13 35.5459
2015-10-14 35.5002
2015-10-15 35.2112
2015-10-16 35.2751
2015-10-17 35.254
2015-10-18 35.254
2015-10-19 35.3486
2015-10-20 35.4326
2015-10-21 35.5151
2015-10-22 35.6022
2015-10-23 35.4863
2015-10-24 35.5665
2015-10-25 35.5665
2015-10-26 35.5118
2015-10-27 35.4965
2015-10-28 35.4957
2015-10-29 35.6422
2015-10-30 35.6025
2015-10-31 35.6275
2015-11-01 35.6275
