"Index" "XAU.USD"
2015-10-02 1120.125
2015-10-03 1138.49
2015-10-04 1138.49
2015-10-05 1136.14
2015-10-06 1140.615
2015-10-07 1148.085
2015-10-08 1143.705
2015-10-09 1150.13
2015-10-10 1156.36
2015-10-11 1156.36
2015-10-12 1161.75
2015-10-13 1160.55
2015-10-14 1174.265
2015-10-15 1184.7
2015-10-16 1180.135
2015-10-17 1176.74
2015-10-18 1176.74
2015-10-19 1173.51
2015-10-20 1173.22
2015-10-21 1173.51
2015-10-22 1166.82
2015-10-23 1168.125
2015-10-24 1164.46
2015-10-25 1164.46
2015-10-26 1165.11
2015-10-27 1165.21
2015-10-28 1169.895
2015-10-29 1155.995
2015-10-30 1145.735
2015-10-31 1142.175
2015-11-01 1142.175
