"Index" "USD.RUB"
2013-12-31 32.8685
2014-01-01 32.853
2014-01-02 33.0375
2014-01-03 33.1214
2014-01-04 33.19
2014-01-05 33.19
2014-01-06 33.2207
2014-01-07 33.1976
2014-01-08 33.1467
2014-01-09 33.1684
2014-01-10 33.1614
2014-01-11 33.0025
2014-01-12 33.0025
2014-01-13 33.1603
2014-01-14 33.2974
2014-01-15 33.3777
2014-01-16 33.4058
2014-01-17 33.4854
2014-01-18 33.6225
2014-01-19 33.5951
2014-01-20 33.7227
2014-01-21 33.8859
2014-01-22 33.9305
2014-01-23 34.0501
2014-01-24 34.3411
2014-01-25 34.5237
2014-01-26 34.5106
2014-01-27 34.6883
2014-01-28 34.6777
2014-01-29 34.874
2014-01-30 35.1168
2014-01-31 35.1213
2014-02-01 35.1213
2014-02-02 35.17
2014-02-03 35.2807
2014-02-04 35.2716
2014-02-05 34.9155
2014-02-06 34.7843
2014-02-07 34.7064
2014-02-08 34.723
2014-02-09 34.805
2014-02-10 34.7837
2014-02-11 34.7635
2014-02-12 34.7853
2014-02-13 34.9953
2014-02-14 35.1331
2014-02-15 35.1331
2014-02-16 35.11
2014-02-17 35.1694
2014-02-18 35.307
2014-02-19 35.6361
2014-02-20 35.7939
2014-02-21 35.6837
2014-02-22 35.4937
2014-02-23 35.4937
2014-02-24 35.4968
2014-02-25 35.6085
2014-02-26 35.8877
2014-02-27 36.0925
2014-02-28 36.0546
2014-03-01 36.0165
2014-03-02 36.0165
2014-03-03 36.4939
2014-03-04 36.2728
2014-03-05 36.0732
2014-03-06 36.1315
2014-03-07 36.2811
2014-03-08 36.2811
2014-03-09 36.455
2014-03-10 36.4163
2014-03-11 36.4279
2014-03-12 36.4836
2014-03-13 36.4866
2014-03-14 36.6218
2014-03-15 36.622
2014-03-16 36.622
2014-03-17 36.4569
2014-03-18 36.3227
2014-03-19 36.1309
2014-03-20 36.1766
2014-03-21 36.3213
2014-03-22 36.3305
2014-03-23 36.3181
2014-03-24 36.1111
2014-03-25 35.8381
2014-03-26 35.4984
2014-03-27 35.5769
2014-03-28 35.6959
2014-03-29 35.7515
2014-03-30 35.7515
2014-03-31 35.3465
2014-04-01 35.103
2014-04-02 35.2467
2014-04-03 35.514
2014-04-04 35.4461
2014-04-05 35.2295
2014-04-06 35.325
2014-04-07 35.5731
2014-04-08 35.6026
2014-04-09 35.6922
2014-04-10 35.5428
2014-04-11 35.6248
2014-04-12 35.632
2014-04-13 35.6511
2014-04-14 35.9381
2014-04-15 36.0507
2014-04-16 36.1293
2014-04-17 35.8581
2014-04-18 35.5553
2014-04-19 35.615
2014-04-20 35.615
2014-04-21 35.6791
2014-04-22 35.7064
2014-04-23 35.711
2014-04-24 35.7252
2014-04-25 35.9159
2014-04-26 36.0305
2014-04-27 36.0305
2014-04-28 35.9807
2014-04-29 35.7228
2014-04-30 35.6715
2014-05-01 35.6206
2014-05-02 35.7258
2014-05-03 35.7985
2014-05-04 35.8895
2014-05-05 35.783
2014-05-06 35.578
2014-05-07 35.3028
2014-05-08 34.9916
2014-05-09 35.1512
2014-05-10 35.1512
2014-05-11 35.234
2014-05-12 35.1272
2014-05-13 34.9136
2014-05-14 34.755
2014-05-15 34.7761
2014-05-16 34.7766
2014-05-17 34.745
2014-05-18 34.745
2014-05-19 34.6035
2014-05-20 34.5771
2014-05-21 34.2996
2014-05-22 34.3135
2014-05-23 34.2504
2014-05-24 34.124
2014-05-25 34.1064
2014-05-26 34.1584
2014-05-27 34.304
2014-05-28 34.5071
2014-05-29 34.6351
2014-05-30 34.7635
2014-05-31 34.7635
2014-06-01 34.931
2014-06-02 34.9135
2014-06-03 35.0325
2014-06-04 35.1094
2014-06-05 34.8544
2014-06-06 34.6063
2014-06-07 34.449
2014-06-08 34.449
2014-06-09 34.3341
2014-06-10 34.348
2014-06-11 34.3608
2014-06-12 34.3604
2014-06-13 34.3918
2014-06-14 34.3918
2014-06-15 34.3865
2014-06-16 34.6238
2014-06-17 34.7425
2014-06-18 34.6765
2014-06-19 34.3496
2014-06-20 34.4217
2014-06-21 34.4217
2014-06-22 34.4556
2014-06-23 34.2305
2014-06-24 33.9433
2014-06-25 33.8035
2014-06-26 33.7466
2014-06-27 33.6914
2014-06-28 33.6914
2014-06-29 33.7369
2014-06-30 33.8988
2014-07-01 34.165
2014-07-02 34.3075
2014-07-03 34.2697
2014-07-04 34.3452
2014-07-05 34.422
2014-07-06 34.422
2014-07-07 34.4933
2014-07-08 34.3401
2014-07-09 34.1022
2014-07-10 33.9416
2014-07-11 34.0945
2014-07-12 34.205
2014-07-13 34.205
2014-07-14 34.3137
2014-07-15 34.3576
2014-07-16 34.4017
2014-07-17 34.879
2014-07-18 35.2297
2014-07-19 35.141
2014-07-20 35.1749
2014-07-21 35.1566
2014-07-22 35.055
2014-07-23 34.8863
2014-07-24 34.9626
2014-07-25 35.0965
2014-07-26 35.1315
2014-07-27 35.093
2014-07-28 35.4218
2014-07-29 35.6319
