"Index" "PA.Open" "PA.High" "PA.Low" "PA.Close" "PA.Volume" "PA.Adjusted"
2014-03-17 0.038 0.039 0.038 0.039 4e+05 0.039
2014-03-18 0.038 0.038 0.038 0.038 2e+06 0.038
2014-03-19 0.038 0.04 0.038 0.04 3e+05 0.04
2014-03-20 0.04 0.04 0.04 0.04 0 0.04
2014-03-21 0.04 0.04 0.04 0.04 3e+05 0.04
2014-03-24 0.04 0.04 0.038 0.038 2900000 0.038
2014-03-25 0.039 0.039 0.038 0.038 2700000 0.038
2014-03-26 0.038 0.04 0.038 0.038 10100000 0.038
2014-03-27 0.038 0.04 0.038 0.04 1500000 0.04
2014-03-28 0.039 0.039 0.038 0.039 2300000 0.039
2014-03-31 0.039 0.039 0.038 0.038 1800000 0.038
2014-04-01 0.038 0.038 0.038 0.038 2100000 0.038
2014-04-02 0.038 0.039 0.038 0.039 1900000 0.039
2014-04-03 0.039 0.039 0.039 0.039 0 0.039
2014-04-04 0.039 0.04 0.039 0.04 3300000 0.04
2014-04-07 0.041 0.041 0.041 0.041 1e+06 0.041
2014-04-08 0.039 0.042 0.039 0.041 6300000 0.041
2014-04-09 0.041 0.041 0.041 0.041 0 0.041
2014-04-10 0.04 0.042 0.04 0.04 17700000 0.04
2014-04-11 0.041 0.041 0.039 0.039 4500000 0.039
2014-04-14 0.04 0.04 0.04 0.04 1e+05 0.04
2014-04-15 0.041 0.043 0.039 0.041 17200000 0.041
2014-04-16 0.041 0.042 0.041 0.042 1600000 0.042
2014-04-17 0.042 0.042 0.042 0.042 0 0.042
2014-04-18 0.042 0.042 0.042 0.042 0 0.042
2014-04-21 0.043 0.043 0.041 0.041 5100000 0.041
2014-04-22 0.041 0.042 0.041 0.042 1e+06 0.042
2014-04-23 0.041 0.042 0.041 0.042 1400000 0.042
2014-04-24 0.041 0.041 0.04 0.041 3300000 0.041
2014-04-25 0.04 0.041 0.04 0.041 2100000 0.041
2014-04-28 0.04 0.04 0.04 0.04 1500000 0.04
2014-04-29 0.04 0.04 0.04 0.04 1200000 0.04
2014-04-30 0.04 0.04 0.04 0.04 5200000 0.04
2014-05-01 0.04 0.04 0.04 0.04 0 0.04
2014-05-02 0.039 0.041 0.039 0.041 1400000 0.041
2014-05-05 0.041 0.041 0.041 0.041 0 0.041
2014-05-06 0.04 0.04 0.04 0.04 2300000 0.04
2014-05-07 0.04 0.04 0.04 0.04 1700000 0.04
2014-05-08 0.04 0.04 0.04 0.04 5e+05 0.04
2014-05-09 0.039 0.039 0.039 0.039 1200000 0.039
2014-05-12 0.041 0.041 0.041 0.041 1e+05 0.041
2014-05-13 0.04 0.042 0.04 0.042 2200000 0.042
2014-05-14 0.042 0.042 0.042 0.042 0 0.042
2014-05-15 0.04 0.04 0.04 0.04 2e+05 0.04
2014-05-16 0.039 0.039 0.039 0.039 2e+05 0.039
2014-05-19 0.039 0.039 0.039 0.039 0 0.039
2014-05-20 0.039 0.039 0.039 0.039 6e+06 0.039
2014-05-21 0.039 0.039 0.038 0.039 1800000 0.039
2014-05-22 0.039 0.04 0.039 0.04 1500000 0.04
2014-05-23 0.039 0.04 0.039 0.04 1600000 0.04
2014-05-26 0.04 0.04 0.04 0.04 0 0.04
2014-05-27 0.038 0.039 0.038 0.039 1300000 0.039
2014-05-28 0.039 0.039 0.039 0.039 0 0.039
2014-05-29 0.038 0.039 0.038 0.039 8e+05 0.039
2014-05-30 0.038 0.039 0.037 0.039 1800000 0.039
2014-06-02 0.038 0.038 0.038 0.038 1e+05 0.038
2014-06-03 0.037 0.037 0.037 0.037 1e+06 0.037
2014-06-04 0.039 0.039 0.036 0.036 6700000 0.036
2014-06-05 0.037 0.037 0.037 0.037 2800000 0.037
2014-06-06 0.037 0.037 0.037 0.037 1800000 0.037
2014-06-09 0.039 0.039 0.039 0.039 5e+06 0.039
2014-06-10 0.039 0.054 0.039 0.043 196600000 0.043
2014-06-11 0.043 0.045 0.042 0.042 6600000 0.042
2014-06-12 0.042 0.042 0.042 0.042 0 0.042
2014-06-13 0.041 0.041 0.04 0.04 6800000 0.04
2014-06-16 0.039 0.041 0.039 0.041 1800000 0.041
2014-06-17 0.04 0.042 0.039 0.042 5200000 0.042
2014-06-18 0.042 0.043 0.04 0.04 7400000 0.04
2014-06-19 0.04 0.04 0.04 0.04 2e+06 0.04
2014-06-20 0.04 0.04 0.039 0.04 6e+06 0.04
2014-06-23 0.039 0.04 0.039 0.04 1300000 0.04
2014-06-24 0.04 0.04 0.04 0.04 5e+05 0.04
2014-06-25 0.041 0.041 0.041 0.041 5e+05 0.041
2014-06-26 0.041 0.041 0.041 0.041 0 0.041
2014-06-27 0.04 0.044 0.04 0.043 29200000 0.043
2014-06-30 0.042 0.044 0.042 0.043 7300000 0.043
2014-07-01 0.042 0.042 0.041 0.041 4400000 0.041
2014-07-02 0.041 0.043 0.041 0.042 6700000 0.042
2014-07-03 0.042 0.042 0.042 0.042 1400000 0.042
2014-07-04 0.042 0.042 0.042 0.042 0 0.042
2014-07-07 0.042 0.042 0.041 0.041 3100000 0.041
2014-07-08 0.041 0.042 0.041 0.042 8200000 0.042
2014-07-09 0.042 0.055 0.042 0.046 158800000 0.046
2014-07-10 0.049 0.049 0.048 0.048 2e+06 0.048
2014-07-11 0.045 0.045 0.044 0.045 11200000 0.045
2014-07-14 0.047 0.047 0.044 0.044 1700000 0.044
2014-07-15 0.045 0.045 0.043 0.043 3700000 0.043
2014-07-16 0.043 0.043 0.043 0.043 0 0.043
2014-07-17 0.043 0.043 0.043 0.043 0 0.043
2014-07-18 0.042 0.043 0.04 0.041 54500000 0.041
2014-07-21 0.043 0.043 0.041 0.041 3500000 0.041
2014-07-22 0.041 0.041 0.041 0.041 7e+05 0.041
2014-07-23 0.041 0.041 0.04 0.041 5700000 0.041
2014-07-24 0.041 0.043 0.041 0.041 10800000 0.041
2014-07-25 0.042 0.042 0.041 0.041 1400000 0.041
2014-07-28 0.041 0.042 0.04 0.042 6500000 0.042
2014-07-29 0.042 0.042 0.042 0.042 0 0.042
2014-07-30 0.041 0.041 0.041 0.041 5e+05 0.041
2014-07-31 0.04 0.04 0.04 0.04 1900000 0.04
2014-08-01 0.042 0.042 0.041 0.041 1700000 0.041
2014-08-04 0.041 0.042 0.041 0.041 16800000 0.041
2014-08-05 0.041 0.041 0.04 0.041 5600000 0.041
2014-08-06 0.041 0.041 0.04 0.041 4700000 0.041
2014-08-07 0.04 0.041 0.04 0.041 4400000 0.041
2014-08-08 0.04 0.04 0.04 0.04 3500000 0.04
2014-08-11 0.04 0.04 0.039 0.04 1e+07 0.04
2014-08-12 0.04 0.04 0.04 0.04 3e+06 0.04
2014-08-13 0.04 0.041 0.04 0.041 11900000 0.041
2014-08-14 0.042 0.042 0.041 0.041 2800000 0.041
2014-08-15 0.041 0.041 0.041 0.041 2e+06 0.041
2014-08-18 0.04 0.04 0.039 0.039 10100000 0.039
2014-08-19 0.04 0.04 0.04 0.04 1e+05 0.04
2014-08-20 0.039 0.039 0.039 0.039 1100000 0.039
2014-08-21 0.039 0.039 0.039 0.039 0 0.039
2014-08-22 0.039 0.039 0.039 0.039 3200000 0.039
2014-08-25 0.039 0.039 0.039 0.039 0 0.039
2014-08-26 0.041 0.044 0.04 0.042 117700000 0.042
2014-08-27 0.044 0.053 0.043 0.048 394900000 0.048
2014-08-28 0.049 0.05 0.046 0.049 189100000 0.049
2014-08-29 0.049 0.052 0.047 0.047 105100000 0.047
2014-09-01 0.048 0.049 0.046 0.048 18300000 0.048
2014-09-02 0.048 0.048 0.047 0.047 25600000 0.047
2014-09-03 0.048 0.048 0.046 0.046 18100000 0.046
2014-09-04 0.046 0.046 0.046 0.046 5900000 0.046
2014-09-05 0.046 0.047 0.046 0.047 18300000 0.047
2014-09-08 0.046 0.046 0.045 0.045 3e+06 0.045
2014-09-09 0.045 0.047 0.045 0.047 8600000 0.047
2014-09-10 0.045 0.047 0.045 0.047 20700000 0.047
2014-09-11 0.047 0.05 0.047 0.05 97800000 0.05
2014-09-12 0.051 0.051 0.049 0.049 37150000 0.049
2014-09-15 0.049 0.049 0.048 0.049 9300000 0.049
2014-09-16 0.048 0.049 0.048 0.048 9200000 0.048
2014-09-17 0.048 0.048 0.048 0.048 5400000 0.048
2014-09-18 0.048 0.048 0.047 0.048 7700000 0.048
2014-09-19 0.048 0.048 0.048 0.048 0 0.048
2014-09-22 0.047 0.047 0.047 0.047 4200000 0.047
2014-09-23 0.047 0.047 0.047 0.047 1400000 0.047
2014-09-24 0.047 0.047 0.046 0.046 14500000 0.046
2014-09-25 0.046 0.046 0.046 0.046 13900000 0.046
2014-09-26 0.046 0.046 0.046 0.046 2e+05 0.046
2014-09-29 0.045 0.047 0.045 0.046 6600000 0.046
2014-09-30 0.045 0.046 0.045 0.046 8800000 0.046
2014-10-01 0.046 0.046 0.045 0.046 25200000 0.046
2014-10-02 0.046 0.046 0.045 0.046 4900000 0.046
2014-10-03 0.046 0.046 0.046 0.046 1100000 0.046
2014-10-06 0.046 0.046 0.046 0.046 0 0.046
2014-10-07 0.046 0.049 0.046 0.048 11800000 0.048
2014-10-08 0.048 0.048 0.048 0.048 3700000 0.048
2014-10-09 0.048 0.048 0.047 0.047 6e+06 0.047
2014-10-10 0.046 0.046 0.046 0.046 1e+06 0.046
2014-10-13 0.045 0.045 0.045 0.045 1e+05 0.045
2014-10-14 0.046 0.046 0.045 0.045 5300000 0.045
2014-10-15 0.045 0.045 0.045 0.045 1600000 0.045
2014-10-16 0.044 0.044 0.044 0.044 7e+05 0.044
2014-10-17 0.044 0.044 0.044 0.044 0 0.044
2014-10-20 0.046 0.047 0.046 0.047 7200000 0.047
2014-10-21 0.045 0.047 0.043 0.047 8e+06 0.047
2014-10-22 0.043 0.046 0.043 0.045 4600000 0.045
2014-10-23 0.045 0.045 0.045 0.045 0 0.045
2014-10-24 0.045 0.047 0.045 0.045 32600000 0.045
2014-10-27 0.045 0.045 0.045 0.045 2500000 0.045
2014-10-28 0.045 0.046 0.045 0.045 2800000 0.045
2014-10-29 0.045 0.046 0.045 0.046 6700000 0.046
2014-10-30 0.047 0.048 0.047 0.048 14700000 0.048
2014-10-31 0.049 0.067 0.048 0.057 1312800000 0.057
2014-11-03 0.062 0.065 0.057 0.059 320730000 0.059
2014-11-04 0.059 0.059 0.051 0.053 179500000 0.053
2014-11-05 0.053 0.056 0.052 0.054 7.5e+07 0.054
2014-11-06 0.054 0.057 0.051 0.054 134330000 0.054
2014-11-07 0.054 0.054 0.052 0.052 35580000 0.052
2014-11-10 0.052 0.053 0.052 0.052 20810000 0.052
2014-11-11 0.052 0.057 0.052 0.054 82870000 0.054
2014-11-12 0.054 0.056 0.052 0.052 50240000 0.052
2014-11-13 0.052 0.053 0.052 0.053 6800000 0.053
2014-11-14 0.053 0.054 0.052 0.052 15950000 0.052
2014-11-17 0.053 0.053 0.052 0.052 19920000 0.052
