"Index" "FEW.Open" "FEW.High" "FEW.Low" "FEW.Close" "FEW.Volume" "FEW.Adjusted"
2014-10-21 2.409 2.409 2.409 2.409 0 2.409
2014-10-22 2.432 2.432 2.432 2.432 0 2.432
2014-10-23 2.436 2.436 2.436 2.436 0 2.436
2014-10-24 2.402 2.402 2.402 2.402 0 2.402
2014-10-27 2.434 2.434 2.434 2.434 0 2.434
2014-10-28 2.419 2.419 2.419 2.419 0 2.419
2014-10-29 2.419 2.419 2.419 2.419 0 2.419
2014-10-30 2.44 2.44 2.44 2.44 0 2.44
2014-10-31 2.439 2.439 2.439 2.439 0 2.439
2014-11-03 2.426 2.426 2.426 2.426 0 2.426
2014-11-04 2.391 2.391 2.391 2.391 0 2.391
2014-11-05 2.363 2.363 2.363 2.363 0 2.363
2014-11-06 2.363 2.363 2.363 2.363 0 2.363
2014-11-07 2.363 2.363 2.363 2.363 0 2.363
2014-11-10 2.372 2.372 2.372 2.372 0 2.372
2014-11-11 2.42 2.42 2.42 2.42 0 2.42
2014-11-12 2.415 2.415 2.415 2.415 0 2.415
2014-11-13 2.406 2.406 2.406 2.406 0 2.406
2014-11-14 2.404 2.404 2.404 2.404 0 2.404
2014-11-17 2.408 2.408 2.408 2.408 0 2.408
2014-11-18 2.359 2.359 2.359 2.359 0 2.359
2014-11-19 2.371 2.371 2.371 2.371 0 2.371
2014-11-20 2.354 2.354 2.354 2.354 0 2.354
2014-11-21 2.423 2.423 2.423 2.423 0 2.423
2014-11-24 2.411 2.411 2.411 2.411 0 2.411
2014-11-25 2.411 2.411 2.411 2.411 0 2.411
2014-11-26 2.415 2.415 2.415 2.415 0 2.415
2014-11-27 2.357 2.357 2.357 2.357 0 2.357
2014-11-28 2.416 2.416 2.416 2.416 0 2.416
2014-12-01 2.39 2.39 2.39 2.39 0 2.39
2014-12-02 2.389 2.389 2.389 2.389 0 2.389
2014-12-03 2.218 2.218 2.218 2.218 0 2.218
2014-12-04 1.916 1.916 1.916 1.916 0 1.916
2014-12-05 1.951 1.951 1.951 1.951 0 1.951
2014-12-08 1.968 1.968 1.968 1.968 0 1.968
2014-12-09 1.98 1.98 1.98 1.98 0 1.98
2014-12-10 1.985 1.985 1.985 1.985 0 1.985
2014-12-11 1.958 1.958 1.958 1.958 0 1.958
2014-12-12 1.955 1.955 1.955 1.955 0 1.955
2014-12-15 1.92 1.92 1.92 1.92 0 1.92
