"Index" "KRZ.Open" "KRZ.High" "KRZ.Low" "KRZ.Close" "KRZ.Volume" "KRZ.Adjusted"
2014-04-10 54.6 54.96 54.21 54.66 288300 54.1272
2014-04-11 55 55 53.5 54.08 306300 53.5529
2014-04-14 54.08 55.49 54.04 55.31 223000 54.7709
2014-04-15 55.5 55.99 55.07 55.86 274900 55.3155
2014-04-16 55.91 55.91 54.62 55.41 267900 54.8699
2014-04-17 55.28 55.36 54.65 54.7 105500 54.1668
2014-04-18 54.7 54.7 54.7 54.7 0 54.1668
2014-04-21 54.7 54.7 54.7 54.7 0 54.1668
2014-04-22 54.77 55.36 54.52 55.1 192100 54.5629
2014-04-23 55.5 55.5 54.84 55.11 178300 54.5728
2014-04-24 55.5 56.24 54.82 55.3 122900 54.761
2014-04-25 54.76 55.73 54.76 55.65 178500 55.1076
2014-04-28 55.6 56.44 55.6 56.42 273200 55.8701
2014-04-29 56.87 58 56.51 57.5 184700 56.9395
2014-04-30 57.5 57.85 56.72 56.9 311500 56.3454
2014-05-01 57 57.26 55.12 55.33 138900 54.7907
2014-05-02 55.85 56.39 55.27 55.8 193100 55.2561
2014-05-05 55.8 55.8 55.8 55.8 0 55.2561
2014-05-06 56.58 56.92 55.4 56.27 183000 55.7215
2014-05-07 56.4 56.4 55.76 55.9 294600 55.3551
2014-05-08 56.64 57.01 56.22 57.01 139000 56.4543
2014-05-09 57.17 57.43 55.75 56.09 381300 55.5433
2014-05-12 56.2 56.2 55.14 55.7 361500 55.1571
2014-05-13 55.39 55.67 54.23 54.5 361200 53.9688
2014-05-14 54.89 55 54 54.1 336800 53.5727
2014-05-15 54.09 54.85 52.63 53.55 449700 53.028
2014-05-16 54 54.49 53.05 54.26 366300 53.7311
2014-05-19 54.26 55.24 53.85 54.8 339100 54.2658
2014-05-20 54.67 55.33 54.41 55.2 226200 54.6619
2014-05-21 55 55.54 53.75 55.54 257500 54.9986
2014-05-22 55.6 56.18 54.78 54.97 199400 54.4342
2014-05-23 54.79 55.23 54.3 54.3 251400 53.7707
2014-05-26 54.4 56 53.8 55.25 76400 54.7115
2014-05-27 54.92 55.18 53.95 54.99 202200 54.454
2014-05-28 54.52 55.38 54.03 55.38 202400 54.8402
2014-05-29 55.3 55.5 54.68 55.5 64300 54.959
2014-05-30 54.92 56.37 54.75 55.85 1009400 55.3056
2014-06-02 55.85 55.85 55.85 55.85 0 55.3056
2014-06-03 57.23 57.49 55.29 55.58 243100 55.0382
2014-06-04 55.11 56.04 54.81 55.82 174400 55.2759
2014-06-05 56 56 55.16 55.91 117200 55.365
2014-06-06 56.23 56.23 54.95 55.65 1e+05 55.1076
2014-06-09 55.38 55.84 55 55.82 58300 55.2759
2014-06-10 54 56 54 55.79 239300 55.2462
2014-06-11 56 56.22 55.57 55.74 128300 55.1967
2014-06-12 55.45 55.9 55.45 55.74 65300 55.1967
2014-06-13 56 56 55.32 55.79 113900 55.2462
2014-06-16 55.18 55.74 55.08 55.58 182000 55.0382
2014-06-17 55.81 57.13 55.6 56.73 189700 56.177
2014-06-18 56.91 56.95 55.72 55.96 239800 55.4145
2014-06-19 56.12 56.5 55.01 55.8 154400 55.2561
2014-06-20 55.19 55.98 55.19 55.5 227700 54.959
2014-06-23 55.5 55.97 55 55.5 249800 54.959
2014-06-24 55.87 55.87 55.1 55.35 173600 54.8105
2014-06-25 55.35 55.35 54.07 54.35 226900 53.8202
2014-06-26 54.5 54.76 54.18 54.63 118200 54.0975
2014-06-27 54.95 55.04 54.39 54.5 221000 53.9688
2014-06-30 54.25 54.9 54.25 54.85 174500 54.3154
2014-07-01 54.47 54.91 54.47 54.7 221500 54.1668
2014-07-02 55.05 55.3711 54.78 55.36 196200 54.8204
2014-07-03 55.46 56.02 55.1 55.95 84000 55.4046
2014-07-04 55.85 56.18 55.45 55.45 72200 54.9095
2014-07-07 55.6 55.75 55.2 55.44 110000 54.8996
