"Index" "USD.EGP"
2015-05-10 7.6346
2015-05-11 7.6384
2015-05-12 7.63
2015-05-13 7.6291
2015-05-14 7.6281
2015-05-15 7.6278
2015-05-16 7.6256
2015-05-17 7.6313
2015-05-18 7.6296
2015-05-19 7.6292
2015-05-20 7.6288
2015-05-21 7.63
2015-05-22 7.63
2015-05-23 7.6332
2015-05-24 7.639
2015-05-25 7.6378
2015-05-26 7.629
2015-05-27 7.63
2015-05-28 7.6297
2015-05-29 7.6299
2015-05-30 7.6316
2015-05-31 7.6326
2015-06-01 7.6383
2015-06-02 7.63
2015-06-03 7.6303
2015-06-04 7.6302
2015-06-05 7.6303
2015-06-06 7.63
2015-06-07 7.6327
2015-06-08 7.6338
2015-06-09 7.6299
2015-06-10 7.6297
2015-06-11 7.6293
2015-06-12 7.6298
2015-06-13 7.6316
2015-06-14 7.6582
2015-06-15 7.6414
2015-06-16 7.6289
2015-06-17 7.63
2015-06-18 7.6291
2015-06-19 7.6278
2015-06-20 7.6242
2015-06-21 7.6113
2015-06-22 7.6221
2015-06-23 7.6291
2015-06-24 7.6285
2015-06-25 7.6282
2015-06-26 7.6282
2015-06-27 7.6234
2015-06-28 7.638
2015-06-29 7.67
2015-06-30 7.6307
2015-07-01 7.6326
2015-07-02 7.6717
2015-07-03 7.7273
2015-07-04 7.7218
2015-07-05 7.7334
2015-07-06 7.7723
2015-07-07 7.7862
2015-07-08 7.8293
2015-07-09 7.829
2015-07-10 7.8297
2015-07-11 7.8322
2015-07-12 7.8354
2015-07-13 7.8393
2015-07-14 7.8302
2015-07-15 7.83
2015-07-16 7.8302
2015-07-17 7.8302
2015-07-18 7.832
2015-07-19 7.8271
2015-07-20 7.831
2015-07-21 7.8298
2015-07-22 7.8297
2015-07-23 7.8302
2015-07-24 7.8299
2015-07-25 7.8322
2015-07-26 7.8316
2015-07-27 7.8266
2015-07-28 7.8301
2015-07-29 7.8299
2015-07-30 7.8295
2015-07-31 7.8287
2015-08-01 7.8296
2015-08-02 7.8297
2015-08-03 7.8304
2015-08-04 7.8284
2015-08-05 7.8288
2015-08-06 7.8296
2015-08-07 7.8301
2015-08-08 7.8257
2015-08-09 7.8257
2015-08-10 7.8298
2015-08-11 7.8291
2015-08-12 7.829
2015-08-13 7.8296
2015-08-14 7.8305
2015-08-15 7.8337
2015-08-16 7.833
2015-08-17 7.8337
2015-08-18 7.8291
2015-08-19 7.829
2015-08-20 7.8292
2015-08-21 7.8274
2015-08-22 7.825
2015-08-23 7.8255
2015-08-24 7.8195
2015-08-25 7.83
2015-08-26 7.8302
2015-08-27 7.83
2015-08-28 7.83
2015-08-29 7.8357
2015-08-30 7.8361
2015-08-31 7.8207
2015-09-01 7.8292
2015-09-02 7.829
2015-09-03 7.8292
2015-09-04 7.8279
2015-09-05 7.8281
2015-09-06 7.8248
2015-09-07 7.8276
2015-09-08 7.83
2015-09-09 7.8298
2015-09-10 7.8301
2015-09-11 7.8301
