"Index" "PE.Open" "PE.High" "PE.Low" "PE.Close" "PE.Volume" "PE.Adjusted"
2014-12-05 13.06 13.26 12.5 12.63 1142800 12.63
2014-12-08 12.47 12.63 11.11 11.26 1301000 11.26
2014-12-09 11.18 12.55 11.15 12.49 1829700 12.49
2014-12-10 12.07 12.37 11.76 11.9 2089800 11.9
2014-12-11 11.83 12.24 11.67 11.75 2161700 11.75
2014-12-12 11.43 11.87 11.24 11.51 2664000 11.51
2014-12-15 11.55 11.85 11.51 11.64 1310000 11.64
2014-12-16 11.48 12.55 11.4 12.37 1960500 12.37
2014-12-17 12.28 14.75 12.28 13.71 2112500 13.71
2014-12-18 13.92 14.785 13.53 14.59 2662500 14.59
2014-12-19 14.61 15.99 13.9 15.92 3682900 15.92
2014-12-22 15.62 16.370001 15.15 15.93 1737000 15.93
2014-12-23 15.97 16.466999 15.77 16.389999 1398100 16.389999
2014-12-24 16.1 16.23 15.53 16.02 586800 16.02
2014-12-26 16.129999 16.475 15.91 16.27 505600 16.27
2014-12-29 16.200001 16.68 15.965 16.41 1161100 16.41
2014-12-30 16.27 16.370001 15.379 15.63 1189000 15.63
2014-12-31 15.58 16 15 15.96 1167400 15.96
2015-01-02 15.92 16.5 15.39 16.02 1092500 16.02
2015-01-05 15.76 15.84 14.35 14.89 1588600 14.89
2015-01-06 14.7 15.13 13.91 14.06 1483600 14.06
2015-01-07 14.23 14.62 13.5 13.63 1727300 13.63
2015-01-08 13.77 14.875 13.71 14.5 1650600 14.5
2015-01-09 14.53 14.694 13.69 14.3 1613100 14.3
2015-01-12 14.3 14.48 13.43 13.73 1261600 13.73
2015-01-13 13.69 14.325 13.38 13.86 1559000 13.86
2015-01-14 13.75 15.04 13.44 14.97 2074700 14.97
2015-01-15 15.44 15.62 14.6 14.66 1651100 14.66
2015-01-16 14.68 15.81 14.67 15.72 1298700 15.72
2015-01-20 15.47 15.72 15 15.65 1201800 15.65
2015-01-21 15.65 17.07 15.628 16.620001 2414400 16.620001
2015-01-22 16.91 16.93 15.96 16.690001 1336300 16.690001
2015-01-23 16.59 17.035 16.34 16.83 1164800 16.83
2015-01-26 16.620001 17.139999 15.8 17.110001 1936700 17.110001
2015-01-27 16.709999 17.709999 16.33 17.09 1793700 17.09
2015-01-28 16.91 16.91 15.85 16.01 1259100 16.01
2015-01-29 16.139999 16.610001 14.895 16.549999 1808600 16.549999
2015-01-30 16.120001 17.1 15.66 16.77 1564000 16.77
2015-02-02 16.66 17.389999 16.040001 17.110001 2125700 17.110001
2015-02-03 17.75 18.34 16.99 18.290001 2721100 18.290001
2015-02-04 17.25 17.799999 16.870001 17.709999 1837900 17.709999
2015-02-05 17.85 18.26 17.379999 17.620001 1057600 17.620001
2015-02-06 17.65 18.219999 15.88 17.59 7686800 17.59
2015-02-09 17.440001 17.73 16.610001 16.65 1594900 16.65
2015-02-10 16.65 16.795 15.5 16.309999 2686400 16.309999
2015-02-11 16.190001 16.9 15.39 16.200001 2586700 16.200001
2015-02-12 16.610001 17.25 16.120001 16.48 2032700 16.48
2015-02-13 16.549999 17.33 16.49 17.280001 1375400 17.280001
