"Index" "FH.Open" "FH.High" "FH.Low" "FH.Close" "FH.Volume" "FH.Adjusted"
2015-01-08 3.55 3.55 3.55 3.55 0 3.26055
2015-01-12 3.5 3.5 3.5 3.5 21300 3.21463
2015-01-13 3.5 3.5 3.5 3.5 0 3.21463
2015-01-14 3.5 3.5 3.5 3.5 0 3.21463
2015-01-15 3.2 3.2 3.15 3.15 41000 2.89317
2015-01-19 3.15 3.15 3.15 3.15 0 2.89317
2015-01-20 3.15 3.15 3.15 3.15 0 2.89317
2015-01-21 3.18 3.5 3.18 3.49 111800 3.20545
2015-01-22 3.34 3.34 3.34 3.34 5100 3.06768
2015-01-26 3.34 3.34 3.34 3.34 0 3.06768
2015-01-27 3.34 3.34 3.34 3.34 0 3.06768
2015-01-28 3.34 3.34 3.34 3.34 0 3.06768
2015-01-29 3.34 3.34 3.34 3.34 0 3.06768
2015-02-02 3.21 3.45 3.21 3.44 41100 3.15953
2015-02-03 3.44 3.44 3.44 3.44 0 3.15953
2015-02-04 3.44 3.44 3.44 3.44 0 3.15953
2015-02-05 3.45 3.45 3.45 3.45 7000 3.16871
2015-02-09 3.3 3.3 3.3 3.3 39100 3.03094
2015-02-10 3.33 3.44 3.33 3.44 58400 3.15953
2015-02-11 3.44 3.44 3.44 3.44 0 3.15953
2015-02-12 3.32 3.32 3.32 3.32 19000 3.04931
2015-02-16 3.32 3.32 3.32 3.32 0 3.04931
2015-02-17 3.32 3.32 3.32 3.32 0 3.04931
2015-02-18 3.23902 3.23902 3.23902 3.23902 0 2.97493
2015-02-19 3.23902 3.23902 3.23902 3.23902 0 2.97493
2015-02-23 3.23902 3.23902 3.23902 3.23902 0 2.97493
2015-02-24 3.23902 3.23902 3.23902 3.23902 0 2.97493
2015-02-25 3.19024 3.39512 3.19024 3.39512 60400 3.11831
2015-02-26 3.39512 3.39512 3.39512 3.39512 0 3.11831
2015-03-02 3.39512 3.39512 3.39512 3.39512 0 3.11831
2015-03-03 3.13171 3.38537 3.13171 3.21951 60400 2.95701
2015-03-04 3.12195 3.26829 3.12195 3.26829 22300 3.00182
2015-03-05 3.26829 3.26829 3.26829 3.26829 7300 3.00182
2015-03-09 3.26829 3.26829 3.26829 3.26829 0 3.00182
2015-03-10 3.26829 3.26829 3.26829 3.26829 0 3.00182
2015-03-11 3.26829 3.26829 3.26829 3.26829 0 3.00182
2015-03-12 3.26829 3.26829 3.26829 3.26829 0 3.00182
2015-03-16 3.06341 3.06341 3.02439 3.02439 25300 2.7778
2015-03-17 3.02439 3.02439 3.02439 3.02439 0 2.7778
