"Index" "RG.Open" "RG.High" "RG.Low" "RG.Close" "RG.Volume" "RG.Adjusted"
2014-10-31 321.95 321.95 321.95 321.95 0 321.95
2014-11-03 322.43 322.43 322.43 322.43 0 322.43
2014-11-04 323.94 323.94 323.94 323.94 0 323.94
2014-11-05 327.42 327.42 327.42 327.42 0 327.42
2014-11-06 326.05 326.05 326.05 326.05 0 326.05
2014-11-07 324.91 324.91 324.91 324.91 0 324.91
2014-11-10 324.47 324.47 324.47 324.47 0 324.47
2014-11-11 321.16 321.16 321.16 321.16 0 321.16
2014-11-12 317.43 317.43 317.43 317.43 0 317.43
2014-11-13 316.92 316.92 316.92 316.92 0 316.92
2014-11-14 313.89 313.89 313.89 313.89 0 313.89
2014-11-17 313.89 313.89 313.89 313.89 0 313.89
2014-11-18 311.56 311.56 311.56 311.56 0 311.56
2014-11-19 317.5 317.5 317.5 317.5 0 317.5
2014-11-20 319.34 319.34 319.34 319.34 0 319.34
2014-11-21 318.69 318.69 318.69 318.69 0 318.69
2014-11-24 318.58 318.58 318.58 318.58 0 318.58
2014-11-25 317.78 317.78 317.78 317.78 0 317.78
2014-11-26 316.24 316.24 316.24 316.24 0 316.24
2014-11-27 317.12 317.12 317.12 317.12 0 317.12
2014-11-28 317.28 317.28 317.28 317.28 0 317.28
2014-12-01 312.23 312.23 312.23 312.23 0 312.23
2014-12-02 307.99 307.99 307.99 307.99 0 307.99
2014-12-03 307.54 307.54 307.54 307.54 0 307.54
2014-12-04 305.61 305.61 305.61 305.61 0 305.61
2014-12-05 305.19 305.19 305.19 305.19 0 305.19
2014-12-08 301.31 301.31 301.31 301.31 0 301.31
2014-12-09 296.5 296.5 296.5 296.5 0 296.5
2014-12-10 292.48 292.48 292.48 292.48 0 292.48
2014-12-11 293.74 293.74 293.74 293.74 0 293.74
2014-12-12 293.74 293.74 293.74 293.74 0 293.74
2014-12-15 287.23 287.23 287.23 287.23 0 287.23
2014-12-16 285.67 285.67 285.67 285.67 0 285.67
