"Index" "EPN.Open" "EPN.High" "EPN.Low" "EPN.Close" "EPN.Volume" "EPN.Adjusted"
2014-05-16 32.783 32.783 32.783 32.783 0 32.011
2014-05-19 33.089 33.089 33.089 33.089 0 32.31
2014-05-20 32.98 32.98 32.98 32.98 0 32.204
2014-05-21 32.287 32.287 32.287 32.287 0 31.527
2014-05-22 32.432 32.432 32.432 32.432 0 31.669
2014-05-23 32.66 32.66 32.66 32.66 0 31.891
2014-05-26 33.171 33.171 33.171 33.171 0 32.39
2014-05-27 33.165 33.165 33.165 33.165 0 32.384
2014-05-28 32.27 32.27 32.27 32.27 0 31.511
2014-05-29 32.631 32.631 32.631 32.631 0 31.863
2014-05-30 32.852 32.852 32.852 32.852 0 32.079
2014-06-02 32.258 32.258 32.258 32.258 0 31.499
2014-06-03 32.37 32.37 32.37 32.37 0 31.608
2014-06-04 32.891 32.891 32.891 32.891 0 32.117
2014-06-05 33.117 33.117 33.117 33.117 0 32.338
2014-06-06 33.171 33.171 33.171 33.171 0 32.39
2014-06-09 33.068 33.068 33.068 33.068 0 32.29
2014-06-10 32.854 32.854 32.854 32.854 0 32.081
2014-06-11 32.979 32.979 32.979 32.979 0 32.203
2014-06-12 32.851 32.851 32.851 32.851 0 32.078
2014-06-13 33.086 33.086 33.086 33.086 0 32.307
2014-06-16 32.407 32.407 32.407 32.407 0 31.644
2014-06-17 32.225 32.225 32.225 32.225 0 31.467
2014-06-18 31.892 31.892 31.892 31.892 0 31.141
2014-06-19 32.52 32.52 32.52 32.52 0 31.755
2014-06-20 32.611 32.611 32.611 32.611 0 31.843
2014-06-23 32.682 32.682 32.682 32.682 0 31.913
2014-06-24 32.686 32.686 32.686 32.686 0 31.917
2014-06-25 32.695 32.695 32.695 32.695 0 31.926
2014-06-26 33.283 33.283 33.283 33.283 0 32.5
2014-06-27 32.916 32.916 32.916 32.916 0 32.141
2014-06-30 32.805 32.805 32.805 32.805 0 32.033
2014-07-01 32.967 32.967 32.967 32.967 0 32.191
2014-07-02 32.898 32.898 32.898 32.898 0 32.124
2014-07-03 33.304 33.304 33.304 33.304 0 32.52
2014-07-04 33.669 33.669 33.669 33.669 0 32.877
2014-07-07 33.716 33.716 33.716 33.716 0 32.922
2014-07-08 33.542 33.542 33.542 33.542 0 32.753
2014-07-09 33.789 33.789 33.789 33.789 0 32.994
2014-07-10 34.299 34.299 34.299 34.299 0 33.492
2014-07-11 34.305 34.305 34.305 34.305 0 33.498
2014-07-14 34.408 34.408 34.408 34.408 0 33.598
2014-07-15 33.995 33.995 33.995 33.995 0 33.195
2014-07-16 34.014 34.014 34.014 34.014 0 33.213
2014-07-17 34.338 34.338 34.338 34.338 0 33.53
2014-07-18 33.627 33.627 33.627 33.627 0 32.836
2014-07-21 33.548 33.548 33.548 33.548 0 32.758
2014-07-22 34.112 34.112 34.112 34.112 0 33.309
2014-07-23 34.388 34.388 34.388 34.388 0 33.579
2014-07-24 34.414 34.414 34.414 34.414 0 33.604
2014-07-25 34.505 34.505 34.505 34.505 0 33.693
2014-07-28 34.567 34.567 34.567 34.567 0 33.753
2014-07-29 34.745 34.745 34.745 34.745 0 33.927
2014-07-30 34.751 34.751 34.751 34.751 0 33.933
2014-07-31 33.56 33.56 33.56 33.56 0 32.77
2014-08-01 33.275 33.275 33.275 33.275 0 32.492
2014-08-04 34.025 34.025 34.025 34.025 0 33.224
2014-08-05 34.192 34.192 34.192 34.192 0 33.387
2014-08-06 34.209 34.209 34.209 34.209 0 33.404
2014-08-07 34.104 34.104 34.104 34.104 0 33.301
2014-08-08 33.942 33.942 33.942 33.942 0 33.143
2014-08-11 34.094 34.094 34.094 34.094 0 33.292
2014-08-12 34.348 34.348 34.348 34.348 0 33.54
2014-08-13 34.312 34.312 34.312 34.312 0 33.504
2014-08-14 34.503 34.503 34.503 34.503 0 33.691
2014-08-15 34.708 34.708 34.708 34.708 0 33.891
2014-08-18 34.611 34.611 34.611 34.611 0 33.796
2014-08-19 34.729 34.729 34.729 34.729 0 33.912
2014-08-20 34.14 34.14 34.14 34.14 0 33.337
2014-08-21 34.439 34.439 34.439 34.439 0 33.628
2014-08-22 34.363 34.363 34.363 34.363 0 33.554
2014-08-25 34.405 34.405 34.405 34.405 0 33.595
2014-08-26 34.448 34.448 34.448 34.448 0 33.637
2014-08-27 34.192 34.192 34.192 34.192 0 33.387
2014-08-28 34.232 34.232 34.232 34.232 0 33.426
2014-08-29 33.855 33.855 33.855 33.855 0 33.058
2014-09-01 34.897 34.897 34.897 34.897 0 34.076
2014-09-02 34.951 34.951 34.951 34.951 0 34.128
2014-09-03 36.179 36.179 36.179 36.179 0 35.328
2014-09-04 36.336 36.336 36.336 36.336 0 35.481
2014-09-05 36.404 36.404 36.404 36.404 0 35.547
2014-09-08 36.889 36.889 36.889 36.889 0 36.021
2014-09-09 36.363 36.363 36.363 36.363 0 35.507
2014-09-10 36.119 36.119 36.119 36.119 0 35.269
2014-09-11 36.9 36.9 36.9 36.9 0 36.032
2014-09-12 36.05 36.05 36.05 36.05 0 35.202
2014-09-15 35.101 35.101 35.101 35.101 0 34.275
2014-09-16 34.418 34.418 34.418 34.418 0 33.608
2014-09-17 35.323 35.323 35.323 35.323 0 34.492
2014-09-18 35.176 35.176 35.176 35.176 0 34.348
2014-09-19 35.135 35.135 35.135 35.135 0 34.308
2014-09-22 34.36 34.36 34.36 34.36 0 33.551
2014-09-23 34.517 34.517 34.517 34.517 0 33.705
2014-09-24 34.154 34.154 34.154 34.154 0 33.35
2014-09-25 34.695 34.695 34.695 34.695 0 33.878
2014-09-26 34.626 34.626 34.626 34.626 0 33.811
2014-09-29 34.546 34.546 34.546 34.546 0 33.733
2014-09-30 34.526 34.526 34.526 34.526 0 33.713
2014-10-01 34.714 34.714 34.714 34.714 0 33.897
2014-10-02 33.993 33.993 33.993 33.993 0 33.193
2014-10-03 33.993 33.993 33.993 33.993 0 33.193
2014-10-06 35.307 35.307 35.307 35.307 0 34.476
2014-10-07 34.976 34.976 34.976 34.976 0 34.153
2014-10-08 35.145 35.145 35.145 35.145 0 34.318
2014-10-09 35.058 35.058 35.058 35.058 0 34.233
2014-10-10 34.74 34.74 34.74 34.74 0 33.922
2014-10-13 34.173 34.173 34.173 34.173 0 33.369
2014-10-14 34.756 34.756 34.756 34.756 0 33.938
2014-10-15 34.785 34.785 34.785 34.785 0 33.966
2014-10-16 33.672 33.672 33.672 33.672 0 32.88
2014-10-17 33.662 33.662 33.662 33.662 0 32.87
2014-10-20 33.365 33.365 33.365 33.365 0 32.58
2014-10-21 33.472 33.472 33.472 33.472 0 32.684
2014-10-22 34.301 34.301 34.301 34.301 0 33.494
2014-10-23 35.16 35.16 35.16 35.16 0 34.333
2014-10-24 34.961 34.961 34.961 34.961 0 34.138
2014-10-27 35.749 35.749 35.749 35.749 0 34.908
2014-10-28 35.487 35.487 35.487 35.487 0 34.652
2014-10-29 35.73 35.73 35.73 35.73 0 34.889
