"Index" "NS.Open" "NS.High" "NS.Low" "NS.Close" "NS.Volume" "NS.Adjusted"
2014-04-08 53.91 54.82 53.880001 54.23 735800 47.495329
2014-04-09 54.200001 55.790001 53.810001 54.720001 2928300 47.924479
2014-04-10 55 55.27 53.849998 54.049999 211700 47.337683
2014-04-11 54.119999 55.029999 54.119999 54.810001 272600 48.003302
2014-04-14 55 55.299999 54.299999 54.380001 282800 47.626703
2014-04-15 54.43 54.669998 54.02 54.389999 248300 47.635459
2014-04-16 54.75 54.75 54.189999 54.709999 476900 47.915719
2014-04-17 54.869999 55.790001 54.43 55.099998 422900 48.257286
2014-04-21 55.32 56.200001 55.25 55.639999 290800 48.730225
2014-04-22 55.66 56.700001 55.450001 56.380001 356700 49.378328
2014-04-23 56.509998 57.490002 56.509998 56.950001 702700 49.877541
2014-04-24 57.630001 57.939999 56.75 57.900002 590100 50.709564
2014-04-25 57.759998 57.869999 57.049999 57.669998 384900 50.508124
2014-04-28 57.93 58.580002 57.720001 58.169998 1071300 50.946031
2014-04-29 58.220001 59.450001 58.18 58.599998 603700 51.32263
2014-04-30 58.75 58.799999 58.07 58.360001 233300 51.112437
2014-05-01 58.5 58.900002 58.130001 58.709999 313700 51.41897
2014-05-02 58.98 59 57.75 57.91 322600 50.718321
2014-05-05 56.950001 57.549999 56.43 57.459999 293300 51.294107
2014-05-06 57.400002 57.900002 56.5 57.18 276100 51.044154
2014-05-07 57.400002 57.889999 56.84 57.799999 966300 51.597623
2014-05-08 57.919998 58 56.07 57.119999 444200 50.990592
2014-05-09 57.119999 57.580002 56.700001 57.330002 268200 51.17806
2014-05-12 57.189999 58.240002 57.139999 58.049999 294600 51.820796
2014-05-13 58.25 58.349998 57.549999 58.099998 376500 51.86543
2014-05-14 58.189999 58.439999 57.549999 58.419998 234300 52.151091
2014-05-15 58.150002 58.669998 57.849998 58.669998 237900 52.374264
2014-05-16 58.790001 59 58.400002 58.959999 186200 52.633146
2014-05-19 59.209999 59.279999 58.540001 59.060001 734000 52.722417
2014-05-20 59.18 59.380001 58.889999 59.220001 391700 52.865248
2014-05-21 59.34 59.34 58.290001 58.810001 287200 52.499244
2014-05-22 59 59.299999 58.400002 58.619999 253500 52.32963
2014-05-23 58.580002 58.599998 57.950001 58.200001 204100 51.954701
2014-05-27 58.5 58.790001 57.279999 57.52 335500 51.34767
2014-05-28 57.52 57.630001 56.75 57.080002 429600 50.954886
2014-05-29 57.07 57.759998 56.990002 57.759998 261400 51.561914
2014-05-30 57.860001 58.220001 57.75 58.02 226800 51.794016
2014-06-02 58.34 58.459999 57.900002 58.220001 213100 51.972555
2014-06-03 58.389999 59.150002 58.130001 58.419998 297400 52.151091
2014-06-04 58.439999 59.299999 58.360001 59.02 458900 52.686709
2014-06-05 59 60.880001 58.900002 60.799999 794500 54.2757
2014-06-06 60.759998 62.049999 59.869999 61.759998 708600 55.132684
2014-06-09 61.75 61.75 60.34 60.580002 357400 54.07931
2014-06-10 60.639999 60.880001 60.080002 60.529999 200200 54.034673
2014-06-11 60.369999 60.580002 60.009998 60.389999 263900 53.909696
2014-06-12 60.650002 60.720001 60 60.25 216400 53.78472
2014-06-13 60.200001 61.200001 59.549999 60.73 346800 54.213212
2014-06-16 60.98 61.439999 60.369999 60.799999 253700 54.2757
2014-06-17 60.299999 61.41 60.299999 60.830002 254300 54.302483
2014-06-18 60.900002 60.98 59.5 59.799999 334500 53.383008
2014-06-19 59.66 60.09 59.43 59.939999 219200 53.507984
2014-06-20 60 60.23 58.349998 58.790001 818200 52.48139
2014-06-23 58.860001 60.880001 58.860001 60.580002 535000 54.07931
2014-06-24 60.790001 61.799999 60.259998 61.060001 595500 54.507802
2014-06-25 60.709999 61.439999 60.709999 61 282800 54.454239
2014-06-26 61.16 61.529999 60.740002 61.389999 506300 54.802389
2014-06-27 61.369999 62.880001 60.880001 61.919998 1557300 55.275515
2014-06-30 61.740002 62.139999 61.099998 62.009998 429100 55.355857
2014-07-01 61.77 62.66 61.630001 62.549999 319700 55.837912
2014-07-02 62.630001 65.290001 61.299999 64.839996 860700 57.882175
2014-07-03 64.639999 65.949997 63.57 64 648000 57.132317
2014-07-07 63.990002 63.990002 62.560001 63.689999 787600 56.855581
2014-07-08 63.5 63.990002 62.580002 62.970001 432700 56.212844
2014-07-09 62.970001 65.400002 62.77 65.199997 575900 58.203545
2014-07-10 64.690002 65.360001 64.150002 64.949997 421900 57.980372
2014-07-11 65.040001 65.809998 64.400002 65.25 754500 58.248182
2014-07-14 65.400002 65.400002 64.010002 64.879997 278800 57.917883
2014-07-15 64.900002 67.099998 64.760002 66.760002 1864300 59.59615
2014-07-16 66.75 68.330002 66.330002 67.120003 1010100 59.917519
2014-07-17 66.68 68 66.5 66.849998 581500 59.676489
2014-07-18 67.339996 67.669998 64.529999 65.110001 1319600 58.123206
2014-07-21 65.260002 65.989998 64.410004 64.709999 773000 57.766127
2014-07-22 65.089996 65.870003 63.810001 64.269997 613300 57.373341
2014-07-23 64.269997 64.550003 63.889999 64.269997 382700 57.373341
2014-07-24 64.199997 64.800003 63.139999 64.199997 714100 57.310852
2014-07-25 64.919998 65.900002 64 65.349998 571200 58.33745
2014-07-28 66.260002 67 65.489998 65.769997 441200 58.712379
2014-07-29 65.949997 66.349998 65.25 65.449997 310800 58.426718
2014-07-30 65.860001 65.980003 63.66 64 525600 57.132317
2014-07-31 63.91 64.139999 61.810001 62.84 517400 56.096793
2014-08-01 62.540001 63.57 62.200001 63.240002 371200 56.453872
2014-08-04 62.18 62.98 61.799999 62.529999 375500 56.803611
2014-08-05 62.48 62.52 61.669998 61.98 412100 56.30398
2014-08-06 61.900002 62.32 61.02 61.759998 472600 56.104126
2014-08-07 62.130001 62.98 61.759998 62.119999 476200 56.431158
2014-08-08 62.459999 63.310001 61.669998 63.130001 233700 57.348666
2014-08-11 63.360001 64.900002 63.139999 63.990002 517200 58.12991
2014-08-12 64.150002 64.860001 63.990002 64.07 278600 58.202582
2014-08-13 64.050003 64.599998 63.849998 64.129997 156000 58.257085
2014-08-14 64.360001 64.699997 64.110001 64.209999 252300 58.32976
2014-08-15 64.099998 64.5 63.720001 64.400002 363000 58.502362
2014-08-18 64.449997 65 64.290001 64.970001 348600 59.020163
2014-08-19 65 65.25 64.779999 65.089996 310000 59.129169
2014-08-20 65.089996 65.25 64.900002 64.989998 192800 59.038328
2014-08-21 65.129997 65.639999 64.989998 65.480003 239700 59.48346
2014-08-22 65.529999 65.730003 65.300003 65.349998 182100 59.36536
2014-08-25 65.57 65.620003 64.739998 64.989998 204900 59.038328
2014-08-26 65.309998 65.720001 65.019997 65.639999 314500 59.628803
2014-08-27 65.800003 66.029999 65.419998 65.510002 201100 59.510711
2014-08-28 65.5 66.269997 65.5 65.650002 187800 59.63789
2014-08-29 65.879997 66.169998 65.629997 66.089996 251000 60.03759
2014-09-02 66.010002 66.339996 65.940002 66.089996 344800 60.03759
2014-09-03 66.18 66.230003 65.599998 65.730003 200400 59.710565
2014-09-04 65.760002 66.470001 65.120003 66.290001 211500 60.219279
2014-09-05 66.300003 66.919998 66.150002 66.769997 264000 60.655318
2014-09-08 66.68 67.389999 66.540001 66.940002 335400 60.809754
2014-09-09 66.860001 67.550003 66.620003 67.110001 274300 60.964185
2014-09-10 67.230003 67.5 66.830002 67.080002 307400 60.936933
2014-09-11 67.089996 67.730003 66.68 67.059998 343900 60.918761
2014-09-12 67.059998 67.059998 65.059998 65.190002 335500 59.220016
2014-09-15 65.029999 65.099998 62.619999 64.050003 462100 58.184416
2014-09-16 63.790001 65.519997 63.790001 65.25 445800 59.27452
2014-09-17 65.199997 65.610001 64.470001 65.239998 250200 59.265433
2014-09-18 65.389999 66.199997 64.68 65.779999 275400 59.755982
