"Index" "CUS.Open" "CUS.High" "CUS.Low" "CUS.Close" "CUS.Volume" "CUS.Adjusted"
2013-10-10 2.869 2.869 2.869 2.869 0 2.869
2013-10-11 2.95 2.95 2.95 2.95 0 2.95
2013-10-14 3.108 3.108 3.108 3.108 0 3.108
2013-10-15 3.122 3.122 3.122 3.122 0 3.122
2013-10-16 3.104 3.104 3.038 3.058 2000 3.058
2013-10-17 3.094 3.094 3.094 3.094 0 3.094
2013-10-18 3.212 3.212 3.212 3.212 0 3.212
2013-10-21 3.321 3.321 3.321 3.321 0 3.321
2013-10-22 3.321 3.321 3.321 3.321 0 3.321
2013-10-23 3.202 3.202 3.202 3.202 0 3.202
2013-10-24 3.202 3.202 3.202 3.202 0 3.202
2013-10-25 3.202 3.202 3.148 3.148 0 3.148
2013-10-28 3.148 3.148 3.148 3.148 0 3.148
2013-10-29 3.114 3.114 3.114 3.114 0 3.114
2013-10-30 3.114 3.114 3.114 3.114 0 3.114
2013-10-31 2.926 2.926 2.926 2.926 0 2.926
2013-11-01 2.929 2.929 2.929 2.929 0 2.929
2013-11-04 2.929 2.929 2.929 2.929 0 2.929
2013-11-05 2.929 2.929 2.929 2.929 0 2.929
2013-11-06 2.921 2.921 2.175 2.18 500 2.18
2013-11-07 2.132 2.132 2.132 2.132 0 2.132
2013-11-08 2.155 2.155 2.115 2.115 500 2.115
2013-11-11 2.076 2.076 2.076 2.076 0 2.076
2013-11-12 2.111 2.111 2.111 2.111 0 2.111
2013-11-13 2.111 2.111 2.111 2.111 0 2.111
2013-11-14 2.107 2.107 2.107 2.107 0 2.107
2013-11-15 2.115 2.115 2.115 2.115 0 2.115
2013-11-18 2.109 2.109 2.109 2.109 0 2.109
2013-11-19 2.051 2.051 2.051 2.051 0 2.051
2013-11-20 2.043 2.043 2.043 2.043 0 2.043
2013-11-21 2.043 2.043 2.043 2.043 0 2.043
2013-11-22 2.043 2.043 2.043 2.043 0 2.043
2013-11-25 2.071 2.071 2.071 2.071 0 2.071
2013-11-26 2.314 2.314 2.314 2.314 0 2.314
2013-11-27 2.404 2.404 2.404 2.404 0 2.404
2013-11-28 2.451 2.451 2.451 2.451 0 2.451
2013-11-29 2.451 2.451 2.451 2.451 0 2.451
2013-12-02 2.376 2.376 2.376 2.376 0 2.376
2013-12-03 2.376 2.376 2.376 2.376 0 2.376
2013-12-04 2.511 2.511 2.511 2.511 0 2.511
2013-12-05 2.453 2.453 2.453 2.453 0 2.453
2013-12-06 2.613 2.613 2.613 2.613 0 2.613
2013-12-09 2.529 2.529 2.529 2.529 0 2.529
2013-12-10 2.051 2.051 2.051 2.051 0 2.051
2013-12-11 2.032 2.032 2.032 2.032 0 2.032
2013-12-12 1.801 1.801 1.801 1.801 0 1.801
2013-12-13 1.826 1.826 1.826 1.826 0 1.826
2013-12-16 1.826 1.826 1.826 1.826 0 1.826
2013-12-17 1.837 1.837 1.837 1.837 0 1.837
2013-12-18 1.837 1.837 1.837 1.837 0 1.837
2013-12-19 1.845 1.845 1.845 1.845 0 1.845
2013-12-20 1.994 1.994 1.994 1.994 0 1.994
2013-12-23 2.05 2.05 2.05 2.05 0 2.05
2013-12-24 2.05 2.05 2.05 2.05 0 2.05
2013-12-25 2.05 2.05 2.05 2.05 0 2.05
2013-12-26 2.05 2.05 2.05 2.05 0 2.05
2013-12-27 2.05 2.05 2.05 2.05 0 2.05
2013-12-30 2.05 2.082 2.05 2.082 0 2.082
2013-12-31 2.082 2.082 2.082 2.082 0 2.082
2014-01-01 2.082 2.082 2.082 2.082 0 2.082
2014-01-02 2.071 2.071 2.071 2.071 0 2.071
2014-01-03 2.075 2.075 2.075 2.075 0 2.075
2014-01-06 2.142 2.183 2.142 2.183 1000 2.183
2014-01-07 2.183 2.186 2.183 2.186 0 2.186
2014-01-08 2.186 2.186 2.186 2.186 0 2.186
2014-01-09 2.186 2.186 2.186 2.186 0 2.186
2014-01-10 2.186 2.186 2.186 2.186 0 2.186
2014-01-13 2.163 2.163 2.163 2.163 0 2.163
2014-01-14 2.175 2.175 2.175 2.175 0 2.175
2014-01-15 2.246 2.246 2.246 2.246 0 2.246
2014-01-16 2.293 2.293 2.293 2.293 0 2.293
2014-01-17 2.28 2.28 2.28 2.28 0 2.28
2014-01-20 2.28 2.28 2.28 2.28 0 2.28
2014-01-21 2.28 2.28 2.28 2.28 0 2.28
2014-01-22 2.28 2.28 2.28 2.28 0 2.28
2014-01-23 2.28 2.28 2.28 2.28 0 2.28
2014-01-24 2.188 2.188 2.188 2.188 0 2.188
2014-01-27 2.147 2.147 2.058 2.058 700 2.058
2014-01-28 2.127 2.127 2.127 2.127 0 2.127
2014-01-29 2.195 2.195 2.195 2.195 0 2.195
2014-01-30 2.161 2.161 2.161 2.161 0 2.161
2014-01-31 2.161 2.161 2.161 2.161 0 2.161
2014-02-03 2.125 2.125 2.125 2.125 0 2.125
2014-02-04 2.029 2.029 2.029 2.029 0 2.029
2014-02-05 2.029 2.029 2.029 2.029 0 2.029
2014-02-06 2.01 2.01 2.01 2.01 0 2.01
2014-02-07 2.007 2.007 2.007 2.007 0 2.007
2014-02-10 2.067 2.067 2.067 2.067 0 2.067
2014-02-11 2.168 2.168 2.168 2.168 0 2.168
2014-02-12 2.212 2.212 2.212 2.212 0 2.212
2014-02-13 2.182 2.182 2.182 2.182 0 2.182
2014-02-14 2.182 2.182 2.182 2.182 0 2.182
2014-02-17 2.182 2.182 2.182 2.182 0 2.182
2014-02-18 2.182 2.182 2.182 2.182 0 2.182
2014-02-19 2.213 2.266 2.213 2.266 1000 2.266
2014-02-20 2.182 2.301 2.182 2.301 600 2.301
2014-02-21 2.315 2.315 2.315 2.315 0 2.315
2014-02-24 2.378 2.378 2.378 2.378 0 2.378
2014-02-25 2.4 2.4 2.4 2.4 0 2.4
2014-02-26 2.392 2.392 2.392 2.392 0 2.392
2014-02-27 2.392 2.392 2.392 2.392 0 2.392
2014-02-28 2.371 2.371 2.371 2.371 0 2.371
2014-03-03 2.215 2.215 2.215 2.215 0 2.215
2014-03-04 2.165 2.165 2.165 2.165 0 2.165
2014-03-05 2.253 2.253 2.253 2.253 0 2.253
2014-03-06 2.253 2.253 2.253 2.253 0 2.253
2014-03-07 2.165 2.165 2.165 2.165 0 2.165
2014-03-10 2.15 2.15 2.15 2.15 0 2.15
2014-03-11 2.2 2.2 2.2 2.2 0 2.2
2014-03-12 2.2 2.2 2.2 2.2 0 2.2
2014-03-13 2.249 2.249 2.249 2.249 0 2.249
2014-03-14 2.249 2.249 2.249 2.249 0 2.249
2014-03-17 2.22 2.22 2.22 2.22 0 2.22
2014-03-18 2.267 2.267 2.267 2.267 0 2.267
2014-03-19 2.362 2.362 2.362 2.362 0 2.362
2014-03-20 2.335 2.335 2.335 2.335 0 2.335
2014-03-21 2.32 2.32 2.32 2.32 0 2.32
2014-03-24 2.278 2.278 2.278 2.278 0 2.278
2014-03-25 2.085 2.085 2.085 2.085 0 2.085
2014-03-26 2.085 2.085 2.005 2.005 200 2.005
2014-03-27 1.987 1.987 1.987 1.987 0 1.987
2014-03-28 2.056 2.056 2.056 2.056 0 2.056
2014-03-31 2.042 2.042 2.042 2.042 0 2.042
2014-04-01 2.042 2.042 2.042 2.042 0 2.042
2014-04-02 2.125 2.125 2.125 2.125 0 2.125
2014-04-03 2.125 2.125 2.125 2.125 0 2.125
2014-04-04 2.069 2.069 2.069 2.069 0 2.069
2014-04-07 1.958 1.958 1.958 1.958 0 1.958
2014-04-08 1.958 1.958 1.958 1.958 0 1.958
2014-04-09 1.958 1.958 1.958 1.958 0 1.958
2014-04-10 1.958 1.958 1.958 1.958 0 1.958
2014-04-11 1.837 1.837 1.837 1.837 0 1.837
2014-04-14 1.737 1.737 1.737 1.737 0 1.737
2014-04-15 1.704 1.704 1.607 1.607 200 1.607
2014-04-16 1.657 1.657 1.657 1.657 0 1.657
2014-04-17 1.657 1.657 1.657 1.657 0 1.657
2014-04-18 1.657 1.657 1.657 1.657 0 1.657
2014-04-21 1.657 1.657 1.657 1.657 0 1.657
2014-04-22 1.686 1.686 1.686 1.686 0 1.686
2014-04-23 1.754 1.754 1.754 1.754 0 1.754
2014-04-24 1.707 1.707 1.707 1.707 0 1.707
2014-04-25 1.655 1.655 1.655 1.655 0 1.655
2014-04-28 1.586 1.586 1.586 1.586 0 1.586
2014-04-29 1.586 1.586 1.586 1.586 0 1.586
2014-04-30 1.609 1.609 1.609 1.609 0 1.609
2014-05-01 1.609 1.609 1.609 1.609 0 1.609
2014-05-02 1.609 1.609 1.609 1.609 0 1.609
2014-05-05 1.579 1.579 1.579 1.579 0 1.579
2014-05-06 1.579 1.579 1.579 1.579 0 1.579
2014-05-07 1.535 1.535 1.535 1.535 0 1.535
2014-05-08 1.472 1.472 1.414 1.414 200 1.414
2014-05-09 1.414 1.414 1.414 1.414 0 1.414
2014-05-12 1.454 1.454 1.454 1.454 0 1.454
2014-05-13 1.47 1.47 1.47 1.47 0 1.47
2014-05-14 1.47 1.47 1.47 1.47 0 1.47
2014-05-15 1.47 1.47 1.47 1.47 0 1.47
2014-05-16 1.419 1.419 1.419 1.419 0 1.419
2014-05-19 1.395 1.395 1.355 1.355 2500 1.355
2014-05-20 1.355 1.355 1.355 1.355 0 1.355
2014-05-21 1.34 1.34 1.239 1.239 2500 1.239
2014-05-22 1.246 1.246 1.246 1.246 0 1.246
2014-05-23 1.309 1.309 1.309 1.309 0 1.309
2014-05-26 1.312 1.312 1.312 1.312 0 1.312
2014-05-27 1.314 1.314 1.314 1.314 0 1.314
2014-05-28 1.398 1.398 1.398 1.398 0 1.398
2014-05-29 1.408 1.439 1.408 1.439 600 1.439
2014-05-30 1.406 1.406 1.406 1.406 0 1.406
2014-06-02 1.332 1.332 1.292 1.292 1000 1.292
2014-06-03 1.292 1.292 1.292 1.292 0 1.292
2014-06-04 1.263 1.263 1.263 1.263 0 1.263
2014-06-05 1.263 1.263 1.263 1.263 0 1.263
2014-06-06 1.233 1.233 1.233 1.233 0 1.233
2014-06-09 1.233 1.258 1.233 1.258 1000 1.258
2014-06-10 1.258 1.258 1.258 1.258 0 1.258
2014-06-11 1.258 1.258 1.258 1.258 0 1.258
2014-06-12 1.258 1.258 1.258 1.258 0 1.258
2014-06-13 1.251 1.251 1.251 1.251 0 1.251
2014-06-16 1.222 1.222 1.222 1.222 0 1.222
2014-06-17 1.222 1.222 1.222 1.222 0 1.222
2014-06-18 1.222 1.222 1.222 1.222 0 1.222
2014-06-19 1.222 1.222 1.222 1.222 0 1.222
2014-06-20 1.23 1.23 1.23 1.23 0 1.23
2014-06-23 1.225 1.225 1.225 1.225 2300 1.225
2014-06-24 1.225 1.326 1.225 1.326 1600 1.326
2014-06-25 1.286 1.286 1.286 1.286 0 1.286
2014-06-26 1.264 1.264 1.264 1.264 0 1.264
2014-06-27 1.239 1.239 1.239 1.239 0 1.239
2014-06-30 1.239 1.239 1.239 1.239 0 1.239
2014-07-01 1.336 1.336 1.336 1.336 0 1.336
2014-07-02 1.393 1.393 1.393 1.393 0 1.393
2014-07-03 1.393 1.398 1.393 1.398 1000 1.398
2014-07-04 1.398 1.398 1.398 1.398 0 1.398
2014-07-07 1.398 1.398 1.398 1.398 0 1.398
2014-07-08 1.332 1.332 1.332 1.332 0 1.332
2014-07-09 1.258 1.258 1.258 1.258 0 1.258
2014-07-10 1.258 1.258 1.258 1.258 0 1.258
2014-07-11 1.258 1.258 1.258 1.258 0 1.258
2014-07-14 1.323 1.382 1.323 1.382 2000 1.382
2014-07-15 1.382 1.382 1.319 1.319 900 1.319
2014-07-16 1.319 1.319 1.319 1.319 0 1.319
2014-07-17 1.314 1.314 1.314 1.314 0 1.314
2014-07-18 1.272 1.272 1.272 1.272 0 1.272
2014-07-21 1.256 1.256 1.256 1.256 0 1.256
2014-07-22 1.264 1.264 1.264 1.264 0 1.264
2014-07-23 1.289 1.289 1.289 1.289 0 1.289
2014-07-24 1.296 1.3 1.296 1.3 100 1.3
2014-07-25 1.302 1.303 1.302 1.303 1000 1.303
2014-07-28 1.313 1.313 1.313 1.313 0 1.313
2014-07-29 1.313 1.313 1.313 1.313 0 1.313
2014-07-30 1.32 1.32 1.32 1.32 0 1.32
2014-07-31 1.373 1.373 1.373 1.373 0 1.373
2014-08-01 1.426 1.426 1.426 1.426 0 1.426
2014-08-04 1.426 1.426 1.426 1.426 0 1.426
2014-08-05 1.372 1.372 1.372 1.372 0 1.372
2014-08-06 1.372 1.372 1.372 1.372 0 1.372
2014-08-07 1.372 1.372 1.372 1.372 0 1.372
2014-08-08 1.34 1.34 1.329 1.329 500 1.329
2014-08-11 1.329 1.329 1.329 1.329 0 1.329
2014-08-12 1.276 1.276 1.276 1.276 0 1.276
2014-08-13 1.276 1.276 1.276 1.276 0 1.276
2014-08-14 1.251 1.251 1.251 1.251 0 1.251
2014-08-15 1.251 1.251 1.251 1.251 0 1.251
2014-08-18 1.251 1.251 1.251 1.251 0 1.251
2014-08-19 1.251 1.251 1.215 1.215 100 1.215
2014-08-20 1.252 1.252 1.252 1.252 0 1.252
2014-08-21 1.252 1.252 1.252 1.252 0 1.252
2014-08-22 1.252 1.252 1.191 1.191 500 1.191
2014-08-25 1.191 1.191 1.191 1.191 0 1.191
2014-08-26 1.191 1.191 1.191 1.191 0 1.191
2014-08-27 1.191 1.191 1.191 1.191 0 1.191
2014-08-28 1.191 1.276 1.191 1.276 1700 1.276
2014-08-29 1.276 1.276 1.261 1.261 400 1.261
2014-09-01 1.307 1.307 1.307 1.307 0 1.307
2014-09-02 1.309 1.309 1.309 1.309 0 1.309
2014-09-03 1.309 1.309 1.309 1.309 0 1.309
2014-09-04 1.264 1.264 1.264 1.264 0 1.264
2014-09-05 1.264 1.264 1.264 1.264 0 1.264
2014-09-08 1.264 1.264 1.264 1.264 0 1.264
2014-09-09 1.264 1.264 1.264 1.264 0 1.264
2014-09-10 1.264 1.264 1.264 1.264 0 1.264
2014-09-11 1.25 1.25 1.25 1.25 0 1.25
2014-09-12 1.246 1.246 1.246 1.246 0 1.246
2014-09-15 1.246 1.246 1.246 1.246 0 1.246
2014-09-16 1.244 1.244 1.244 1.244 0 1.244
2014-09-17 1.235 1.235 1.235 1.235 0 1.235
2014-09-18 1.235 1.235 1.235 1.235 0 1.235
2014-09-19 1.235 1.235 1.235 1.235 0 1.235
2014-09-22 1.196 1.196 1.196 1.196 0 1.196
2014-09-23 1.144 1.144 1.144 1.144 0 1.144
2014-09-24 1.144 1.144 1.144 1.144 0 1.144
2014-09-25 1.144 1.144 1.144 1.144 0 1.144
2014-09-26 1.129 1.129 1.129 1.129 0 1.129
2014-09-29 1.08 1.086 1.08 1.086 1700 1.086
2014-09-30 1.099 1.152 1.099 1.152 1000 1.152
2014-10-01 1.137 1.137 1.137 1.137 0 1.137
2014-10-02 1.049 1.049 1.049 1.049 0 1.049
2014-10-03 1.049 1.049 1.049 1.049 0 1.049
2014-10-06 1.125 1.125 1.125 1.125 0 1.125
2014-10-07 1.106 1.106 1.106 1.106 0 1.106
2014-10-08 1.042 1.042 1.042 1.042 0 1.042
2014-10-09 1.042 1.042 1.042 1.042 0 1.042
2014-10-10 0.971 0.971 0.971 0.971 0 0.971
2014-10-13 0.971 0.971 0.971 0.971 0 0.971
2014-10-14 0.971 1.06 0.971 1.06 1000 1.06
2014-10-15 1.049 1.049 1.049 1.049 0 1.049
2014-10-16 1.053 1.053 1.053 1.053 0 1.053
2014-10-17 1.085 1.119 1.085 1.119 1000 1.119
2014-10-20 1.119 1.119 1.119 1.119 0 1.119
2014-10-21 1.092 1.092 1.092 1.092 0 1.092
2014-10-22 1.092 1.092 1.092 1.092 0 1.092
2014-10-23 1.092 1.092 1.092 1.092 0 1.092
2014-10-24 1.081 1.081 1.081 1.081 0 1.081
2014-10-27 1.063 1.063 1.063 1.063 0 1.063
2014-10-28 1.03 1.03 1.03 1.03 0 1.03
2014-10-29 1.03 1.03 1.03 1.03 0 1.03
2014-10-30 1.061 1.061 1.061 1.061 0 1.061
2014-10-31 1.048 1.048 1.048 1.048 0 1.048
2014-11-03 1.048 1.048 1.048 1.048 0 1.048
2014-11-04 1.048 1.048 1.048 1.048 0 1.048
2014-11-05 1.05 1.05 1.05 1.05 0 1.05
2014-11-06 1.03 1.03 1.03 1.03 0 1.03
2014-11-07 1.03 1.03 1.03 1.03 0 1.03
2014-11-10 1.03 1.03 1.03 1.03 0 1.03
2014-11-11 1.051 1.051 1.051 1.051 0 1.051
2014-11-12 1.051 1.051 1.051 1.051 0 1.051
2014-11-13 1.051 1.051 1.051 1.051 0 1.051
2014-11-14 1.051 1.051 1.051 1.051 0 1.051
2014-11-17 1.049 1.049 1.049 1.049 0 1.049
2014-11-18 1.049 1.049 1.049 1.049 0 1.049
2014-11-19 1.049 1.049 1.049 1.049 0 1.049
2014-11-20 1.049 1.052 1.049 1.052 1000 1.052
2014-11-21 1.026 1.026 1.026 1.026 0 1.026
2014-11-24 1.037 1.037 1.037 1.037 0 1.037
2014-11-25 1.072 1.072 1.072 1.072 0 1.072
2014-11-26 1.127 1.127 1.127 1.127 0 1.127
2014-11-27 1.192 1.192 1.192 1.192 0 1.192
2014-11-28 1.197 1.197 1.197 1.197 0 1.197
2014-12-01 1.197 1.197 1.197 1.197 0 1.197
2014-12-02 1.197 1.197 1.197 1.197 0 1.197
2014-12-03 1.169 1.169 1.169 1.169 0 1.169
2014-12-04 1.169 1.169 1.169 1.169 0 1.169
2014-12-05 1.128 1.128 1.128 1.128 0 1.128
2014-12-08 1.128 1.128 1.128 1.128 0 1.128
2014-12-09 1.094 1.094 1.094 1.094 0 1.094
2014-12-10 1.087 1.087 1.087 1.087 0 1.087
2014-12-11 0.993 0.993 0.993 0.993 0 0.993
2014-12-12 0.941 0.941 0.941 0.941 0 0.941
2014-12-15 0.941 0.941 0.941 0.941 0 0.941
2014-12-16 0.941 0.941 0.941 0.941 0 0.941
2014-12-17 0.941 0.941 0.941 0.941 0 0.941
2014-12-18 0.925 0.925 0.925 0.925 0 0.925
2014-12-19 0.925 0.925 0.925 0.925 0 0.925
2014-12-22 0.939 0.939 0.939 0.939 0 0.939
2014-12-23 1.051 1.051 1.051 1.051 0 1.051
2014-12-24 1.051 1.051 1.051 1.051 0 1.051
2014-12-25 1.051 1.051 1.051 1.051 0 1.051
2014-12-26 1.051 1.051 1.051 1.051 0 1.051
2014-12-29 1.051 1.051 1.051 1.051 0 1.051
2014-12-30 1.051 1.051 1.051 1.051 0 1.051
2014-12-31 1.051 1.051 1.051 1.051 0 1.051
2015-01-01 1.051 1.051 1.051 1.051 0 1.051
2015-01-02 1.233 1.28 1.233 1.28 1000 1.28
2015-01-05 1.26 1.26 1.26 1.26 0 1.26
2015-01-06 1.218 1.218 1.218 1.218 0 1.218
2015-01-07 1.114 1.114 1.114 1.114 0 1.114
2015-01-08 1.216 1.231 1.216 1.231 100 1.231
2015-01-09 1.216 1.216 1.163 1.163 0 1.163
