"Index" "CNH.Open" "CNH.High" "CNH.Low" "CNH.Close" "CNH.Volume" "CNH.Adjusted"
2013-12-11 30.216 30.216 30.216 30.216 0 28.6165
2013-12-12 29.763 29.763 29.763 29.763 0 28.1875
2013-12-13 29.641 29.641 29.641 29.641 0 28.072
2013-12-16 29.474 29.474 29.474 29.474 0 27.9138
2013-12-17 29.841 29.841 29.841 29.841 0 28.2614
2013-12-18 29.665 29.665 29.665 29.665 0 28.0947
2013-12-19 30.37 30.37 30.37 30.37 0 28.7624
2013-12-20 30.599 30.599 30.599 30.599 0 28.9792
2013-12-23 30.556 30.556 30.556 30.556 0 28.9385
2013-12-24 30.556 30.556 30.556 30.556 0 28.9385
2013-12-25 30.556 30.556 30.556 30.556 0 28.9385
2013-12-26 30.556 30.556 30.556 30.556 0 28.9385
2013-12-27 30.933 30.933 30.746 30.746 0 29.1185
2013-12-30 30.774 30.774 30.774 30.774 0 29.145
2013-12-31 30.774 30.774 30.774 30.774 0 29.145
2014-01-01 30.774 30.774 30.774 30.774 0 29.145
2014-01-02 31.09 31.25 31.09 31.25 0 29.5958
2014-01-03 30.642 30.642 30.642 30.642 0 29.02
2014-01-06 30.778 30.778 30.778 30.778 0 29.1488
2014-01-07 30.632 30.632 30.632 30.632 0 29.0105
2014-01-08 30.573 30.573 30.573 30.573 0 28.9546
2014-01-09 30.559 30.559 30.559 30.559 0 28.9414
2014-01-10 30.703 30.703 30.703 30.703 0 29.0777
2014-01-13 30.619 30.619 30.619 30.619 0 28.9982
2014-01-14 30.356 30.356 30.356 30.356 0 28.7491
2014-01-15 30.542 30.542 30.542 30.542 0 28.9253
2014-01-16 30.732 30.732 30.732 30.732 0 29.1052
2014-01-17 30.883 30.883 30.883 30.883 0 29.2482
2014-01-20 30.981 30.981 30.981 30.981 0 29.341
2014-01-21 31.093 31.093 31.093 31.093 0 29.4471
2014-01-22 30.923 30.923 30.923 30.923 0 29.2861
2014-01-23 30.861 30.861 30.861 30.861 0 29.2274
2014-01-24 29.804 29.804 29.804 29.804 0 28.2263
2014-01-27 28.896 28.896 28.896 28.896 0 27.3664
2014-01-28 28.71 28.71 28.71 28.71 0 27.1902
2014-01-29 29.037 29.037 29.037 29.037 0 27.4999
2014-01-30 28.807 28.95 28.807 28.95 0 27.4175
2014-01-31 29.549 29.549 29.549 29.549 0 27.9848
2014-02-03 28.98 28.98 28.98 28.98 0 27.4459
2014-02-04 28.063 28.063 28.063 28.063 0 26.5775
2014-02-05 28.552 28.552 28.552 28.552 0 27.0406
2014-02-06 28.917 28.917 28.917 28.917 0 27.3863
2014-02-07 29.122 29.122 29.122 29.122 0 27.5804
2014-02-10 28.992 31.09 28.992 31.09 200 29.4443
2014-02-11 31.033 31.033 31.033 31.033 0 29.3903
2014-02-12 31.109 31.109 31.109 31.109 0 29.4622
2014-02-13 30.741 30.741 30.741 30.741 0 29.1137
2014-02-14 30.498 30.498 30.498 30.498 0 28.8836
2014-02-17 30.482 30.734 30.482 30.734 0 29.1071
