"Index" "XSC.Open" "XSC.High" "XSC.Low" "XSC.Close" "XSC.Volume" "XSC.Adjusted"
2014-02-05 39.795 39.795 39.795 39.795 0 39.795
2014-02-06 39.015 39.015 39.015 39.015 0 39.015
2014-02-07 39.11 39.11 39.11 39.11 0 39.11
2014-02-10 39.8 39.8 39.8 39.8 0 39.8
2014-02-11 39.75 39.75 39.75 39.75 0 39.75
2014-02-12 39.42 39.42 39.42 39.42 0 39.42
2014-02-13 39.32 39.32 39.32 39.32 0 39.32
2014-02-14 38.34 38.34 38.34 38.34 0 38.34
2014-02-17 38.625 38.625 38.625 38.625 0 38.625
2014-02-18 39.23 39.23 39.23 39.23 0 39.23
2014-02-19 39.82 39.82 39.82 39.82 0 39.82
2014-02-20 39.33 39.33 39.33 39.33 0 39.33
2014-02-21 40.85 40.85 40.85 40.85 0 40.85
2014-02-24 40.445 40.445 40.445 40.445 0 40.445
2014-02-25 41.15 41.15 41.15 41.15 0 41.15
2014-02-26 40.81 40.81 40.81 40.81 0 40.81
2014-02-27 40.985 40.985 40.985 40.985 0 40.985
2014-02-28 40.625 40.625 40.625 40.625 0 40.625
2014-03-03 40.725 40.725 40.725 40.725 0 40.725
2014-03-04 40.455 40.455 40.455 40.455 0 40.455
2014-03-05 40.47 40.47 40.47 40.47 0 40.47
2014-03-06 40.875 40.875 40.875 40.875 0 40.875
2014-03-07 40.87 40.87 40.87 40.87 0 40.87
2014-03-10 40.515 40.515 40.515 40.515 0 40.515
2014-03-11 40.635 40.635 40.635 40.635 0 40.635
2014-03-12 39.825 39.825 39.825 39.825 0 39.825
2014-03-13 39.8 39.8 39.8 39.8 0 39.8
2014-03-14 38.835 38.835 38.835 38.835 0 38.835
2014-03-17 38.595 39.27 38.595 39.27 0 39.27
2014-03-18 38.735 38.735 38.735 38.735 0 38.735
2014-03-19 39.495 39.495 39.495 39.495 0 39.495
2014-03-20 38.835 38.835 38.835 38.835 0 38.835
2014-03-21 39.145 39.145 39.145 39.145 0 39.145
2014-03-24 40.035 40.035 40.035 40.035 0 40.035
2014-03-25 40.47 40.47 40.47 40.47 0 40.47
2014-03-26 40.11 40.11 40.11 40.11 0 40.11
2014-03-27 41.34 41.34 41.34 41.34 0 41.34
2014-03-28 41.55 41.55 41.55 41.55 0 41.55
2014-03-31 41.56 41.56 41.56 41.56 0 41.56
2014-04-01 40.64 40.64 40.64 40.64 0 40.64
2014-04-02 40.505 40.505 40.505 40.505 0 40.505
2014-04-03 40.69 40.69 40.69 40.69 0 40.69
2014-04-04 41.225 41.225 41.225 41.225 0 41.225
2014-04-07 40.96 40.96 40.96 40.96 0 40.96
2014-04-08 41.355 41.355 41.355 41.355 0 41.355
2014-04-09 40.545 40.545 40.545 40.545 0 40.545
2014-04-10 40.485 40.485 40.485 40.485 0 40.485
2014-04-11 39.22 40.17 39.22 40.17 0 40.17
2014-04-14 39.52 39.52 39.52 39.52 0 39.52
2014-04-15 40 40 40 40 0 40
2014-04-16 40.985 40.985 40.985 40.985 0 40.985
2014-04-17 41.455 41.455 41.455 41.455 0 41.455
2014-04-18 41.455 41.455 41.455 41.455 0 41.455
2014-04-21 41.455 41.455 41.455 41.455 0 41.455
2014-04-22 41.285 41.285 41.285 41.285 0 41.285
2014-04-23 41.355 41.355 41.355 41.355 0 41.355
2014-04-24 40.84 40.84 40.84 40.84 0 40.84
2014-04-25 41.08 41.08 41.08 41.08 0 41.08
2014-04-28 41 41 40.215 40.215 0 40.215
2014-04-29 40.77 40.77 40.77 40.77 0 40.77
2014-04-30 41.23 41.23 41.23 41.23 0 41.23
2014-05-01 41.23 41.23 41.23 41.23 0 41.23
2014-05-02 40.845 40.845 40.845 40.845 0 40.845
2014-05-05 40.985 40.985 40.985 40.985 0 40.985
2014-05-06 40.94 40.94 40.94 40.94 0 40.94
2014-05-07 40.305 40.305 40.305 40.305 0 40.305
2014-05-08 40.525 40.525 40.525 40.525 0 40.525
2014-05-09 42.43 42.43 42.43 42.43 0 42.43
2014-05-12 42.47 42.47 42.47 42.47 0 42.47
