"Index" "WCC.Open" "WCC.High" "WCC.Low" "WCC.Close" "WCC.Volume" "WCC.Adjusted"
2014-07-22 83.989998 84.849998 83.769997 84.279999 404700 84.279999
2014-07-23 84.25 84.910004 83.669998 84.32 661100 84.32
2014-07-24 82.32 84.139999 80.989998 83.18 1453100 83.18
2014-07-25 82.940002 83.959999 82.790001 83.330002 837900 83.330002
2014-07-28 83.279999 83.459999 82.339996 82.540001 491400 82.540001
2014-07-29 82.510002 82.989998 80.75 80.760002 516100 80.760002
2014-07-30 80.949997 81.379997 79.93 80.339996 521000 80.339996
2014-07-31 79.910004 80.300003 78.330002 78.489998 543400 78.489998
2014-08-01 78.379997 79.220001 78.32 78.989998 593200 78.989998
2014-08-04 79.199997 79.510002 78.660004 79.230003 653500 79.230003
2014-08-05 79.089996 80.18 78.970001 79.07 454900 79.07
2014-08-06 78.730003 79.980003 78.730003 79.919998 539100 79.919998
2014-08-07 80.330002 80.489998 79.059998 79.300003 267300 79.300003
2014-08-08 79.410004 80.129997 78.650002 80.110001 259200 80.110001
2014-08-11 80.519997 81.110001 79.989998 80.900002 221700 80.900002
2014-08-12 80.800003 82.370003 80.660004 81.800003 603900 81.800003
2014-08-13 81.949997 82.400002 80.949997 81.080002 465700 81.080002
2014-08-14 81.309998 82.059998 80.989998 81.82 221600 81.82
2014-08-15 82.169998 82.339996 80.589996 80.919998 232300 80.919998
2014-08-18 81.589996 82.239998 81.32 82.230003 376400 82.230003
2014-08-19 82.480003 83.790001 82.379997 83.610001 299600 83.610001
2014-08-20 83.290001 84.110001 83.190002 84.040001 242700 84.040001
2014-08-21 83.879997 84.32 83.510002 83.839996 187400 83.839996
2014-08-22 83.900002 83.970001 83.209999 83.610001 183300 83.610001
2014-08-25 83.959999 84.300003 83.459999 83.989998 225400 83.989998
2014-08-26 84 84.110001 83.290001 83.339996 242900 83.339996
2014-08-27 82.800003 83.779999 82.800003 83.68 342700 83.68
2014-08-28 83.43 83.589996 82.739998 83.410004 172800 83.410004
2014-08-29 83.519997 84.029999 83.129997 83.989998 168400 83.989998
2014-09-02 84 84.559998 83.330002 83.93 228600 83.93
2014-09-03 84 84.489998 83.919998 84.440002 332100 84.440002
2014-09-04 84.599998 85.690002 84.309998 84.730003 341500 84.730003
2014-09-05 84.32 84.809998 83.349998 83.790001 421200 83.790001
2014-09-08 83.669998 84.419998 83.160004 84.089996 290700 84.089996
2014-09-09 84.25 84.330002 82.82 82.860001 305400 82.860001
2014-09-10 82.650002 83.160004 81.620003 82.379997 216900 82.379997
2014-09-11 83.089996 84.370003 82.720001 83.849998 513800 83.849998
2014-09-12 83.849998 84 83.290001 83.769997 597000 83.769997
2014-09-15 83.620003 83.620003 82.099998 82.169998 471500 82.169998
2014-09-16 81.889999 82.360001 81.580002 81.879997 375100 81.879997
2014-09-17 82.25 83.339996 82.150002 82.919998 501000 82.919998
2014-09-18 83.07 83.150002 82.379997 82.910004 317700 82.910004
2014-09-19 83.349998 83.75 81.980003 82.75 458000 82.75
2014-09-22 82.620003 82.650002 81.639999 81.830002 351100 81.830002
2014-09-23 81.57 81.980003 80.209999 80.449997 456300 80.449997
2014-09-24 80 81.129997 79.120003 81.010002 326200 81.010002
2014-09-25 80.550003 80.93 79.410004 79.410004 230200 79.410004
2014-09-26 79.410004 80.279999 78.830002 79.760002 236300 79.760002
2014-09-29 78.879997 79.889999 78.470001 79.349998 225500 79.349998
2014-09-30 79.43 79.559998 78.169998 78.260002 837300 78.260002
2014-10-01 78.400002 78.849998 76.610001 77.190002 678500 77.190002
2014-10-02 77.279999 77.970001 76.419998 77.699997 315900 77.699997
2014-10-03 78.400002 79.010002 77.839996 78.43 452700 78.43
2014-10-06 78.690002 79.669998 78.519997 79.040001 499100 79.040001
2014-10-07 78.330002 79.18 76.959999 76.970001 428700 76.970001
2014-10-08 76.949997 78.400002 75.709999 78.190002 364000 78.190002
