"Index" "RI.Open" "RI.High" "RI.Low" "RI.Close" "RI.Volume" "RI.Adjusted"
2015-10-01 97.6 97.6 97.6 97.6 0 96.62
2015-10-02 97.6 97.6 97.6 97.6 0 96.62
2015-10-05 97.6 97.6 97.6 97.6 0 96.62
2015-10-06 97.6 97.6 97.6 97.6 0 96.62
2015-10-07 97.6 97.6 97.6 97.6 0 96.62
2015-10-08 97.6 97.6 97.6 97.6 0 96.62
2015-10-09 97.6 97.6 97.6 97.6 0 96.62
2015-10-12 97.6 97.6 97.6 97.6 0 96.62
2015-10-13 97.6 97.6 97.6 97.6 0 96.62
2015-10-14 97.6 97.6 97.6 97.6 0 96.62
2015-10-15 97.6 97.6 97.6 97.6 0 96.62
2015-10-16 97.6 97.6 97.6 97.6 0 96.62
2015-10-19 97.6 97.6 97.6 97.6 0 96.62
2015-10-20 97.6 97.6 97.6 97.6 0 96.62
2015-10-21 97.6 97.6 97.6 97.6 0 96.62
2015-10-22 97.6 97.6 97.6 97.6 0 96.62
2015-10-23 97.6 97.6 97.6 97.6 0 96.62
2015-10-26 97.6 97.6 97.6 97.6 0 96.62
2015-10-27 97.6 97.6 97.6 97.6 0 96.62
2015-10-28 97.6 97.6 97.6 97.6 0 96.62
2015-10-29 0.01 0.01 0.01 0.01 1e+05 0.01
2015-10-30 0.01 0.01 0.01 0.01 0 0.01
