"Index" "UI.Open" "UI.High" "UI.Low" "UI.Close" "UI.Volume" "UI.Adjusted"
2014-03-12 0.2 0.2 0.2 0.2 5300 0.2
2014-03-13 0.2 0.2 0.2 0.2 37000 0.2
2014-03-14 0.2 0.2 0.2 0.2 0 0.2
2014-03-17 0.2 0.2 0.2 0.2 0 0.2
2014-03-18 0.2 0.2 0.2 0.2 0 0.2
2014-03-19 0.2 0.2 0.2 0.2 0 0.2
2014-03-20 0.2 0.2 0.2 0.2 33500 0.2
2014-03-21 0.2 0.2 0.2 0.2 0 0.2
2014-03-24 0.2 0.2 0.2 0.2 0 0.2
2014-03-25 0.2 0.2 0.2 0.2 0 0.2
2014-03-26 0.2 0.2 0.2 0.2 0 0.2
2014-03-27 0.2 0.2 0.2 0.2 0 0.2
2014-03-28 0.2 0.2 0.2 0.2 0 0.2
2014-03-31 0.2 0.2 0.2 0.2 0 0.2
2014-04-01 0.135 0.135 0.13 0.13 16500 0.13
2014-04-02 0.13 0.13 0.13 0.13 0 0.13
2014-04-03 0.13 0.13 0.13 0.13 0 0.13
2014-04-04 0.13 0.13 0.13 0.13 0 0.13
2014-04-07 0.13 0.13 0.13 0.13 0 0.13
2014-04-08 0.13 0.13 0.13 0.13 0 0.13
2014-04-09 0.13 0.13 0.13 0.13 0 0.13
2014-04-10 0.135 0.135 0.135 0.135 5000 0.135
2014-04-11 0.135 0.135 0.135 0.135 0 0.135
2014-04-14 0.135 0.135 0.135 0.135 0 0.135
2014-04-15 0.135 0.135 0.135 0.135 0 0.135
2014-04-16 0.13 0.13 0.13 0.13 4000 0.13
2014-04-17 0.13 0.13 0.13 0.13 2000 0.13
2014-04-18 0.13 0.13 0.13 0.13 0 0.13
2014-04-21 0.13 0.13 0.13 0.13 0 0.13
2014-04-22 0.13 0.13 0.13 0.13 0 0.13
2014-04-23 0.13 0.13 0.13 0.13 0 0.13
2014-04-24 0.13 0.13 0.13 0.13 0 0.13
2014-04-25 0.13 0.13 0.13 0.13 0 0.13
2014-04-28 0.13 0.13 0.13 0.13 0 0.13
2014-04-29 0.13 0.13 0.13 0.13 0 0.13
2014-04-30 0.13 0.13 0.13 0.13 0 0.13
2014-05-01 0.13 0.13 0.13 0.13 0 0.13
2014-05-02 0.13 0.13 0.13 0.13 0 0.13
2014-05-05 0.13 0.13 0.13 0.13 0 0.13
2014-05-06 0.13 0.13 0.13 0.13 0 0.13
2014-05-07 0.13 0.13 0.13 0.13 0 0.13
2014-05-08 0.13 0.13 0.13 0.13 0 0.13
2014-05-09 0.13 0.13 0.13 0.13 0 0.13
2014-05-12 0.13 0.13 0.13 0.13 0 0.13
2014-05-13 0.13 0.13 0.13 0.13 0 0.13
2014-05-14 0.13 0.13 0.13 0.13 0 0.13
2014-05-15 0.13 0.13 0.13 0.13 0 0.13
2014-05-16 0.13 0.13 0.13 0.13 0 0.13
2014-05-19 0.13 0.13 0.13 0.13 0 0.13
2014-05-20 0.13 0.13 0.13 0.13 0 0.13
2014-05-21 0.13 0.13 0.13 0.13 0 0.13
2014-05-22 0.13 0.13 0.13 0.13 0 0.13
2014-05-23 0.13 0.13 0.13 0.13 0 0.13
2014-05-26 0.13 0.13 0.13 0.13 0 0.13
2014-05-27 0.13 0.13 0.13 0.13 0 0.13
2014-05-28 0.13 0.13 0.13 0.13 0 0.13
2014-05-29 0.13 0.13 0.13 0.13 0 0.13
2014-05-30 0.13 0.13 0.13 0.13 0 0.13
2014-06-02 0.13 0.13 0.13 0.13 0 0.13
2014-06-03 0.05 0.05 0.05 0.05 4000 0.05
2014-06-04 0.05 0.05 0.05 0.05 0 0.05
2014-06-05 0.055 0.055 0.055 0.055 2000 0.055
2014-06-06 0.055 0.055 0.05 0.05 5000 0.05
2014-06-09 0.05 0.05 0.05 0.05 0 0.05
2014-06-10 0.05 0.05 0.05 0.05 8000 0.05
2014-06-11 0.05 0.05 0.05 0.05 0 0.05
2014-06-12 0.05 0.05 0.05 0.05 0 0.05
2014-06-13 0.05 0.05 0.05 0.05 0 0.05
2014-06-16 0.05 0.05 0.05 0.05 0 0.05
2014-06-17 0.05 0.05 0.05 0.05 0 0.05
2014-06-18 0.05 0.05 0.05 0.05 0 0.05
2014-06-19 0.05 0.05 0.05 0.05 0 0.05
2014-06-20 0.05 0.05 0.05 0.05 0 0.05
2014-06-23 0.05 0.05 0.05 0.05 0 0.05
2014-06-24 0.05 0.05 0.05 0.05 0 0.05
2014-06-25 0.05 0.05 0.05 0.05 0 0.05
2014-06-26 0.05 0.05 0.05 0.05 0 0.05
2014-06-27 0.05 0.05 0.05 0.05 0 0.05
2014-06-30 0.05 0.05 0.05 0.05 0 0.05
2014-07-01 0.05 0.05 0.05 0.05 0 0.05
2014-07-02 0.05 0.05 0.05 0.05 0 0.05
2014-07-03 0.05 0.05 0.05 0.05 0 0.05
2014-07-04 0.05 0.05 0.05 0.05 0 0.05
2014-07-07 0.05 0.05 0.05 0.05 0 0.05
2014-07-08 0.05 0.05 0.05 0.05 0 0.05
2014-07-09 0.05 0.05 0.05 0.05 0 0.05
2014-07-10 0.05 0.05 0.05 0.05 0 0.05
2014-07-11 0.05 0.05 0.05 0.05 0 0.05
2014-07-14 0.05 0.05 0.05 0.05 0 0.05
2014-07-15 0.05 0.05 0.05 0.05 0 0.05
2014-07-16 0.05 0.05 0.05 0.05 0 0.05
2014-07-17 0.05 0.05 0.025 0.025 25000 0.025
2014-07-18 0.025 0.025 0.025 0.025 0 0.025
2014-07-21 0.025 0.025 0.025 0.025 0 0.025
2014-07-22 0.025 0.025 0.025 0.025 0 0.025
2014-07-23 0.025 0.025 0.025 0.025 0 0.025
2014-07-24 0.025 0.025 0.025 0.025 0 0.025
2014-07-25 0.025 0.025 0.025 0.025 0 0.025
2014-07-28 0.025 0.025 0.025 0.025 0 0.025
2014-07-29 0.025 0.025 0.025 0.025 0 0.025
2014-07-30 0.025 0.025 0.025 0.025 0 0.025
2014-07-31 0.025 0.025 0.025 0.025 0 0.025
2014-08-01 0.025 0.025 0.025 0.025 0 0.025
2014-08-04 0.025 0.025 0.025 0.025 0 0.025
2014-08-05 0.025 0.025 0.025 0.025 0 0.025
2014-08-06 0.025 0.025 0.025 0.025 0 0.025
2014-08-07 0.025 0.025 0.025 0.025 0 0.025
2014-08-08 0.025 0.025 0.025 0.025 0 0.025
2014-08-11 0.045 0.045 0.045 0.045 2000 0.045
2014-08-12 0.045 0.045 0.045 0.045 0 0.045
2014-08-13 0.045 0.045 0.045 0.045 0 0.045
2014-08-14 0.045 0.045 0.045 0.045 0 0.045
2014-08-15 0.045 0.045 0.045 0.045 0 0.045
2014-08-18 0.045 0.045 0.045 0.045 0 0.045
2014-08-19 0.045 0.045 0.045 0.045 0 0.045
2014-08-20 0.055 0.055 0.055 0.055 6000 0.055
2014-08-21 0.06 0.06 0.06 0.06 3000 0.06
